Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Благовещенская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	117	3	3	4	14	3	4	4	4	8	1	1	1	1	5	7	2	7	5	2	5	5	2	5	7	3	2	3	6					
14	Число неиспользованных открепительных удостоверений	99	4	1	2	8	0	5	3	3	5	3	1	3	6	7	1	2	3	1	3	2	10	3	7	1	3	3	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	330	37	4	11	19	0	7	1	1	11	0	1	2	6	10	45	23	19	18	8	2	43	3	19	16	4	7	3	10					
		3.73%	4.95%	2.33%	6.92%	2.59%	0.00%	2.46%	0.56%	1.43%	2.34%	0.00%	1.35%	2.06%	1.89%	2.90%	4.11%	4.16%	5.08%	4.52%	2.85%	1.22%	6.54%	2.54%	3.45%	4.38%	4.00%	9.33%	2.03%	5.65%					
19	. Малышкин Олег Александрович	324	23	13	1	14	6	7	2	3	17	4	11	1	5	14	49	11	27	14	5	9	26	8	11	13	1	1	14	14					
		3.66%	3.07%	7.56%	0.63%	1.91%	6.82%	2.46%	1.12%	4.29%	3.62%	6.35%	14.86%	1.03%	1.57%	4.06%	4.47%	1.99%	7.22%	3.52%	1.78%	5.49%	3.96%	6.78%	2.00%	3.56%	1.00%	1.33%	9.46%	7.91%					
20	. Миронов Сергей Михайлович	71	5	3	1	6	3	3	0	1	2	0	0	1	3	0	9	8	2	2	4	1	7	0	6	3	0	0	0	1					
		0.80%	0.67%	1.74%	0.63%	0.82%	3.41%	1.05%	0.00%	1.43%	0.43%	0.00%	0.00%	1.03%	0.94%	0.00%	0.82%	1.45%	0.53%	0.50%	1.42%	0.61%	1.07%	0.00%	1.09%	0.82%	0.00%	0.00%	0.00%	0.56%					
21	. Путин Владимир Владимирович	5867	404	126	104	540	67	221	126	55	304	34	45	63	251	262	660	367	246	280	203	96	456	82	344	220	61	51	100	99					
		66.24%	54.01%	73.26%	65.41%	73.67%	76.14%	77.54%	70.79%	78.57%	64.68%	53.97%	60.81%	64.95%	78.93%	75.94%	60.22%	66.37%	65.78%	70.35%	72.24%	58.54%	69.41%	69.49%	62.43%	60.27%	61.00%	68.00%	67.57%	55.93%					
22	. Хакамада Ирина Муцуовна	221	19	2	6	17	1	5	7	2	8	0	1	4	5	15	35	21	8	12	1	1	15	3	13	3	4	5	3	5					
		2.50%	2.54%	1.16%	3.77%	2.32%	1.14%	1.75%	3.93%	2.86%	1.70%	0.00%	1.35%	4.12%	1.57%	4.35%	3.19%	3.80%	2.14%	3.02%	0.36%	0.61%	2.28%	2.54%	2.36%	0.82%	4.00%	6.67%	2.03%	2.82%					
23	. Харитонов Николай Михайлович	1716	220	16	30	122	4	36	39	4	121	22	11	26	26	30	261	90	49	58	52	51	86	19	138	98	29	9	24	45					
		19.37%	29.41%	9.30%	18.87%	16.64%	4.55%	12.63%	21.91%	5.71%	25.74%	34.92%	14.86%	26.80%	8.18%	8.70%	23.81%	16.27%	13.10%	14.57%	18.51%	31.10%	13.09%	16.10%	25.05%	26.85%	29.00%	12.00%	16.22%	25.42%					
																																			
24	Против всех	227	26	5	5	10	0	5	3	2	6	3	4	0	17	5	29	28	19	9	5	2	18	1	9	9	1	2	3	1					
		2.56%	3.48%	2.91%	3.14%	1.36%	0.00%	1.75%	1.69%	2.86%	1.28%	4.76%	5.41%	0.00%	5.35%	1.45%	2.65%	5.06%	5.08%	2.26%	1.78%	1.22%	2.74%	0.85%	1.63%	2.47%	1.00%	2.67%	2.03%	0.56%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
