Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Батайская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №2542	УИК №2543	УИК №2582	УИК №2583	УИК №2584	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605					
11	Число полученных открепительных  удостоверений	1495	30	25	30	23	22	50	30	30	37	38	55	30	50	30	30	30	30	30	40	30	30	30	30	90	40	20	50	30	30	110	35	30	30	30	30	50	50	30	30	20	30					
12	Число выданных открепительных удостоверений	1414	30	25	30	23	22	47	30	30	37	38	55	30	50	27	30	30	23	23	40	15	28	30	21	86	34	20	50	30	30	107	35	29	29	30	21	49	50	30	20	20	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	936	28	32	22	24	6	22	34	55	40	28	29	19	33	24	11	20	17	28	18	23	24	25	27	27	21	18	23	13	19	17	7	33	26	18	14	9	37	6	13	22	24					
14	Число неиспользованных открепительных удостоверений	81	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	7	7	0	15	2	0	9	4	6	0	0	0	0	3	0	1	1	0	9	1	0	0	10	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	2090	40	45	56	55	57	49	48	67	41	56	73	35	55	50	50	71	56	39	64	36	51	39	31	34	40	41	70	54	89	65	45	34	94	29	54	47	42	58	40	39	51					
		4.15%	3.77%	4.11%	4.29%	3.90%	4.81%	4.29%	3.91%	4.36%	3.77%	3.86%	5.33%	3.14%	3.62%	5.17%	3.75%	5.34%	4.70%	3.55%	3.76%	3.52%	3.90%	3.33%	2.83%	3.18%	4.00%	3.98%	4.82%	4.09%	5.60%	3.49%	3.57%	3.49%	7.86%	3.27%	4.63%	4.34%	3.22%	4.44%	3.54%	4.47%	4.36%					
19	. Малышкин Олег Александрович	848	23	13	12	31	16	23	12	26	9	31	33	19	22	11	22	26	23	18	47	23	23	21	12	26	8	10	29	29	20	28	24	12	19	7	15	12	30	22	26	14	21					
		1.68%	2.17%	1.19%	0.92%	2.20%	1.35%	2.02%	0.98%	1.69%	0.83%	2.13%	2.41%	1.71%	1.45%	1.14%	1.65%	1.95%	1.93%	1.64%	2.76%	2.25%	1.76%	1.79%	1.10%	2.43%	0.80%	0.97%	2.00%	2.20%	1.26%	1.50%	1.90%	1.23%	1.59%	0.79%	1.29%	1.11%	2.30%	1.68%	2.30%	1.60%	1.80%					
20	. Миронов Сергей Михайлович	266	6	5	5	1	2	3	8	12	5	11	8	4	5	6	3	9	11	7	11	9	9	5	4	8	5	6	8	5	15	7	2	4	14	9	8	6	3	4	5	3	5					
		0.53%	0.57%	0.46%	0.38%	0.07%	0.17%	0.26%	0.65%	0.78%	0.46%	0.76%	0.58%	0.36%	0.33%	0.62%	0.22%	0.68%	0.92%	0.64%	0.65%	0.88%	0.69%	0.43%	0.37%	0.75%	0.50%	0.58%	0.55%	0.38%	0.94%	0.38%	0.16%	0.41%	1.17%	1.02%	0.69%	0.55%	0.23%	0.31%	0.44%	0.34%	0.43%					
21	. Путин Владимир Владимирович	35342	717	813	974	1039	805	831	864	1103	787	998	954	759	1078	639	976	930	780	689	1136	673	967	841	813	794	707	780	983	891	1032	1481	861	637	734	622	845	782	967	822	780	628	830					
		70.11%	67.58%	74.31%	74.64%	73.58%	67.88%	72.83%	70.30%	71.81%	72.33%	68.73%	69.69%	68.19%	70.92%	66.08%	73.11%	69.92%	65.44%	62.69%	66.67%	65.72%	73.93%	71.82%	74.25%	74.21%	70.63%	75.73%	67.65%	67.45%	64.95%	79.54%	68.33%	65.33%	61.37%	70.20%	72.47%	72.14%	74.16%	62.94%	68.97%	71.94%	71.00%					
22	. Хакамада Ирина Муцуовна	1818	41	36	34	45	54	26	63	68	52	51	42	26	70	33	24	56	39	26	60	25	31	15	22	30	14	24	74	49	85	61	71	55	51	37	27	41	94	68	28	43	27					
		3.61%	3.86%	3.29%	2.61%	3.19%	4.55%	2.28%	5.13%	4.43%	4.78%	3.51%	3.07%	2.34%	4.61%	3.41%	1.80%	4.21%	3.27%	2.37%	3.52%	2.44%	2.37%	1.28%	2.01%	2.80%	1.40%	2.33%	5.09%	3.71%	5.35%	3.28%	5.63%	5.64%	4.26%	4.18%	2.32%	3.78%	7.21%	5.21%	2.48%	4.93%	2.31%					
23	. Харитонов Николай Михайлович	7579	191	122	187	187	195	150	163	199	138	231	190	183	231	188	187	180	218	230	308	192	171	206	162	139	173	126	224	210	253	149	200	181	220	144	158	150	96	271	197	108	171					
		15.04%	18.00%	11.15%	14.33%	13.24%	16.44%	13.15%	13.26%	12.96%	12.68%	15.91%	13.88%	16.44%	15.20%	19.44%	14.01%	13.53%	18.29%	20.93%	18.08%	18.75%	13.07%	17.59%	14.79%	12.99%	17.28%	12.23%	15.42%	15.90%	15.92%	8.00%	15.87%	18.56%	18.39%	16.25%	13.55%	13.84%	7.36%	20.75%	17.42%	12.37%	14.63%					
																																																
24	Против всех	1666	31	35	28	32	38	49	54	47	47	56	53	25	39	32	39	43	47	40	63	36	31	27	29	24	26	24	55	62	91	57	43	25	38	22	43	24	56	45	45	28	37					
		3.31%	2.92%	3.20%	2.15%	2.27%	3.20%	4.29%	4.39%	3.06%	4.32%	3.86%	3.87%	2.25%	2.57%	3.31%	2.92%	3.23%	3.94%	3.64%	3.70%	3.52%	2.37%	2.31%	2.65%	2.24%	2.60%	2.33%	3.79%	4.69%	5.73%	3.06%	3.41%	2.56%	3.18%	2.48%	3.69%	2.21%	4.29%	3.45%	3.98%	3.21%	3.17%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
