Выборы Президента Российской Федерации																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Туймазинская																																																																																																											
																																																																																																											
Итоги голосования 																																																																																																											
																																																																																																											
		Сумма	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403					
11	Число полученных открепительных  удостоверений	1861	5	20	10	20	10	10	20	20	15	15	30	15	20	15	25	15	10	35	10	35	15	15	25	10	5	20	20	5	35	25	5	28	20	5	35	35	5	15	30	5	15	25	15	40	15	25	20	5	10	20	15	5	15	35	5	5	15	15	25	15	35	5	25	25	10	10	35	10	95	10	25	15	20	10	20	25	15	15	30	10	15	25	10	5	5	30	25	10	30	25	35	15	5	30	10	10	25	25	20	8					
12	Число выданных открепительных удостоверений	1198	0	8	10	16	3	5	14	7	4	9	30	15	16	15	18	5	8	17	0	31	12	14	14	7	2	15	8	1	24	17	1	26	14	5	22	21	4	4	22	1	7	22	15	17	15	6	16	1	4	8	6	0	13	22	0	0	14	9	12	11	17	0	19	10	4	4	27	4	92	6	16	3	10	7	20	15	10	14	29	3	12	20	9	2	4	14	20	6	10	12	26	12	4	18	2	10	19	13	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	530	3	4	1	6	0	4	6	4	11	3	8	4	7	13	1	1	6	0	2	5	14	3	5	8	2	3	6	1	8	6	2	9	6	0	4	24	8	5	12	0	13	8	6	11	2	9	3	0	2	2	9	4	8	3	4	1	0	5	13	1	14	3	5	3	8	4	5	9	7	6	2	2	4	3	8	17	8	2	5	0	2	6	4	1	2	11	8	4	12	8	2	6	0	8	7	0	4	7	2	2					
14	Число неиспользованных открепительных удостоверений	663	5	12	0	4	7	5	6	13	11	6	0	0	4	0	7	10	2	18	10	4	3	1	11	3	3	5	12	4	11	8	4	2	6	0	13	14	1	11	8	4	8	3	0	23	0	19	4	4	6	12	9	5	2	13	5	5	1	6	13	4	18	5	6	15	6	6	8	6	3	4	9	12	10	3	0	10	5	1	1	7	3	5	1	3	1	16	5	4	20	13	9	3	1	12	8	0	6	12	13	3					
15	"Число открепительных удостоверений, выданных в ТИК"	22	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																											
18	. Глазьев Сергей Юрьевич	468	5	4	1	0	5	3	1	8	3	3	2	0	6	2	3	1	5	3	4	8	2	11	5	2	0	15	0	0	9	7	1	0	11	0	8	8	0	3	12	0	10	2	7	22	18	3	3	0	4	8	4	0	3	9	0	0	5	7	5	11	12	1	18	15	1	2	8	0	13	2	7	4	3	0	2	5	1	0	19	0	3	2	2	0	0	2	0	1	5	2	14	19	0	10	2	0	3	3	3	2					
		0.55%	1.83%	0.42%	0.14%	0.00%	0.92%	0.36%	0.14%	0.89%	0.46%	0.37%	0.23%	0.00%	0.48%	0.31%	0.66%	0.13%	0.65%	0.14%	1.37%	0.47%	0.40%	1.40%	0.48%	0.26%	0.00%	1.70%	0.00%	0.00%	0.85%	0.50%	0.21%	0.00%	0.82%	0.00%	0.81%	0.47%	0.00%	0.47%	0.71%	0.00%	1.11%	0.11%	0.78%	1.04%	2.13%	0.24%	0.24%	0.00%	1.03%	0.58%	0.43%	0.00%	0.57%	0.54%	0.00%	0.00%	0.72%	0.73%	0.49%	1.31%	0.68%	0.43%	1.90%	1.50%	0.19%	0.36%	1.11%	0.00%	1.02%	0.39%	1.10%	0.52%	0.40%	0.00%	0.25%	0.41%	0.14%	0.00%	1.25%	0.00%	0.51%	0.14%	0.39%	0.00%	0.00%	0.13%	0.00%	0.30%	0.34%	0.22%	0.68%	2.57%	0.00%	0.70%	0.40%	0.00%	0.55%	0.23%	0.30%	0.68%					
19	. Малышкин Олег Александрович	324	0	0	1	12	1	3	9	3	2	6	1	0	3	0	1	3	5	3	0	14	1	4	2	2	0	7	0	0	11	3	1	5	8	0	4	17	0	2	20	0	8	0	6	7	0	0	3	0	10	2	0	0	3	1	0	1	2	2	3	17	8	0	6	7	0	0	6	0	5	0	2	4	6	0	3	3	1	0	3	0	2	1	0	0	0	6	0	0	2	8	14	6	1	5	0	1	1	3	1	0					
		0.38%	0.00%	0.00%	0.14%	1.31%	0.18%	0.36%	1.22%	0.34%	0.30%	0.75%	0.12%	0.00%	0.24%	0.00%	0.22%	0.40%	0.65%	0.14%	0.00%	0.83%	0.20%	0.51%	0.19%	0.26%	0.00%	0.79%	0.00%	0.00%	1.04%	0.22%	0.21%	0.43%	0.59%	0.00%	0.40%	1.00%	0.00%	0.31%	1.19%	0.00%	0.89%	0.00%	0.67%	0.33%	0.00%	0.00%	0.24%	0.00%	2.58%	0.14%	0.00%	0.00%	0.57%	0.06%	0.00%	0.44%	0.29%	0.21%	0.29%	2.02%	0.45%	0.00%	0.63%	0.70%	0.00%	0.00%	0.83%	0.00%	0.39%	0.00%	0.31%	0.52%	0.80%	0.00%	0.38%	0.25%	0.14%	0.00%	0.20%	0.00%	0.34%	0.07%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.13%	0.88%	0.68%	0.81%	0.54%	0.35%	0.00%	0.28%	0.18%	0.23%	0.10%	0.00%					
20	. Миронов Сергей Михайлович	216	1	3	0	0	2	2	4	0	0	3	4	0	1	0	1	2	3	3	0	13	0	10	4	2	0	6	0	0	3	2	1	0	4	0	4	8	0	8	8	0	8	4	3	4	0	0	3	0	1	2	3	0	0	3	0	0	3	4	1	6	4	0	1	4	1	0	2	0	3	0	5	0	1	0	0	3	4	0	6	0	2	1	0	0	1	5	2	0	3	1	7	1	0	4	1	1	1	2	1	2					
		0.25%	0.37%	0.32%	0.00%	0.00%	0.37%	0.24%	0.54%	0.00%	0.00%	0.37%	0.46%	0.00%	0.08%	0.00%	0.22%	0.26%	0.39%	0.14%	0.00%	0.77%	0.00%	1.27%	0.38%	0.26%	0.00%	0.68%	0.00%	0.00%	0.28%	0.14%	0.21%	0.00%	0.30%	0.00%	0.40%	0.47%	0.00%	1.24%	0.48%	0.00%	0.89%	0.21%	0.33%	0.19%	0.00%	0.00%	0.24%	0.00%	0.26%	0.14%	0.32%	0.00%	0.00%	0.18%	0.00%	0.00%	0.43%	0.42%	0.10%	0.71%	0.23%	0.00%	0.11%	0.40%	0.19%	0.00%	0.28%	0.00%	0.23%	0.00%	0.78%	0.00%	0.13%	0.00%	0.00%	0.25%	0.56%	0.00%	0.39%	0.00%	0.34%	0.07%	0.00%	0.00%	0.27%	0.32%	0.19%	0.00%	0.20%	0.11%	0.34%	0.14%	0.00%	0.28%	0.20%	0.28%	0.18%	0.16%	0.10%	0.68%					
21	. Путин Владимир Владимирович	81218	257	917	703	871	513	792	701	861	634	765	826	587	1178	633	434	719	732	2081	282	1630	494	732	1016	744	373	706	1362	283	980	1363	385	1112	1245	328	963	1615	309	602	1545	100	840	1810	846	1985	786	1253	1160	120	357	1320	921	268	495	1617	390	226	672	909	993	795	1687	229	870	928	523	546	693	381	1196	505	594	747	713	445	760	1110	701	414	1381	289	558	1392	489	265	367	1524	1045	326	1457	869	1967	693	182	1378	486	344	525	1245	980	278					
		95.49%	94.14%	96.53%	99.01%	95.40%	94.48%	93.84%	95.12%	96.31%	96.21%	95.03%	95.05%	98.99%	95.15%	99.06%	95.18%	95.11%	95.31%	97.98%	96.25%	96.39%	98.41%	92.89%	96.67%	98.15%	98.16%	79.86%	97.77%	98.61%	92.98%	97.99%	81.22%	96.03%	92.50%	96.47%	96.98%	95.11%	98.10%	93.62%	91.96%	100.00%	93.65%	95.26%	94.00%	93.41%	93.02%	99.13%	94.23%	100.00%	92.25%	95.58%	98.08%	99.26%	94.65%	96.19%	99.24%	98.69%	96.28%	94.98%	97.07%	94.42%	94.99%	97.86%	92.06%	93.08%	97.21%	98.38%	95.98%	96.46%	93.51%	98.06%	92.96%	98.03%	94.56%	100.00%	95.00%	90.98%	98.46%	96.96%	90.56%	98.97%	94.26%	97.68%	96.45%	100.00%	98.66%	97.19%	97.57%	99.39%	97.98%	95.81%	95.16%	93.78%	98.38%	96.09%	97.20%	95.29%	97.04%	97.04%	98.00%	95.21%					
22	. Хакамада Ирина Муцуовна	402	1	6	0	16	4	2	1	4	3	4	2	1	4	1	1	4	3	7	0	10	1	8	3	2	0	17	0	0	13	2	6	2	7	0	3	9	0	6	15	0	3	3	9	4	9	0	0	0	4	1	0	0	0	5	1	0	3	6	4	0	13	0	14	9	1	0	2	2	14	1	0	1	3	0	7	3	0	0	39	0	4	2	4	0	1	8	4	0	3	4	16	7	0	10	1	1	2	2	3	1					
		0.47%	0.37%	0.63%	0.00%	1.75%	0.74%	0.24%	0.14%	0.45%	0.46%	0.50%	0.23%	0.17%	0.32%	0.16%	0.22%	0.53%	0.39%	0.33%	0.00%	0.59%	0.20%	1.02%	0.29%	0.26%	0.00%	1.92%	0.00%	0.00%	1.23%	0.14%	1.27%	0.17%	0.52%	0.00%	0.30%	0.53%	0.00%	0.93%	0.89%	0.00%	0.33%	0.16%	1.00%	0.19%	1.07%	0.00%	0.00%	0.00%	1.03%	0.07%	0.00%	0.00%	0.00%	0.30%	0.25%	0.00%	0.43%	0.63%	0.39%	0.00%	0.73%	0.00%	1.48%	0.90%	0.19%	0.00%	0.28%	0.51%	1.09%	0.19%	0.00%	0.13%	0.40%	0.00%	0.88%	0.25%	0.00%	0.00%	2.56%	0.00%	0.68%	0.14%	0.79%	0.00%	0.27%	0.51%	0.37%	0.00%	0.20%	0.44%	0.77%	0.95%	0.00%	0.70%	0.20%	0.28%	0.37%	0.16%	0.30%	0.34%					
23	. Харитонов Николай Михайлович	1674	5	13	5	0	14	42	3	13	10	20	15	3	17	2	7	27	18	16	3	16	1	13	16	3	0	109	31	4	19	11	58	32	65	6	8	35	4	18	65	0	13	76	10	95	32	8	5	0	9	34	7	1	19	29	1	2	13	27	9	0	41	3	15	28	8	2	11	12	38	6	16	3	11	0	14	70	3	0	45	3	10	22	12	0	3	20	10	1	11	8	29	5	2	21	6	2	8	23	7	8					
		1.97%	1.83%	1.37%	0.70%	0.00%	2.58%	4.98%	0.41%	1.45%	1.52%	2.48%	1.73%	0.51%	1.37%	0.31%	1.54%	3.57%	2.34%	0.75%	1.02%	0.95%	0.20%	1.65%	1.52%	0.40%	0.00%	12.33%	2.23%	1.39%	1.80%	0.79%	12.24%	2.76%	4.83%	1.76%	0.81%	2.06%	1.27%	2.80%	3.87%	0.00%	1.45%	4.00%	1.11%	4.47%	3.79%	0.63%	0.41%	0.00%	2.33%	2.46%	0.75%	0.37%	3.63%	1.73%	0.25%	0.87%	1.86%	2.82%	0.88%	0.00%	2.31%	1.28%	1.59%	2.81%	1.49%	0.36%	1.52%	3.04%	2.97%	1.17%	2.50%	0.39%	1.46%	0.00%	1.75%	5.74%	0.42%	0.00%	2.95%	1.03%	1.69%	1.54%	2.37%	0.00%	0.81%	1.28%	0.93%	0.30%	0.74%	0.88%	1.40%	0.68%	1.08%	1.46%	1.20%	0.55%	1.48%	1.79%	0.70%	2.74%					
																																																																																																											
24	Против всех	412	2	4	0	12	2	0	5	3	7	3	11	0	17	1	5	0	2	6	3	0	3	8	4	2	0	17	0	0	10	2	2	7	4	2	2	3	2	1	10	0	9	5	13	5	0	0	6	0	1	10	4	0	1	11	1	0	0	2	5	0	6	1	15	4	2	0	0	0	10	1	9	3	11	0	11	13	1	9	22	0	6	5	0	0	0	2	5	0	6	8	7	4	0	3	4	2	1	3	3	0					
		0.48%	0.73%	0.42%	0.00%	1.31%	0.37%	0.00%	0.68%	0.34%	1.06%	0.37%	1.27%	0.00%	1.37%	0.16%	1.10%	0.00%	0.26%	0.28%	1.02%	0.00%	0.60%	1.02%	0.38%	0.26%	0.00%	1.92%	0.00%	0.00%	0.95%	0.14%	0.42%	0.60%	0.30%	0.59%	0.20%	0.18%	0.63%	0.16%	0.60%	0.00%	1.00%	0.26%	1.44%	0.24%	0.00%	0.00%	0.49%	0.00%	0.26%	0.72%	0.43%	0.00%	0.19%	0.65%	0.25%	0.00%	0.00%	0.21%	0.49%	0.00%	0.34%	0.43%	1.59%	0.40%	0.37%	0.00%	0.00%	0.00%	0.78%	0.19%	1.41%	0.39%	1.46%	0.00%	1.38%	1.07%	0.14%	2.11%	1.44%	0.00%	1.01%	0.35%	0.00%	0.00%	0.00%	0.13%	0.47%	0.00%	0.40%	0.88%	0.34%	0.54%	0.00%	0.21%	0.80%	0.55%	0.18%	0.23%	0.30%	0.00%					
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
