Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    район Москворечье-Сабурово																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №2993	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147					
11	Число полученных открепительных  удостоверений	1170	60	60	70	70	70	70	70	60	50	60	70	70	60	70	70	70	70	50	0	0	0	0	0					
12	Число выданных открепительных удостоверений	711	34	20	36	36	48	55	31	47	29	47	46	39	44	53	37	26	44	39	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	691	37	87	74	27	60	37	38	0	21	26	21	15	49	24	17	38	50	20	31	6	7	6	0					
14	Число неиспользованных открепительных удостоверений	459	26	40	34	34	22	15	39	13	21	13	24	31	16	17	33	44	26	11	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	24	0	0	0	2	2	2	0	0	1	0	4	0	4	4	3	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	1530	105	96	107	97	88	50	79	81	60	62	69	82	78	84	126	92	57	74	13	10	5	11	4					
		5.96%	8.22%	6.84%	7.84%	7.05%	6.43%	3.71%	6.55%	6.20%	5.37%	5.09%	4.62%	6.09%	5.99%	4.72%	7.15%	5.71%	3.54%	6.72%	4.06%	10.42%	5.95%	7.64%	9.30%					
19	. Малышкин Олег Александрович	326	13	23	22	20	17	18	16	15	19	16	24	17	12	17	23	14	16	13	8	1	0	2	0					
		1.27%	1.02%	1.64%	1.61%	1.45%	1.24%	1.34%	1.33%	1.15%	1.70%	1.31%	1.61%	1.26%	0.92%	0.96%	1.31%	0.87%	0.99%	1.18%	2.50%	1.04%	0.00%	1.39%	0.00%					
20	. Миронов Сергей Михайлович	133	8	12	4	4	9	9	9	7	7	4	6	7	6	10	4	5	7	6	5	1	1	1	1					
		0.52%	0.63%	0.85%	0.29%	0.29%	0.66%	0.67%	0.75%	0.54%	0.63%	0.33%	0.40%	0.52%	0.46%	0.56%	0.23%	0.31%	0.44%	0.54%	1.56%	1.04%	1.19%	0.69%	2.33%					
21	. Путин Владимир Владимирович	17789	802	933	894	942	939	996	805	915	802	877	1029	898	936	1297	1224	1111	1186	730	222	65	59	101	26					
		69.28%	62.80%	66.45%	65.54%	68.46%	68.59%	73.89%	66.69%	70.01%	71.74%	71.94%	68.97%	66.72%	71.83%	72.95%	69.47%	69.01%	73.71%	66.30%	69.38%	67.71%	70.24%	70.14%	60.47%					
22	. Хакамада Ирина Муцуовна	2108	142	116	120	77	116	99	119	101	74	55	163	131	71	145	153	177	94	113	17	5	9	5	6					
		8.21%	11.12%	8.26%	8.80%	5.60%	8.47%	7.34%	9.86%	7.73%	6.62%	4.51%	10.92%	9.73%	5.45%	8.16%	8.68%	10.99%	5.84%	10.26%	5.31%	5.21%	10.71%	3.47%	13.95%					
23	. Харитонов Николай Михайлович	1706	113	70	91	133	109	82	84	69	68	107	80	83	97	87	82	67	158	78	21	8	7	10	2					
		6.64%	8.85%	4.99%	6.67%	9.67%	7.96%	6.08%	6.96%	5.28%	6.08%	8.78%	5.36%	6.17%	7.44%	4.89%	4.65%	4.16%	9.82%	7.08%	6.56%	8.33%	8.33%	6.94%	4.65%					
																														
24	Против всех	1875	86	144	98	91	84	82	91	104	82	88	112	122	86	122	142	134	83	84	13	6	3	14	4					
		7.30%	6.73%	10.26%	7.18%	6.61%	6.14%	6.08%	7.54%	7.96%	7.33%	7.22%	7.51%	9.06%	6.60%	6.86%	8.06%	8.32%	5.16%	7.63%	4.06%	6.25%	3.57%	9.72%	9.30%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
