Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Золотухинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
		1.55%	0.54%	0.00%	1.50%	1.29%	6.93%	1.93%	2.60%	4.00%	0.42%	1.39%	0.45%	1.66%	3.14%	0.80%	1.41%	0.68%	0.78%	0.00%	0.64%	2.13%	1.42%	1.56%	1.34%	1.79%	1.90%	3.19%	2.28%	1.42%	1.14%	1.28%	2.94%	0.65%	0.77%	1.20%	2.59%	0.00%	1.81%	0.88%	0.00%	2.70%	1.33%	0.99%					
20	. Миронов Сергей Михайлович	80	3	2	2	0	0	4	3	0	1	0	1	2	1	2	2	2	2	0	4	4	3	5	3	3	0	1	2	7	0	1	0	1	0	5	2	3	1	2	3	1	2	0					
		0.53%	0.82%	1.42%	0.50%	0.00%	0.00%	0.97%	0.41%	0.00%	0.42%	0.00%	0.45%	0.66%	0.45%	1.60%	0.47%	0.68%	0.52%	0.00%	1.28%	0.53%	0.53%	0.78%	0.45%	0.60%	0.00%	0.40%	0.33%	0.83%	0.00%	0.32%	0.00%	0.32%	0.00%	0.75%	0.32%	0.60%	0.26%	0.88%	0.83%	0.90%	1.33%	0.00%					
21	. Путин Владимир Владимирович	11240	270	105	309	129	130	331	576	105	164	121	183	239	159	81	320	247	322	88	254	525	383	473	425	393	115	191	426	574	324	237	29	240	222	515	461	424	314	159	303	87	128	159					
		75.01%	73.37%	74.47%	77.44%	83.23%	56.28%	79.95%	78.69%	70.00%	69.20%	84.03%	82.06%	79.40%	71.30%	64.80%	75.12%	83.45%	83.20%	80.73%	81.41%	69.81%	68.15%	73.56%	63.24%	78.29%	72.78%	76.10%	69.27%	67.69%	74.14%	75.72%	42.65%	77.67%	85.71%	77.56%	74.60%	84.29%	81.35%	69.74%	84.17%	78.38%	85.33%	78.33%					
22	. Хакамада Ирина Муцуовна	199	8	1	3	0	2	4	8	1	2	1	5	4	2	0	3	3	6	2	3	16	5	10	10	11	1	2	12	11	10	2	4	5	0	11	9	11	3	1	2	2	2	1					
		1.33%	2.17%	0.71%	0.75%	0.00%	0.87%	0.97%	1.09%	0.67%	0.84%	0.69%	2.24%	1.33%	0.90%	0.00%	0.70%	1.01%	1.55%	1.83%	0.96%	2.13%	0.89%	1.56%	1.49%	2.19%	0.63%	0.80%	1.95%	1.30%	2.29%	0.64%	5.88%	1.62%	0.00%	1.66%	1.46%	2.19%	0.78%	0.44%	0.56%	1.80%	1.33%	0.49%					
23	. Харитонов Николай Михайлович	2404	63	30	69	17	69	48	84	35	63	17	24	39	41	36	56	34	47	17	31	128	121	101	166	73	27	39	120	186	78	52	29	53	28	79	71	39	40	49	41	12	15	37					
		16.04%	17.12%	21.28%	17.29%	10.97%	29.87%	11.59%	11.48%	23.33%	26.58%	11.81%	10.76%	12.96%	18.39%	28.80%	13.15%	11.49%	12.14%	15.60%	9.94%	17.02%	21.53%	15.71%	24.70%	14.54%	17.09%	15.54%	19.51%	21.93%	17.85%	16.61%	42.65%	17.15%	10.81%	11.90%	11.49%	7.75%	10.36%	21.49%	11.39%	10.81%	10.00%	18.23%					
																																																	
24	Против всех	326	2	3	3	1	8	3	22	1	2	1	1	5	3	1	8	4	3	0	7	26	24	16	15	8	5	1	27	26	11	1	1	3	2	22	30	10	7	5	6	1	0	1					
		2.18%	0.54%	2.13%	0.75%	0.65%	3.46%	0.72%	3.01%	0.67%	0.84%	0.69%	0.45%	1.66%	1.35%	0.80%	1.88%	1.35%	0.78%	0.00%	2.24%	3.46%	4.27%	2.49%	2.23%	1.59%	3.16%	0.40%	4.39%	3.07%	2.52%	0.32%	1.47%	0.97%	0.77%	3.31%	4.85%	1.99%	1.81%	2.19%	1.67%	0.90%	0.00%	0.49%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
