Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Реутовская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424					
		6.18%	8.30%	5.87%	5.67%	6.23%	5.55%	6.79%	6.53%	4.81%	7.23%	7.79%	5.47%	6.12%	5.75%	4.50%	6.95%	6.48%	6.22%	5.24%	6.79%	4.81%	6.06%	6.36%	7.06%	6.35%	5.45%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
