Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Архангельск, Октябрьская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
19	. Малышкин Олег Александрович	601	32	20	22	11	28	18	11	14	28	29	18	17	14	22	12	12	17	12	17	20	22	24	31	8	17	19	16	21	19	1	0	9	4	6	1	7	22					
		1.33%	1.85%	1.22%	1.39%	0.87%	1.74%	1.14%	0.73%	1.02%	1.76%	1.85%	1.14%	1.05%	0.91%	1.45%	0.79%	0.88%	1.07%	0.69%	1.02%	1.19%	1.40%	1.54%	1.88%	0.84%	1.53%	1.46%	1.76%	1.56%	1.22%	1.22%	0.00%	1.49%	1.93%	13.33%	0.49%	4.05%	4.04%					
20	. Миронов Сергей Михайлович	345	8	9	7	12	10	16	7	6	12	17	9	11	18	9	11	20	13	10	21	19	8	7	17	6	6	8	4	20	10	1	1	7	2	0	1	0	2					
		0.76%	0.46%	0.55%	0.44%	0.95%	0.62%	1.01%	0.46%	0.44%	0.76%	1.09%	0.57%	0.68%	1.17%	0.59%	0.72%	1.47%	0.82%	0.58%	1.26%	1.13%	0.51%	0.45%	1.03%	0.63%	0.54%	0.61%	0.44%	1.48%	0.64%	1.22%	0.69%	1.16%	0.97%	0.00%	0.49%	0.00%	0.37%					
21	. Путин Владимир Владимирович	33243	1264	1268	1160	949	1162	1137	1149	1023	1163	1139	1170	1194	1084	1025	1059	914	1120	1266	1172	1214	1168	1203	1205	686	804	970	750	1038	1200	52	111	446	157	34	159	151	477					
		73.51%	73.11%	77.36%	73.28%	75.44%	72.17%	71.96%	75.74%	74.62%	73.24%	72.78%	74.29%	73.70%	70.66%	67.43%	69.76%	67.01%	70.44%	73.09%	70.43%	72.22%	74.06%	77.02%	73.21%	71.91%	72.30%	74.39%	82.33%	76.89%	77.07%	63.41%	76.55%	73.60%	75.85%	75.56%	77.18%	87.28%	87.52%					
22	. Хакамада Ирина Муцуовна	3675	150	113	131	100	147	148	111	122	121	124	140	149	126	136	173	150	127	187	148	160	131	95	132	89	79	93	21	75	116	6	7	36	3	2	5	2	20					
		8.13%	8.68%	6.89%	8.28%	7.95%	9.13%	9.37%	7.32%	8.90%	7.62%	7.92%	8.89%	9.20%	8.21%	8.95%	11.40%	11.00%	7.99%	10.80%	8.89%	9.52%	8.31%	6.08%	8.02%	9.33%	7.10%	7.13%	2.31%	5.56%	7.45%	7.32%	4.83%	5.94%	1.45%	4.44%	2.43%	1.16%	3.67%					
23	. Харитонов Николай Михайлович	3695	136	118	137	84	126	122	102	111	150	129	118	108	171	162	136	143	156	130	161	129	110	119	143	84	110	102	64	79	100	19	15	63	29	3	19	7	0					
		8.17%	7.87%	7.20%	8.65%	6.68%	7.83%	7.72%	6.72%	8.10%	9.45%	8.24%	7.49%	6.67%	11.15%	10.66%	8.96%	10.48%	9.81%	7.51%	9.68%	7.67%	6.98%	7.62%	8.69%	8.81%	9.89%	7.82%	7.03%	5.85%	6.42%	23.17%	10.34%	10.40%	14.01%	6.67%	9.22%	4.05%	0.00%					
																																												
24	Против всех	1756	64	46	64	54	61	64	60	49	40	75	64	72	57	73	61	59	75	70	65	66	73	62	61	39	36	51	23	59	51	1	8	24	4	0	3	3	19					
		3.88%	3.70%	2.81%	4.04%	4.29%	3.79%	4.05%	3.96%	3.57%	2.52%	4.79%	4.06%	4.44%	3.72%	4.80%	4.02%	4.33%	4.72%	4.04%	3.91%	3.93%	4.63%	3.97%	3.71%	4.09%	3.24%	3.91%	2.52%	4.37%	3.28%	1.22%	5.52%	3.96%	1.93%	0.00%	1.46%	1.73%	3.49%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
