Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Ижевск, Октябрьская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	4671	90	84	76	81	54	121	124	101	66	96	94	128	102	97	79	71	83	94	78	94	55	133	30	70	29	24	33	94	91	125	69	65	75	158	78	128	108	106	68	101	93	106	121	125	124	111	64	120	95	11	5	8	7	37	10	126	1	46	3	2	3					
		6.27%	5.40%	4.84%	4.42%	5.69%	4.86%	7.39%	6.47%	5.29%	3.91%	5.75%	5.23%	6.86%	5.98%	5.41%	4.62%	6.48%	5.08%	7.73%	6.37%	8.26%	7.08%	9.72%	5.07%	7.19%	4.96%	4.52%	3.89%	8.05%	7.63%	8.23%	7.37%	6.89%	7.26%	8.16%	6.40%	7.66%	6.84%	6.56%	5.81%	6.30%	6.54%	6.39%	6.67%	7.09%	6.95%	5.85%	5.29%	6.36%	6.92%	3.57%	2.59%	2.92%	2.94%	5.03%	5.35%	7.42%	1.02%	5.60%	5.00%	2.20%	6.00%					
19	. Малышкин Олег Александрович	1552	42	36	52	36	37	29	47	48	32	23	45	34	38	36	41	21	31	22	20	22	8	24	8	9	22	14	8	26	26	34	18	16	13	36	26	29	27	30	19	53	34	35	45	32	34	46	18	49	25	10	3	5	4	13	1	34	2	19	1	2	2					
		2.08%	2.52%	2.07%	3.03%	2.53%	3.33%	1.77%	2.45%	2.51%	1.90%	1.38%	2.51%	1.82%	2.23%	2.01%	2.40%	1.92%	1.90%	1.81%	1.63%	1.93%	1.03%	1.75%	1.35%	0.92%	3.76%	2.64%	0.94%	2.23%	2.18%	2.24%	1.92%	1.69%	1.26%	1.86%	2.13%	1.74%	1.71%	1.86%	1.62%	3.31%	2.39%	2.11%	2.48%	1.81%	1.91%	2.42%	1.49%	2.60%	1.82%	3.25%	1.55%	1.82%	1.68%	1.77%	0.53%	2.00%	2.04%	2.31%	1.67%	2.20%	4.00%					
20	. Миронов Сергей Михайлович	681	14	11	15	10	11	13	28	15	11	16	20	15	9	22	15	9	11	11	15	8	13	22	4	9	3	5	10	12	11	8	9	8	12	15	14	16	15	13	11	20	20	13	13	13	11	21	6	11	10	3	2	3	3	8	1	21	3	9	0	0	1					
		0.91%	0.84%	0.63%	0.87%	0.70%	0.99%	0.79%	1.46%	0.78%	0.65%	0.96%	1.11%	0.80%	0.53%	1.23%	0.88%	0.82%	0.67%	0.90%	1.23%	0.70%	1.67%	1.61%	0.68%	0.92%	0.51%	0.94%	1.18%	1.03%	0.92%	0.53%	0.96%	0.85%	1.16%	0.77%	1.15%	0.96%	0.95%	0.80%	0.94%	1.25%	1.41%	0.78%	0.72%	0.74%	0.62%	1.11%	0.50%	0.58%	0.73%	0.97%	1.04%	1.09%	1.26%	1.09%	0.53%	1.24%	3.06%	1.09%	0.00%	0.00%	2.00%					
21	. Путин Владимир Владимирович	52414	1226	1283	1232	1032	806	1140	1375	1375	1299	1225	1273	1322	1199	1284	1228	812	1238	839	829	790	523	941	426	659	362	359	668	751	793	1006	628	677	706	1293	826	1144	1116	1083	843	1111	948	1141	1282	1205	1256	1315	890	1320	927	236	159	226	181	532	133	1129	76	586	38	75	37					
		70.37%	73.50%	73.95%	71.67%	72.52%	72.55%	69.60%	71.73%	71.95%	76.95%	73.35%	70.88%	70.81%	70.24%	71.61%	71.77%	74.16%	75.81%	69.00%	67.73%	69.42%	67.31%	68.79%	71.96%	67.73%	61.88%	67.61%	78.77%	64.30%	66.47%	66.23%	67.09%	71.72%	68.34%	66.75%	67.76%	68.46%	70.63%	67.02%	71.99%	69.35%	66.62%	68.82%	70.63%	68.31%	70.44%	69.32%	73.55%	69.99%	67.57%	76.62%	82.38%	82.48%	76.05%	72.38%	71.12%	66.53%	77.55%	71.29%	63.33%	82.42%	74.00%					
22	. Хакамада Ирина Муцуовна	5598	94	116	112	102	83	106	105	124	93	150	116	154	131	117	119	68	109	72	105	83	78	101	53	96	63	46	38	78	95	118	80	71	67	159	95	126	112	195	81	114	115	144	157	159	124	169	81	161	117	16	6	14	7	65	2	150	1	78	3	2	2					
		7.52%	5.64%	6.69%	6.52%	7.17%	7.47%	6.47%	5.48%	6.49%	5.51%	8.98%	6.46%	8.25%	7.67%	6.53%	6.95%	6.21%	6.67%	5.92%	8.58%	7.29%	10.04%	7.38%	8.95%	9.87%	10.77%	8.66%	4.48%	6.68%	7.96%	7.77%	8.55%	7.52%	6.49%	8.21%	7.79%	7.54%	7.09%	12.07%	6.92%	7.12%	8.08%	8.69%	8.65%	9.01%	6.95%	8.91%	6.69%	8.54%	8.53%	5.19%	3.11%	5.11%	2.94%	8.84%	1.07%	8.84%	1.02%	9.49%	5.00%	2.20%	4.00%					
23	. Харитонов Николай Михайлович	6703	148	152	144	116	84	168	155	168	126	100	173	157	158	171	167	75	104	125	140	113	70	109	45	101	77	57	67	149	121	168	99	87	116	194	135	167	134	118	115	138	158	168	129	152	155	152	109	148	143	23	11	8	19	52	25	160	7	57	11	2	3					
		9.00%	8.87%	8.76%	8.38%	8.15%	7.56%	10.26%	8.09%	8.79%	7.46%	5.99%	9.63%	8.41%	9.26%	9.54%	9.76%	6.85%	6.37%	10.28%	11.44%	9.93%	9.01%	7.97%	7.60%	10.38%	13.16%	10.73%	7.90%	12.76%	10.14%	11.06%	10.58%	9.22%	11.23%	10.02%	11.07%	9.99%	8.48%	7.30%	9.82%	8.61%	11.10%	10.13%	7.11%	8.62%	8.69%	8.01%	9.01%	7.85%	10.42%	7.47%	5.70%	2.92%	7.98%	7.07%	13.37%	9.43%	7.14%	6.93%	18.33%	2.20%	6.00%					
																																																																				
24	Против всех	2255	45	44	54	40	30	41	60	56	51	51	52	51	53	66	53	22	44	40	25	16	25	29	14	26	26	22	19	49	46	60	22	16	31	62	29	51	52	64	31	46	48	45	60	56	71	68	33	65	45	7	2	5	10	23	10	63	1	20	1	6	2					
		3.03%	2.70%	2.54%	3.14%	2.81%	2.70%	2.50%	3.13%	2.93%	3.02%	3.05%	2.90%	2.73%	3.10%	3.68%	3.10%	2.01%	2.69%	3.29%	2.04%	1.41%	3.22%	2.12%	2.36%	2.67%	4.44%	4.14%	2.24%	4.20%	3.86%	3.95%	2.35%	1.69%	3.00%	3.20%	2.38%	3.05%	3.29%	3.96%	2.65%	2.87%	3.37%	2.71%	3.31%	3.17%	3.98%	3.58%	2.73%	3.45%	3.28%	2.27%	1.04%	1.82%	4.20%	3.13%	5.35%	3.71%	1.02%	2.43%	1.67%	6.59%	4.00%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
