Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Челябинск, Металлургическая"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	2572	46	15	32	58	26	26	32	42	36	18	41	39	28	29	39	40	80	57	41	37	49	38	62	45	52	65	29	31	30	8	47	30	30	33	27	41	31	33	54	53	50	31	67	30	43	87	39	61	51	31	39	51	54	57	73	62	64	55	77					
		4.06%	6.16%	2.47%	2.68%	3.79%	2.95%	3.39%	3.56%	4.09%	4.42%	2.68%	3.82%	4.71%	2.94%	2.90%	3.71%	3.60%	6.09%	5.40%	4.04%	4.12%	4.41%	4.48%	4.68%	4.34%	7.82%	7.64%	3.85%	3.98%	3.74%	0.89%	3.62%	4.30%	3.09%	3.65%	2.34%	3.36%	2.81%	3.23%	4.34%	4.04%	3.86%	3.18%	4.53%	3.41%	4.03%	6.19%	3.37%	3.86%	4.87%	3.67%	3.38%	3.57%	3.96%	4.51%	5.14%	4.63%	4.24%	4.96%	4.88%					
19	. Малышкин Олег Александрович	1354	30	17	26	37	23	8	18	25	24	11	20	14	13	25	15	17	23	26	18	18	26	21	27	11	10	18	10	21	21	9	30	16	29	25	17	15	31	25	22	29	25	17	22	21	19	30	42	21	37	14	36	37	25	20	32	31	37	24	43					
		2.14%	4.02%	2.80%	2.18%	2.42%	2.61%	1.04%	2.00%	2.43%	2.94%	1.64%	1.86%	1.69%	1.37%	2.50%	1.43%	1.53%	1.75%	2.46%	1.78%	2.00%	2.34%	2.48%	2.04%	1.06%	1.50%	2.12%	1.33%	2.70%	2.62%	1.00%	2.31%	2.30%	2.99%	2.76%	1.47%	1.23%	2.81%	2.45%	1.77%	2.21%	1.93%	1.75%	1.49%	2.38%	1.78%	2.13%	3.63%	1.33%	3.53%	1.66%	3.12%	2.59%	1.83%	1.58%	2.25%	2.31%	2.45%	2.17%	2.72%					
20	. Миронов Сергей Михайлович	635	6	3	19	10	11	11	8	4	7	8	3	4	11	6	11	3	11	4	5	15	4	14	17	11	5	6	3	7	7	37	14	7	13	12	5	6	4	10	10	10	17	11	20	7	18	11	8	24	14	13	18	14	18	18	20	6	17	8	11					
		1.00%	0.80%	0.49%	1.59%	0.65%	1.25%	1.43%	0.89%	0.39%	0.86%	1.19%	0.28%	0.48%	1.16%	0.60%	1.05%	0.27%	0.84%	0.38%	0.49%	1.67%	0.36%	1.65%	1.28%	1.06%	0.75%	0.71%	0.40%	0.90%	0.87%	4.12%	1.08%	1.00%	1.34%	1.33%	0.43%	0.49%	0.36%	0.98%	0.80%	0.76%	1.31%	1.13%	1.35%	0.79%	1.69%	0.78%	0.69%	1.52%	1.34%	1.54%	1.56%	0.98%	1.32%	1.43%	1.41%	0.45%	1.13%	0.72%	0.70%					
21	. Путин Владимир Владимирович	43609	508	507	869	1070	628	563	640	733	543	477	712	575	713	689	737	725	846	726	695	648	772	573	865	689	434	538	522	516	552	587	886	467	695	630	822	898	762	685	846	916	864	675	1017	602	724	926	824	1087	690	587	800	948	986	857	948	957	1028	738	1092					
		68.86%	68.01%	83.53%	72.72%	69.84%	71.36%	73.31%	71.27%	71.30%	66.63%	70.98%	66.36%	69.44%	74.97%	68.83%	70.19%	65.20%	64.38%	68.82%	68.54%	72.08%	69.42%	67.57%	65.23%	66.38%	65.26%	63.22%	69.32%	66.24%	68.83%	65.44%	68.26%	67.00%	71.58%	69.61%	71.23%	73.61%	69.15%	67.09%	68.01%	69.76%	66.72%	69.30%	68.72%	68.33%	67.92%	65.86%	71.22%	68.84%	65.90%	69.55%	69.32%	66.39%	72.34%	67.85%	66.71%	71.42%	68.03%	66.61%	69.20%					
22	. Хакамада Ирина Муцуовна	3469	29	5	54	89	49	28	38	50	38	26	58	38	50	70	68	81	91	79	73	48	69	55	100	82	51	81	28	54	37	51	98	43	29	40	52	65	53	46	74	66	63	45	81	49	54	69	58	77	65	39	51	69	79	55	95	70	71	70	73					
		5.48%	3.88%	0.82%	4.52%	5.81%	5.57%	3.65%	4.23%	4.86%	4.66%	3.87%	5.41%	4.59%	5.26%	6.99%	6.48%	7.28%	6.93%	7.49%	7.20%	5.34%	6.21%	6.49%	7.54%	7.90%	7.67%	9.52%	3.72%	6.93%	4.61%	5.69%	7.55%	6.17%	2.99%	4.42%	4.51%	5.33%	4.81%	4.51%	5.95%	5.03%	4.86%	4.62%	5.47%	5.56%	5.07%	4.91%	5.01%	4.88%	6.21%	4.62%	4.42%	4.83%	5.80%	4.35%	6.69%	5.22%	4.70%	6.32%	4.63%					
23	. Харитонов Николай Михайлович	8157	97	38	153	175	103	93	117	113	133	100	173	113	107	119	116	177	192	118	129	85	121	107	173	137	82	108	118	125	121	136	133	93	126	101	161	142	145	173	163	158	215	137	214	124	160	201	124	220	141	115	138	219	124	169	145	138	174	150	175					
		12.88%	12.99%	6.26%	12.80%	11.42%	11.70%	12.11%	13.03%	10.99%	16.32%	14.88%	16.12%	13.65%	11.25%	11.89%	11.05%	15.92%	14.61%	11.18%	12.72%	9.45%	10.88%	12.62%	13.05%	13.20%	12.33%	12.69%	15.67%	16.05%	15.09%	15.16%	10.25%	13.34%	12.98%	11.16%	13.95%	11.64%	13.16%	16.94%	13.10%	12.03%	16.60%	14.07%	14.46%	14.07%	15.01%	14.30%	10.72%	13.93%	13.47%	13.63%	11.96%	15.34%	9.10%	13.38%	10.20%	10.30%	11.52%	13.54%	11.09%					
																																																																		
24	Против всех	2877	24	7	37	76	31	25	44	50	30	25	50	29	23	55	54	57	64	39	47	42	60	35	76	55	25	33	41	23	26	48	78	29	36	51	58	45	61	33	61	63	47	47	50	42	38	61	53	79	41	30	54	76	61	58	100	69	99	48	78					
		4.54%	3.21%	1.15%	3.10%	4.96%	3.52%	3.26%	4.90%	4.86%	3.68%	3.72%	4.66%	3.50%	2.42%	5.49%	5.14%	5.13%	4.87%	3.70%	4.64%	4.67%	5.40%	4.13%	5.73%	5.30%	3.76%	3.88%	5.44%	2.95%	3.24%	5.35%	6.01%	4.16%	3.71%	5.64%	5.03%	3.69%	5.54%	3.23%	4.90%	4.80%	3.63%	4.83%	3.38%	4.77%	3.56%	4.34%	4.58%	5.00%	3.92%	3.55%	4.68%	5.32%	4.48%	4.59%	7.04%	5.15%	6.55%	4.33%	4.94%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
