Выборы Президента Российской Федерации																																																																																																				
Дата голосования: 18.03.2018																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования																																																																																																				
																																																																																																				
	Число участковых избирательных комиссий	89																																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	89																																																																																																		
																																																																																																				
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154									
16	Путин Владимир Владимирович	20177	267	272	374	145	147	252	156	418	60	94	62	40	28	47	66	39	151	283	63	31	130	110	63	181	105	74	42	188	89	31	16	289	121	559	441	536	396	784	365	617	729	260	666	722	927	229	383	489	428	571	640	385	253	83	140	73	40	89	84	124	318	187	129	202	548	150	146	239	58	77	56	66	316	286	41	24	76	28	120	43	209	48	153	76	181	135	55	65	698									
		76.74%	72.55%	73.91%	72.06%	69.05%	73.87%	68.85%	65.27%	82.61%	84.51%	94.00%	88.57%	76.92%	84.85%	90.38%	85.71%	76.47%	98.05%	79.05%	65.63%	83.78%	83.33%	65.09%	78.75%	83.80%	77.78%	91.36%	87.50%	76.73%	78.76%	83.78%	94.12%	70.83%	93.08%	71.76%	79.17%	78.25%	74.58%	77.47%	74.95%	74.97%	74.16%	69.15%	74.50%	74.36%	75.61%	74.59%	73.94%	70.97%	73.79%	76.34%	71.59%	76.09%	89.08%	80.58%	78.65%	90.12%	85.11%	83.96%	86.60%	85.52%	79.70%	81.30%	93.48%	87.83%	78.29%	75.00%	76.04%	77.35%	85.29%	81.91%	88.89%	92.96%	74.70%	78.79%	87.23%	72.73%	84.44%	90.32%	86.33%	86.00%	75.45%	71.64%	88.44%	69.72%	76.05%	85.99%	83.33%	73.03%	79.50%									
17	Собчак Ксения Анатольевна	150	0	4	3	0	0	1	0	1	0	0	0	0	2	0	1	0	1	1	2	0	0	1	0	0	2	0	0	1	0	0	0	3	0	5	6	1	4	7	0	11	4	2	12	12	6	0	2	3	1	6	6	3	4	0	1	0	0	0	1	3	1	0	1	1	7	1	1	1	0	0	0	0	3	1	0	0	0	0	1	0	2	0	2	0	0	1	0	0	4									
		0.57%	0.00%	1.09%	0.58%	0.00%	0.00%	0.27%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	6.06%	0.00%	1.30%	0.00%	0.65%	0.28%	2.08%	0.00%	0.00%	0.59%	0.00%	0.00%	1.48%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.74%	0.00%	0.64%	1.08%	0.15%	0.75%	0.69%	0.00%	1.34%	0.41%	0.53%	1.34%	1.24%	0.49%	0.00%	0.39%	0.44%	0.17%	0.80%	0.67%	0.59%	1.41%	0.00%	0.56%	0.00%	0.00%	0.00%	1.03%	2.07%	0.25%	0.00%	0.72%	0.43%	1.00%	0.50%	0.52%	0.32%	0.00%	0.00%	0.00%	0.00%	0.71%	0.28%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.72%	0.00%	1.16%	0.00%	0.00%	0.64%	0.00%	0.00%	0.46%									
18	Сурайкин Максим Александрович	162	4	1	5	0	3	10	1	1	0	1	0	0	0	1	0	0	1	2	0	2	0	2	0	0	1	0	1	1	1	0	0	6	0	4	3	8	3	5	1	5	8	1	5	8	7	5	4	3	3	6	8	4	2	0	3	0	0	0	0	0	2	0	0	1	3	0	0	2	0	0	0	0	1	1	0	0	1	0	1	0	2	0	3	0	0	0	0	0	5									
		0.62%	1.09%	0.27%	0.96%	0.00%	1.51%	2.73%	0.42%	0.20%	0.00%	1.00%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.65%	0.56%	0.00%	5.41%	0.00%	1.18%	0.00%	0.00%	0.74%	0.00%	2.08%	0.41%	0.88%	0.00%	0.00%	1.47%	0.00%	0.51%	0.54%	1.17%	0.56%	0.49%	0.21%	0.61%	0.81%	0.27%	0.56%	0.82%	0.57%	1.63%	0.77%	0.44%	0.52%	0.80%	0.89%	0.79%	0.70%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.43%	0.43%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.24%	0.28%	0.00%	0.00%	1.11%	0.00%	0.72%	0.00%	0.72%	0.00%	1.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%									
19	Титов Борис Юрьевич	89	1	2	1	0	0	1	0	2	1	0	0	1	0	0	1	0	0	3	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	4	2	1	4	2	0	2	5	1	3	3	1	0	1	4	2	3	2	1	0	0	1	0	0	0	0	0	0	3	2	2	3	0	1	3	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	2	2	3									
		0.34%	0.27%	0.54%	0.19%	0.00%	0.00%	0.27%	0.00%	0.40%	1.41%	0.00%	0.00%	1.92%	0.00%	0.00%	1.30%	0.00%	0.00%	0.84%	0.00%	0.00%	0.64%	0.59%	0.00%	0.46%	0.74%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.25%	0.77%	0.51%	0.36%	0.15%	0.75%	0.20%	0.00%	0.24%	0.51%	0.27%	0.34%	0.31%	0.08%	0.00%	0.19%	0.58%	0.34%	0.40%	0.22%	0.20%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	1.45%	0.87%	0.43%	0.00%	0.52%	0.97%	0.00%	0.00%	0.00%	0.00%	0.47%	0.28%	4.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	3.03%	2.25%	0.34%									
20	Явлинский Григорий Алексеевич	69	2	1	2	0	0	0	4	2	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	2	3	0	2	3	1	0	3	0	1	6	2	0	2	3	3	3	2	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0									
		0.26%	0.54%	0.27%	0.39%	0.00%	0.00%	0.00%	1.67%	0.40%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	2.60%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.77%	0.00%	0.00%	0.25%	0.00%	0.26%	0.54%	0.00%	0.38%	0.30%	0.21%	0.00%	0.31%	0.00%	0.11%	0.62%	0.16%	0.00%	0.39%	0.44%	0.52%	0.40%	0.22%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.14%	0.50%	1.04%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	3.37%	0.00%									
