Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Ленская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252					
11	Число полученных открепительных  удостоверений	515	5	15	10	10	10	15	20	20	5	5	5	20	20	10	10	15	15	20	15	20	15	20	5	20	10	10	5	20	20	15	20	5	5	5	5	30	5	5	15	5	10					
12	Число выданных открепительных удостоверений	225	0	0	3	0	0	4	5	7	0	3	0	9	12	3	0	5	9	15	9	8	15	9	2	5	4	6	1	18	11	6	3	3	3	0	2	30	5	0	2	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	1	2	1	2	1	0	3	0	0	2	1	3	5	1	1	7	6	2	3	9	2	4	6	0	0	0	2	3	5	0	1	3	6	0	0	8	3	6	1	1	2					
14	Число неиспользованных открепительных удостоверений	290	5	15	7	10	10	11	15	13	5	2	5	11	8	7	10	10	6	5	6	12	0	11	3	15	6	4	4	2	9	9	17	2	2	5	3	0	0	5	13	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	20	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	1	0	4	0	1	1	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	627	9	47	17	11	14	26	33	22	0	5	0	15	21	11	8	15	17	40	28	20	29	24	6	36	5	14	7	15	23	10	14	29	4	5	0	18	0	1	12	9	7					
		3.15%	3.98%	6.91%	4.04%	2.66%	3.87%	4.04%	3.59%	3.06%	0.00%	1.82%	0.00%	1.77%	2.17%	4.09%	3.62%	2.73%	2.70%	3.83%	4.06%	2.43%	3.76%	2.91%	2.65%	4.55%	1.38%	2.55%	2.93%	1.66%	2.56%	1.73%	1.93%	13.49%	2.37%	5.88%	0.00%	4.26%	0.00%	1.11%	1.89%	10.23%	3.03%					
19	. Малышкин Олег Александрович	408	0	24	7	6	22	28	25	23	1	3	1	7	19	7	5	8	12	18	10	16	11	9	6	12	13	12	6	24	27	13	12	3	0	2	0	2	1	0	8	0	5					
		2.05%	0.00%	3.53%	1.66%	1.45%	6.08%	4.35%	2.72%	3.20%	1.33%	1.09%	0.98%	0.83%	1.96%	2.60%	2.26%	1.45%	1.91%	1.72%	1.45%	1.94%	1.42%	1.09%	2.65%	1.52%	3.59%	2.18%	2.51%	2.65%	3.00%	2.25%	1.66%	1.40%	0.00%	2.35%	0.00%	0.47%	0.78%	0.00%	1.26%	0.00%	2.16%					
20	. Миронов Сергей Михайлович	137	0	2	5	14	5	5	9	9	0	1	0	2	5	0	1	5	8	1	4	8	1	5	1	4	6	3	0	6	9	1	3	2	2	1	0	2	0	0	2	1	4					
		0.69%	0.00%	0.29%	1.19%	3.38%	1.38%	0.78%	0.98%	1.25%	0.00%	0.36%	0.00%	0.24%	0.52%	0.00%	0.45%	0.91%	1.27%	0.10%	0.58%	0.97%	0.13%	0.61%	0.44%	0.51%	1.66%	0.55%	0.00%	0.66%	1.00%	0.17%	0.41%	0.93%	1.18%	1.18%	0.00%	0.47%	0.00%	0.00%	0.32%	1.14%	1.73%					
21	. Путин Владимир Владимирович	15460	124	511	321	322	266	436	690	523	68	235	95	691	789	222	178	443	477	805	512	630	579	621	179	629	302	449	185	762	716	464	611	102	130	73	103	292	112	83	512	66	152					
		77.61%	54.87%	75.15%	76.25%	77.78%	73.48%	67.81%	75.16%	72.84%	90.67%	85.77%	93.14%	81.68%	81.42%	82.53%	80.54%	80.55%	75.83%	77.03%	74.20%	76.46%	75.00%	75.18%	79.20%	79.42%	83.43%	81.64%	77.41%	84.20%	79.64%	80.42%	84.28%	47.44%	76.92%	85.88%	95.37%	69.03%	87.50%	92.22%	80.76%	75.00%	65.80%					
22	. Хакамада Ирина Муцуовна	756	14	11	20	18	11	15	18	8	0	6	1	22	37	6	5	14	37	55	43	37	38	50	6	23	11	18	11	37	41	26	26	27	9	1	0	21	1	2	14	5	11					
		3.80%	6.19%	1.62%	4.75%	4.35%	3.04%	2.33%	1.96%	1.11%	0.00%	2.19%	0.98%	2.60%	3.82%	2.23%	2.26%	2.55%	5.88%	5.26%	6.23%	4.49%	4.92%	6.05%	2.65%	2.90%	3.04%	3.27%	4.60%	4.09%	4.56%	4.51%	3.59%	12.56%	5.33%	1.18%	0.00%	4.96%	0.78%	2.22%	2.21%	5.68%	4.76%					
23	. Харитонов Николай Михайлович	1649	69	60	32	20	31	83	88	80	6	15	1	71	54	14	13	46	55	83	51	76	60	71	21	60	14	29	22	25	42	45	37	47	23	3	3	73	12	3	60	4	47					
		8.28%	30.53%	8.82%	7.60%	4.83%	8.56%	12.91%	9.59%	11.14%	8.00%	5.47%	0.98%	8.39%	5.57%	5.20%	5.88%	8.36%	8.74%	7.94%	7.39%	9.22%	7.77%	8.60%	9.29%	7.58%	3.87%	5.27%	9.21%	2.76%	4.67%	7.80%	5.10%	21.86%	13.61%	3.53%	2.78%	17.26%	9.38%	3.33%	9.46%	4.55%	20.35%					
																																																
24	Против всех	706	10	20	17	19	11	40	43	43	0	7	3	34	36	9	11	15	20	43	37	26	44	37	5	25	11	16	8	25	33	13	12	3	1	0	2	14	1	1	6	2	3					
		3.54%	4.42%	2.94%	4.04%	4.59%	3.04%	6.22%	4.68%	5.99%	0.00%	2.55%	2.94%	4.02%	3.72%	3.35%	4.98%	2.73%	3.18%	4.11%	5.36%	3.16%	5.70%	4.48%	2.21%	3.16%	3.04%	2.91%	3.35%	2.76%	3.67%	2.25%	1.66%	1.40%	0.59%	0.00%	1.85%	3.31%	0.78%	1.11%	0.95%	2.27%	1.30%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
