Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Аромашевская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112					
20	. Миронов Сергей Михайлович	57	5	1	8	2	0	1	0	0	1	0	0	2	0	3	0	1	0	0	0	0	6	0	4	1	0	5	0	4	5	8					
		0.67%	0.97%	0.13%	1.37%	0.32%	0.00%	0.48%	0.00%	0.00%	0.24%	0.00%	0.00%	0.86%	0.00%	0.57%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.86%	0.00%	2.20%	0.32%	0.00%	1.46%	0.00%	0.95%	1.14%	1.32%					
21	. Путин Владимир Владимирович	6168	277	568	420	407	75	158	104	67	330	41	60	150	104	356	54	206	85	134	105	164	215	50	155	246	273	264	53	328	330	389					
		72.79%	54.00%	74.25%	72.16%	65.65%	72.12%	75.24%	85.25%	90.54%	79.52%	35.65%	72.29%	64.38%	83.20%	68.07%	60.67%	79.23%	68.00%	97.81%	92.92%	94.80%	66.77%	71.43%	85.16%	79.35%	94.14%	76.97%	49.07%	77.91%	75.17%	63.98%					
22	. Хакамада Ирина Муцуовна	100	9	12	5	6	0	3	0	0	3	2	0	3	1	5	1	5	5	0	0	0	4	0	0	7	0	4	1	10	8	6					
		1.18%	1.75%	1.57%	0.86%	0.97%	0.00%	1.43%	0.00%	0.00%	0.72%	1.74%	0.00%	1.29%	0.80%	0.96%	1.12%	1.92%	4.00%	0.00%	0.00%	0.00%	1.24%	0.00%	0.00%	2.26%	0.00%	1.17%	0.93%	2.38%	1.82%	0.99%					
23	. Харитонов Николай Михайлович	1403	141	115	81	125	11	39	15	7	68	60	16	40	18	108	23	25	25	3	8	7	65	16	16	37	17	49	43	64	52	109					
		16.56%	27.49%	15.03%	13.92%	20.16%	10.58%	18.57%	12.30%	9.46%	16.39%	52.17%	19.28%	17.17%	14.40%	20.65%	25.84%	9.62%	20.00%	2.19%	7.08%	4.05%	20.19%	22.86%	8.79%	11.94%	5.86%	14.29%	39.81%	15.20%	11.85%	17.93%					
																																					
24	Против всех	130	15	14	21	12	1	0	0	0	1	0	0	3	0	8	0	3	2	0	0	0	13	0	1	5	0	2	3	1	7	18					
		1.53%	2.92%	1.83%	3.61%	1.94%	0.96%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	1.29%	0.00%	1.53%	0.00%	1.15%	1.60%	0.00%	0.00%	0.00%	4.04%	0.00%	0.55%	1.61%	0.00%	0.58%	2.78%	0.24%	1.59%	2.96%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
