Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Иваново, Советская"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135					
20	. Миронов Сергей Михайлович	236	2	8	4	4	13	8	4	2	7	12	6	5	7	10	5	4	5	7	3	5	7	6	6	2	7	21	6	6	8	11	2	9	14	5	5					
		0.91%	0.36%	1.08%	0.88%	0.60%	1.48%	0.99%	0.84%	0.31%	0.95%	1.40%	0.70%	0.68%	1.78%	1.39%	0.57%	0.55%	0.63%	0.85%	0.34%	1.01%	1.54%	0.76%	0.63%	0.34%	1.10%	1.46%	0.51%	0.64%	1.40%	1.62%	0.31%	1.25%	1.50%	0.93%	0.64%					
21	. Путин Владимир Владимирович	17629	384	476	311	466	574	547	339	450	489	608	564	514	284	480	565	474	485	548	614	325	310	549	633	398	412	991	784	680	408	478	445	512	624	375	533					
		67.94%	69.69%	64.24%	68.50%	70.18%	65.53%	67.70%	70.92%	69.55%	66.26%	70.70%	65.96%	70.12%	72.26%	66.67%	64.94%	64.84%	60.85%	66.50%	69.38%	65.52%	67.98%	69.14%	66.98%	68.15%	64.68%	69.11%	66.89%	72.19%	71.33%	70.29%	69.86%	71.31%	66.67%	69.44%	68.25%					
22	. Хакамада Ирина Муцуовна	1167	19	30	21	32	40	46	20	30	42	37	41	39	17	29	43	31	36	20	39	13	19	46	64	34	39	46	49	35	23	25	39	35	39	27	22					
		4.50%	3.45%	4.05%	4.63%	4.82%	4.57%	5.69%	4.18%	4.64%	5.69%	4.30%	4.80%	5.32%	4.33%	4.03%	4.94%	4.24%	4.52%	2.43%	4.41%	2.62%	4.17%	5.79%	6.77%	5.82%	6.12%	3.21%	4.18%	3.72%	4.02%	3.68%	6.12%	4.87%	4.17%	5.00%	2.82%					
23	. Харитонов Николай Михайлович	3528	70	125	61	96	110	99	62	67	100	83	132	86	44	118	132	120	142	101	84	98	54	90	124	65	99	175	191	133	66	90	75	78	142	85	131					
		13.60%	12.70%	16.87%	13.44%	14.46%	12.56%	12.25%	12.97%	10.36%	13.55%	9.65%	15.44%	11.73%	11.20%	16.39%	15.17%	16.42%	17.82%	12.26%	9.49%	19.76%	11.84%	11.34%	13.12%	11.13%	15.54%	12.20%	16.30%	14.12%	11.54%	13.24%	11.77%	10.86%	15.17%	15.74%	16.77%					
																																										
24	Против всех	1170	21	53	19	23	50	39	20	24	31	52	42	40	14	16	39	30	36	69	47	18	19	34	46	23	22	73	57	31	22	28	28	21	46	15	22					
		4.51%	3.81%	7.15%	4.19%	3.46%	5.71%	4.83%	4.18%	3.71%	4.20%	6.05%	4.91%	5.46%	3.56%	2.22%	4.48%	4.10%	4.52%	8.37%	5.31%	3.63%	4.17%	4.28%	4.87%	3.94%	3.45%	5.09%	4.86%	3.29%	3.85%	4.12%	4.40%	2.92%	4.91%	2.78%	2.82%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
