Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    район Восточное Дегунино																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №3050					
12	Число выданных открепительных удостоверений	663	34	33	34	24	21	32	35	40	31	42	24	23	37	23	32	32	23	36	27	20	24	36	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	377	22	24	16	27	23	13	8	10	24	13	16	13	18	18	0	18	25	18	11	18	23	19	0					
14	Число неиспользованных открепительных удостоверений	1019	36	37	36	46	49	38	35	30	39	28	46	47	33	47	38	38	47	34	43	50	46	176	0					
15	"Число открепительных удостоверений, выданных в ТИК"	18	1	2	1	0	0	0	2	0	0	1	2	1	1	0	2	0	0	1	0	0	2	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	2069	115	79	110	105	93	83	86	68	53	88	94	126	108	84	123	106	81	92	106	88	76	103	2					
		6.28%	7.98%	5.86%	7.13%	6.84%	7.20%	6.07%	6.08%	4.58%	3.71%	5.61%	5.98%	7.60%	6.47%	6.59%	7.38%	6.87%	5.42%	6.40%	7.22%	5.78%	5.13%	6.27%	1.85%					
19	. Малышкин Олег Александрович	464	10	21	21	20	16	24	17	28	24	32	23	17	23	19	16	22	29	18	17	31	13	23	0					
		1.41%	0.69%	1.56%	1.36%	1.30%	1.24%	1.76%	1.20%	1.88%	1.68%	2.04%	1.46%	1.03%	1.38%	1.49%	0.96%	1.43%	1.94%	1.25%	1.16%	2.04%	0.88%	1.40%	0.00%					
20	. Миронов Сергей Михайлович	187	8	10	4	9	7	5	9	6	7	7	11	7	13	12	12	10	13	5	4	6	11	11	0					
		0.57%	0.56%	0.74%	0.26%	0.59%	0.54%	0.37%	0.64%	0.40%	0.49%	0.45%	0.70%	0.42%	0.78%	0.94%	0.72%	0.65%	0.87%	0.35%	0.27%	0.39%	0.74%	0.67%	0.00%					
21	. Путин Владимир Владимирович	22741	924	935	1050	1075	830	954	985	1051	1024	1083	1094	1090	1107	861	1164	1044	1072	995	1002	1124	1076	1124	77					
		69.00%	64.12%	69.41%	68.05%	70.08%	64.24%	69.79%	69.61%	70.73%	71.76%	69.07%	69.64%	65.74%	66.33%	67.58%	69.83%	67.66%	71.71%	69.24%	68.26%	73.80%	72.60%	68.41%	71.30%					
22	. Хакамада Ирина Муцуовна	2497	146	96	123	80	131	91	109	122	104	140	130	171	140	107	109	106	80	87	109	88	94	124	10					
		7.58%	10.13%	7.13%	7.97%	5.22%	10.14%	6.66%	7.70%	8.21%	7.29%	8.93%	8.27%	10.31%	8.39%	8.40%	6.54%	6.87%	5.35%	6.05%	7.43%	5.78%	6.34%	7.55%	9.26%					
23	. Харитонов Николай Михайлович	2524	135	99	119	142	106	112	105	85	102	104	102	121	134	81	133	133	117	137	125	100	110	121	1					
		7.66%	9.37%	7.35%	7.71%	9.26%	8.20%	8.19%	7.42%	5.72%	7.15%	6.63%	6.49%	7.30%	8.03%	6.36%	7.98%	8.62%	7.83%	9.53%	8.51%	6.57%	7.42%	7.36%	0.93%					
																														
24	Против всех	2173	91	87	104	86	84	88	84	115	96	100	100	120	131	86	101	108	90	93	103	78	86	124	18					
		6.59%	6.32%	6.46%	6.74%	5.61%	6.50%	6.44%	5.94%	7.74%	6.73%	6.38%	6.37%	7.24%	7.85%	6.75%	6.06%	7.00%	6.02%	6.47%	7.02%	5.12%	5.80%	7.55%	16.67%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
