Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Чишминская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491	УИК №3492	УИК №3493	УИК №3494	УИК №3495	УИК №3496	УИК №3497	УИК №3498	УИК №3499	УИК №3500	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531					
11	Число полученных открепительных  удостоверений	877	5	5	6	5	5	5	5	8	5	2	10	0	5	5	5	5	5	5	5	5	5	5	8	7	5	5	5	5	5	5	5	5	5	5	5	7	5	5	5	10	5	5	10	20	5	5	5	7	5	10	11	10	5	75	30	160	30	24	15	10	30	40	37	30	30	20	30					
12	Число выданных открепительных удостоверений	693	5	5	6	5	0	1	3	6	5	1	8	0	5	3	4	0	0	0	0	0	4	2	7	5	2	0	2	5	3	2	5	3	5	5	5	7	3	1	1	7	4	5	4	18	1	4	4	7	2	9	11	4	2	71	30	152	29	24	11	2	30	40	36	12	23	5	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	338	4	3	4	7	5	8	1	1	4	9	4	6	6	1	2	4	2	1	1	2	1	4	9	4	4	2	0	2	2	5	4	10	1	2	3	2	3	5	4	16	2	4	5	4	5	7	6	4	3	9	5	5	0	16	10	22	4	6	5	0	12	13	5	14	0	3	11					
14	Число неиспользованных открепительных удостоверений	184	0	0	0	0	5	4	2	2	0	1	2	0	0	2	1	5	5	5	5	5	1	3	1	2	3	5	3	0	2	3	0	2	0	0	0	0	2	4	4	3	1	0	6	2	4	1	1	0	3	1	0	6	3	4	0	8	1	0	4	8	0	0	1	18	7	15	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	. Глазьев Сергей Юрьевич	20	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	2	2	0	0	2	0	1					
		0.06%	0.40%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.05%	0.10%	0.00%	0.11%	0.05%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.13%	0.00%	0.05%					
19	. Малышкин Олег Александрович	18	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	3	3	0	0	0	0	1					
		0.05%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.11%	0.05%	0.25%	0.00%	0.14%	0.13%	0.00%	0.00%	0.00%	0.00%	0.05%					
20	. Миронов Сергей Михайлович	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	2	0	1	0	0	1					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.23%	0.05%	0.12%	0.00%	0.00%	0.09%	0.00%	0.11%	0.00%	0.00%	0.05%					
21	. Путин Владимир Владимирович	35416	249	288	299	349	184	196	149	409	463	96	586	274	356	216	246	297	155	118	98	155	416	207	393	517	278	351	243	361	165	277	486	462	231	230	230	315	281	323	163	832	328	458	307	1092	214	172	118	372	318	861	784	258	394	1823	964	772	870	1887	806	264	2101	2258	1469	899	1561	271	1851					
		99.17%	98.81%	98.97%	99.34%	99.71%	99.46%	98.99%	99.33%	99.03%	99.36%	97.96%	99.32%	99.28%	99.44%	99.08%	99.19%	99.00%	99.36%	100.00%	98.99%	98.73%	99.52%	98.57%	99.24%	99.61%	99.64%	99.43%	99.59%	99.18%	98.80%	97.19%	99.59%	99.14%	98.72%	99.14%	99.14%	99.37%	99.29%	99.08%	98.79%	99.05%	99.39%	98.92%	98.71%	99.09%	99.07%	99.42%	98.33%	99.47%	99.07%	99.19%	99.62%	99.23%	98.01%	99.18%	99.48%	98.97%	99.09%	99.26%	99.02%	98.51%	99.20%	99.30%	99.26%	99.23%	99.30%	98.19%	99.04%					
22	. Хакамада Ирина Муцуовна	53	0	1	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	6	0	0	0	2	0	0	0	0	0	1	0	2	0	5	1	3	1	2	2	1	2	2	0	2	2	1	6					
		0.15%	0.00%	0.34%	0.00%	0.29%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.17%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.43%	0.43%	0.00%	0.00%	0.00%	0.31%	0.00%	0.71%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.77%	0.00%	0.27%	0.10%	0.38%	0.11%	0.11%	0.25%	0.37%	0.09%	0.09%	0.00%	0.22%	0.13%	0.36%	0.32%					
23	. Харитонов Николай Михайлович	135	2	0	1	0	0	2	0	2	0	2	2	0	1	2	1	3	1	0	1	2	2	1	0	2	0	1	1	1	2	6	2	3	1	1	1	0	1	1	2	2	1	3	4	2	2	0	2	1	2	3	2	0	8	4	2	2	1	4	1	3	6	4	11	3	2	3	7					
		0.38%	0.79%	0.00%	0.33%	0.00%	0.00%	1.01%	0.00%	0.48%	0.00%	2.04%	0.34%	0.00%	0.28%	0.92%	0.40%	1.00%	0.64%	0.00%	1.01%	1.27%	0.48%	0.48%	0.00%	0.39%	0.00%	0.28%	0.41%	0.27%	1.20%	2.11%	0.41%	0.64%	0.43%	0.43%	0.43%	0.00%	0.35%	0.31%	1.21%	0.24%	0.30%	0.65%	1.29%	0.18%	0.93%	0.00%	1.67%	0.27%	0.62%	0.35%	0.25%	0.00%	1.99%	0.22%	0.21%	0.26%	0.11%	0.21%	0.12%	1.12%	0.28%	0.18%	0.74%	0.33%	0.13%	1.09%	0.37%					
																																																																										
24	Против всех	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	1	0	0	1	0	0	3	1	3	2	1	1	0	2	3	0	1	2	1	2					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.58%	0.00%	0.27%	0.00%	0.00%	0.13%	0.00%	0.00%	0.16%	0.10%	0.38%	0.23%	0.05%	0.12%	0.00%	0.09%	0.13%	0.00%	0.11%	0.13%	0.36%	0.11%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
