Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Сердобская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127					
20	. Миронов Сергей Михайлович	55	1	2	2	1	1	0	0	0	0	2	2	6	4	2	2	3	3	7	0	3	4	0	0	0	1	1	4	4					
		0.45%	0.32%	0.53%	0.51%	0.75%	0.14%	0.00%	0.00%	0.00%	0.00%	0.49%	0.94%	0.54%	1.00%	0.81%	0.57%	0.41%	0.30%	0.78%	0.00%	0.43%	0.43%	0.00%	0.00%	0.00%	0.79%	0.36%	1.69%	0.77%					
21	. Путин Владимир Владимирович	8563	240	177	291	94	523	62	90	305	66	293	144	895	325	204	233	450	616	591	68	514	680	103	349	410	93	180	169	398					
		70.30%	77.42%	47.33%	74.05%	70.68%	71.06%	72.94%	72.58%	62.63%	75.00%	71.81%	67.61%	81.14%	81.45%	82.59%	66.76%	61.14%	62.47%	65.52%	61.26%	74.17%	73.75%	72.54%	61.66%	79.30%	73.81%	65.69%	71.31%	76.69%					
22	. Хакамада Ирина Муцуовна	199	3	8	7	0	11	1	1	6	0	8	3	12	7	3	4	14	21	13	1	13	17	1	21	5	0	7	1	11					
		1.63%	0.97%	2.14%	1.78%	0.00%	1.49%	1.18%	0.81%	1.23%	0.00%	1.96%	1.41%	1.09%	1.75%	1.21%	1.15%	1.90%	2.13%	1.44%	0.90%	1.88%	1.84%	0.70%	3.71%	0.97%	0.00%	2.55%	0.42%	2.12%					
23	. Харитонов Николай Михайлович	2251	42	136	75	28	126	13	27	148	19	69	48	116	34	20	77	180	230	200	37	107	149	27	142	58	23	33	41	46					
		18.48%	13.55%	36.36%	19.08%	21.05%	17.12%	15.29%	21.77%	30.39%	21.59%	16.91%	22.54%	10.52%	8.52%	8.10%	22.06%	24.46%	23.33%	22.17%	33.33%	15.44%	16.16%	19.01%	25.09%	11.22%	18.25%	12.04%	17.30%	8.86%					
																																			
24	Против всех	211	2	10	5	1	11	3	1	5	0	3	0	18	2	4	3	13	17	13	2	7	16	2	14	6	0	19	5	29					
		1.73%	0.65%	2.67%	1.27%	0.75%	1.49%	3.53%	0.81%	1.03%	0.00%	0.74%	0.00%	1.63%	0.50%	1.62%	0.86%	1.77%	1.72%	1.44%	1.80%	1.01%	1.74%	1.41%	2.47%	1.16%	0.00%	6.93%	2.11%	5.59%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
