Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Княжпогостская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419					
		2.44%	0.00%	2.65%	0.00%	3.00%	1.65%	2.61%	2.82%	3.22%	1.99%	2.84%	2.56%	5.08%	0.52%	0.00%	0.00%	1.38%	0.00%	1.69%	0.00%	1.25%	1.59%	0.59%	0.87%	0.00%	3.98%	2.63%	1.81%	2.75%	3.00%					
19	. Малышкин Олег Александрович	301	0	11	0	23	16	37	50	22	22	21	16	0	2	0	1	1	3	5	2	1	2	8	4	6	17	2	8	14	7					
		2.75%	0.00%	2.91%	0.00%	3.63%	4.40%	5.37%	3.52%	1.82%	2.44%	3.31%	3.72%	0.00%	1.05%	0.00%	1.64%	0.69%	5.66%	2.81%	1.05%	1.25%	1.59%	1.58%	1.73%	4.84%	1.65%	1.32%	4.82%	2.75%	7.00%					
20	. Миронов Сергей Михайлович	97	0	2	0	5	3	5	22	11	9	12	2	0	5	0	0	0	2	2	0	2	0	3	1	3	4	1	0	2	1					
		0.89%	0.00%	0.53%	0.00%	0.79%	0.82%	0.73%	1.55%	0.91%	1.00%	1.89%	0.47%	0.00%	2.62%	0.00%	0.00%	0.00%	3.77%	1.12%	0.00%	2.50%	0.00%	0.59%	0.43%	2.42%	0.39%	0.66%	0.00%	0.39%	1.00%					
21	. Путин Владимир Владимирович	7785	162	278	28	453	263	469	908	824	607	430	305	149	141	35	50	119	38	142	138	56	98	422	171	89	764	107	106	361	72					
		71.09%	83.94%	73.54%	80.00%	71.45%	72.25%	68.07%	63.99%	68.04%	67.22%	67.82%	70.93%	84.18%	73.82%	83.33%	81.97%	82.07%	71.70%	79.78%	72.63%	70.00%	77.78%	83.40%	74.03%	71.77%	74.17%	70.39%	63.86%	70.92%	72.00%					
22	. Хакамада Ирина Муцуовна	313	5	8	0	8	10	21	45	38	41	22	12	1	10	0	0	0	2	7	6	1	2	10	5	4	38	3	2	11	1					
		2.86%	2.59%	2.12%	0.00%	1.26%	2.75%	3.05%	3.17%	3.14%	4.54%	3.47%	2.79%	0.56%	5.24%	0.00%	0.00%	0.00%	3.77%	3.93%	3.16%	1.25%	1.59%	1.98%	2.16%	3.23%	3.69%	1.97%	1.20%	2.16%	1.00%					
23	. Харитонов Николай Михайлович	1838	25	64	6	107	54	106	308	243	174	115	65	16	29	5	8	19	7	13	38	17	17	47	45	15	122	32	47	80	14					
		16.78%	12.95%	16.93%	17.14%	16.88%	14.84%	15.38%	21.71%	20.07%	19.27%	18.14%	15.12%	9.04%	15.18%	11.90%	13.11%	13.10%	13.21%	7.30%	20.00%	21.25%	13.49%	9.29%	19.48%	12.10%	11.84%	21.05%	28.31%	15.72%	14.00%					
																																				
24	Против всех	286	1	3	0	18	9	29	41	29	28	13	14	2	3	1	1	0	1	6	5	2	3	13	2	6	33	0	0	21	2					
		2.61%	0.52%	0.79%	0.00%	2.84%	2.47%	4.21%	2.89%	2.39%	3.10%	2.05%	3.26%	1.13%	1.57%	2.38%	1.64%	0.00%	1.89%	3.37%	2.63%	2.50%	2.38%	2.57%	0.87%	4.84%	3.20%	0.00%	0.00%	4.13%	2.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
