Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Володарская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №654	УИК №655					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	447	22	33	23	12	2	22	18	22	12	2	9	8	11	4	2	0	2	0	14	1	2	11	4	22	3	4	1	10	4	0	2	12	4	6	5	11	62	13	14	7	0	1	9	10	11					
		2.02%	2.32%	4.10%	2.42%	2.73%	2.27%	2.24%	2.00%	5.90%	2.12%	0.80%	2.00%	2.95%	1.10%	2.34%	0.78%	0.00%	0.92%	0.00%	1.86%	0.63%	0.86%	1.85%	1.17%	5.51%	0.51%	2.78%	0.21%	1.43%	1.12%	0.00%	2.22%	2.19%	1.07%	1.52%	1.00%	1.15%	4.25%	1.28%	1.51%	4.07%	0.00%	0.35%	2.79%	1.41%	3.21%					
19	. Малышкин Олег Александрович	257	25	19	18	3	1	7	7	13	4	0	5	0	4	6	2	1	1	0	5	1	2	8	3	5	9	5	0	2	0	0	0	4	8	3	13	13	22	13	6	1	0	0	3	13	2					
		1.16%	2.64%	2.36%	1.89%	0.68%	1.14%	0.71%	0.78%	3.49%	0.71%	0.00%	1.11%	0.00%	0.40%	3.51%	0.78%	1.33%	0.46%	0.00%	0.66%	0.63%	0.86%	1.34%	0.88%	1.25%	1.53%	3.47%	0.00%	0.29%	0.00%	0.00%	0.00%	0.73%	2.14%	0.76%	2.61%	1.35%	1.51%	1.28%	0.65%	0.58%	0.00%	0.00%	0.93%	1.83%	0.58%					
20	. Миронов Сергей Михайлович	122	3	6	4	0	0	9	3	1	9	1	2	0	3	2	1	0	3	2	6	0	2	2	4	3	2	0	0	3	2	1	1	2	2	0	2	6	19	5	2	0	1	1	0	4	3					
		0.55%	0.32%	0.75%	0.42%	0.00%	0.00%	0.92%	0.33%	0.27%	1.59%	0.40%	0.45%	0.00%	0.30%	1.17%	0.39%	0.00%	1.38%	1.05%	0.80%	0.00%	0.86%	0.34%	1.17%	0.75%	0.34%	0.00%	0.00%	0.43%	0.56%	1.09%	1.11%	0.36%	0.53%	0.00%	0.40%	0.62%	1.30%	0.49%	0.22%	0.00%	0.43%	0.35%	0.00%	0.56%	0.87%					
21	. Путин Владимир Владимирович	16453	658	531	696	329	66	794	652	283	405	221	330	150	683	110	226	61	179	128	566	108	193	462	265	281	484	118	397	572	306	82	74	383	233	301	409	697	1058	784	632	102	167	250	233	529	265					
		74.43%	69.41%	65.96%	73.19%	74.77%	75.00%	80.94%	72.44%	75.87%	71.55%	88.05%	73.50%	55.35%	68.03%	64.33%	87.94%	81.33%	82.11%	67.37%	75.27%	68.35%	82.83%	77.52%	77.49%	70.43%	82.45%	81.94%	82.71%	81.83%	85.96%	89.13%	82.22%	69.89%	62.30%	76.01%	81.96%	72.60%	72.47%	77.39%	68.18%	59.30%	72.61%	87.41%	72.14%	74.61%	77.26%					
22	. Хакамада Ирина Муцуовна	377	13	10	12	4	0	19	9	4	5	3	8	4	16	5	1	3	3	4	72	3	8	12	2	4	6	2	5	8	4	0	0	8	5	13	10	18	26	16	13	1	2	1	4	7	4					
		1.71%	1.37%	1.24%	1.26%	0.91%	0.00%	1.94%	1.00%	1.07%	0.88%	1.20%	1.78%	1.48%	1.59%	2.92%	0.39%	4.00%	1.38%	2.11%	9.57%	1.90%	3.43%	2.01%	0.58%	1.00%	1.02%	1.39%	1.04%	1.14%	1.12%	0.00%	0.00%	1.46%	1.34%	3.28%	2.00%	1.88%	1.78%	1.58%	1.40%	0.58%	0.87%	0.35%	1.24%	0.99%	1.17%					
23	. Харитонов Николай Михайлович	3772	177	166	169	84	14	112	193	44	86	16	83	101	247	44	25	10	25	47	85	42	22	79	57	68	54	12	74	84	26	9	13	124	112	65	46	182	238	140	224	61	55	30	58	120	49					
		17.06%	18.67%	20.62%	17.77%	19.09%	15.91%	11.42%	21.44%	11.80%	15.19%	6.37%	18.49%	37.27%	24.60%	25.73%	9.73%	13.33%	11.47%	24.74%	11.30%	26.58%	9.44%	13.26%	16.67%	17.04%	9.20%	8.33%	15.42%	12.02%	7.30%	9.78%	14.44%	22.63%	29.95%	16.41%	9.22%	18.96%	16.30%	13.82%	24.16%	35.47%	23.91%	10.49%	17.96%	16.93%	14.29%					
																																																				
24	Против всех	291	30	25	16	1	4	7	12	5	7	4	9	3	13	0	0	0	1	3	1	0	4	5	3	8	9	2	3	3	6	0	0	9	4	5	3	7	22	14	19	0	1	2	7	11	3					
		1.32%	3.16%	3.11%	1.68%	0.23%	4.55%	0.71%	1.33%	1.34%	1.24%	1.59%	2.00%	1.11%	1.29%	0.00%	0.00%	0.00%	0.46%	1.58%	0.13%	0.00%	1.72%	0.84%	0.88%	2.01%	1.53%	1.39%	0.62%	0.43%	1.69%	0.00%	0.00%	1.64%	1.07%	1.26%	0.60%	0.73%	1.51%	1.38%	2.05%	0.00%	0.43%	0.70%	2.17%	1.55%	0.87%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
