Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Калязинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
		70.53%	71.14%	81.51%	61.36%	74.51%	71.75%	69.17%	83.33%	53.51%	63.12%	73.53%	75.17%	48.45%	69.85%	67.51%	69.00%	77.61%	79.49%	75.14%	67.66%	78.83%	66.67%	80.74%	68.00%	70.10%	73.16%	71.04%	65.64%	70.57%	93.33%					
22	. Хакамада Ирина Муцуовна	249	7	3	5	4	4	3	2	3	10	1	5	7	12	8	3	2	10	1	5	4	2	2	2	30	16	27	36	35	0					
		2.26%	2.35%	2.05%	3.79%	2.61%	1.79%	1.13%	1.08%	1.32%	3.80%	0.98%	3.45%	4.35%	1.66%	2.52%	1.50%	1.49%	2.53%	0.56%	2.49%	1.23%	0.91%	0.74%	4.00%	2.58%	2.62%	2.08%	3.07%	2.54%	0.00%					
23	. Харитонов Николай Михайлович	1906	53	15	38	21	45	60	23	68	61	17	12	59	144	65	49	26	48	27	46	41	34	29	8	190	92	197	235	202	1					
		17.34%	17.79%	10.27%	28.79%	13.73%	20.18%	22.56%	12.37%	29.82%	23.19%	16.67%	8.28%	36.65%	19.92%	20.50%	24.50%	19.40%	12.15%	15.25%	22.89%	12.58%	15.53%	10.74%	16.00%	16.32%	15.06%	15.21%	20.03%	14.68%	1.67%					
																																				
24	Против всех	339	11	3	2	5	3	6	1	17	8	8	9	3	11	8	3	0	11	4	5	12	12	4	2	39	12	54	33	51	2					
		3.08%	3.69%	2.05%	1.52%	3.27%	1.35%	2.26%	0.54%	7.46%	3.04%	7.84%	6.21%	1.86%	1.52%	2.52%	1.50%	0.00%	2.78%	2.26%	2.49%	3.68%	5.48%	1.48%	4.00%	3.35%	1.96%	4.17%	2.81%	3.71%	3.33%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
