Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Малопургинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542					
11	Число полученных открепительных  удостоверений	329	9	24	8	7	5	5	5	3	5	16	10	16	5	8	5	1	3	3	3	13	3	17	0	5	3	14	3	3	10	28	5	1	8	13	8	17	3	5	11	3	12	3					
12	Число выданных открепительных удостоверений	294	9	24	8	7	5	2	4	1	5	16	10	15	5	8	0	1	0	0	0	13	2	17	0	5	2	14	0	0	10	28	5	1	8	11	8	17	0	4	11	3	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	239	30	18	15	3	7	3	1	1	2	9	5	12	10	3	3	5	1	5	4	5	3	7	4	7	2	8	2	6	2	12	0	4	5	7	1	11	0	4	4	3	5	0					
14	Число неиспользованных открепительных удостоверений	35	0	0	0	0	0	3	1	2	0	0	0	1	0	0	5	0	3	3	3	0	1	0	0	0	1	0	3	3	0	0	0	0	0	2	0	0	3	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	486	37	54	44	31	5	4	22	6	9	8	20	16	13	7	3	8	11	23	1	6	10	8	4	12	4	19	0	5	16	12	6	1	2	19	0	10	0	2	8	3	12	5					
		2.68%	3.70%	4.38%	4.96%	4.35%	2.08%	2.11%	5.51%	3.55%	4.25%	1.29%	2.06%	1.99%	1.88%	1.64%	1.26%	2.11%	8.73%	4.41%	0.50%	1.35%	3.94%	1.21%	1.75%	2.97%	2.16%	3.23%	0.00%	1.94%	5.16%	2.56%	2.58%	0.47%	0.56%	2.86%	0.00%	1.77%	0.00%	0.87%	1.88%	1.09%	1.67%	1.53%					
19	. Малышкин Олег Александрович	444	23	21	20	16	11	3	14	3	2	22	28	17	11	11	3	11	0	17	5	21	7	2	8	15	9	23	5	3	14	15	4	6	7	13	1	15	2	1	12	2	15	6					
		2.45%	2.30%	1.70%	2.25%	2.24%	4.58%	1.58%	3.51%	1.78%	0.94%	3.54%	2.89%	2.11%	1.59%	2.57%	1.26%	2.90%	0.00%	3.26%	2.49%	4.72%	2.76%	0.30%	3.49%	3.71%	4.86%	3.91%	3.85%	1.16%	4.52%	3.20%	1.72%	2.79%	1.97%	1.96%	1.11%	2.65%	2.02%	0.44%	2.82%	0.73%	2.09%	1.83%					
20	. Миронов Сергей Михайлович	130	4	9	9	3	1	2	4	0	0	4	7	3	4	7	0	1	0	4	5	4	2	1	2	2	2	4	0	1	3	8	1	0	2	12	0	3	2	3	4	0	4	3					
		0.72%	0.40%	0.73%	1.01%	0.42%	0.42%	1.05%	1.00%	0.00%	0.00%	0.64%	0.72%	0.37%	0.58%	1.64%	0.00%	0.26%	0.00%	0.77%	2.49%	0.90%	0.79%	0.15%	0.87%	0.50%	1.08%	0.68%	0.00%	0.39%	0.97%	1.71%	0.43%	0.00%	0.56%	1.81%	0.00%	0.53%	2.02%	1.31%	0.94%	0.00%	0.56%	0.92%					
21	. Путин Владимир Владимирович	14673	787	998	708	566	194	163	310	155	175	467	739	655	573	332	177	299	99	388	170	370	193	589	191	335	154	468	106	210	248	367	207	186	320	530	84	490	81	206	327	246	571	239					
		80.82%	78.78%	80.88%	79.82%	79.38%	80.83%	85.79%	77.69%	91.72%	82.55%	75.08%	76.26%	81.27%	82.68%	77.57%	74.37%	78.89%	78.57%	74.33%	84.58%	83.15%	75.98%	89.24%	83.41%	82.92%	83.24%	79.59%	81.54%	81.40%	80.00%	78.25%	88.84%	86.51%	89.89%	79.82%	93.33%	86.73%	81.82%	89.96%	76.76%	89.78%	79.53%	73.09%					
22	. Хакамада Ирина Муцуовна	311	27	36	23	11	1	2	7	1	4	22	33	12	16	5	3	5	3	7	1	6	3	9	1	4	0	2	3	1	8	10	1	5	2	12	1	4	0	2	4	4	3	7					
		1.71%	2.70%	2.92%	2.59%	1.54%	0.42%	1.05%	1.75%	0.59%	1.89%	3.54%	3.41%	1.49%	2.31%	1.17%	1.26%	1.32%	2.38%	1.34%	0.50%	1.35%	1.18%	1.36%	0.44%	0.99%	0.00%	0.34%	2.31%	0.39%	2.58%	2.13%	0.43%	2.33%	0.56%	1.81%	1.11%	0.71%	0.00%	0.87%	0.94%	1.46%	0.42%	2.14%					
23	. Харитонов Николай Михайлович	1633	91	74	62	66	21	9	33	3	20	87	102	74	61	55	49	37	13	67	15	28	32	38	19	27	11	59	16	33	11	35	9	10	19	60	2	31	13	13	59	17	97	55					
		8.99%	9.11%	6.00%	6.99%	9.26%	8.75%	4.74%	8.27%	1.78%	9.43%	13.99%	10.53%	9.18%	8.80%	12.85%	20.59%	9.76%	10.32%	12.84%	7.46%	6.29%	12.60%	5.76%	8.30%	6.68%	5.95%	10.03%	12.31%	12.79%	3.55%	7.46%	3.86%	4.65%	5.34%	9.04%	2.22%	5.49%	13.13%	5.68%	13.85%	6.20%	13.51%	16.82%					
																																																	
24	Против всех	240	19	25	14	10	2	3	7	0	2	5	26	11	7	5	1	8	0	10	0	4	4	7	2	4	2	6	0	4	2	15	3	1	1	10	2	1	0	1	5	1	7	3					
		1.32%	1.90%	2.03%	1.58%	1.40%	0.83%	1.58%	1.75%	0.00%	0.94%	0.80%	2.68%	1.36%	1.01%	1.17%	0.42%	2.11%	0.00%	1.92%	0.00%	0.90%	1.57%	1.06%	0.87%	0.99%	1.08%	1.02%	0.00%	1.55%	0.65%	3.20%	1.29%	0.47%	0.28%	1.51%	2.22%	0.18%	0.00%	0.44%	1.17%	0.36%	0.97%	0.92%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
