Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Бологовская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
21	. Путин Владимир Владимирович	16497	843	580	422	810	936	859	597	380	646	355	878	206	84	95	296	599	449	680	224	352	263	394	194	283	132	68	84	135	195	171	82	400	1078	28	24	5	40	18	710	561	998	343					
		75.14%	70.54%	70.47%	77.29%	71.74%	72.00%	72.80%	80.89%	76.00%	78.02%	73.50%	72.86%	72.28%	82.35%	83.33%	83.62%	78.10%	88.39%	69.11%	77.24%	88.44%	77.81%	82.95%	81.86%	82.99%	79.04%	80.95%	83.17%	77.59%	81.25%	79.17%	80.39%	64.83%	79.15%	66.67%	80.00%	83.33%	85.11%	90.00%	70.51%	73.24%	72.32%	72.52%					
22	. Хакамада Ирина Муцуовна	446	27	20	10	43	22	33	9	6	18	6	28	6	0	1	8	13	5	19	0	4	3	1	2	5	2	1	3	2	1	4	4	18	25	0	0	0	0	0	26	24	33	14					
		2.03%	2.26%	2.43%	1.83%	3.81%	1.69%	2.80%	1.22%	1.20%	2.17%	1.24%	2.32%	2.11%	0.00%	0.88%	2.26%	1.69%	0.98%	1.93%	0.00%	1.01%	0.89%	0.21%	0.84%	1.47%	1.20%	1.19%	2.97%	1.15%	0.42%	1.85%	3.92%	2.92%	1.84%	0.00%	0.00%	0.00%	0.00%	0.00%	2.58%	3.13%	2.39%	2.96%					
23	. Харитонов Николай Михайлович	3028	184	142	73	156	209	163	82	72	97	77	211	55	13	14	34	107	29	188	36	29	55	55	32	39	24	7	11	24	29	23	8	98	112	8	2	0	6	0	171	94	210	49					
		13.79%	15.40%	17.25%	13.37%	13.82%	16.08%	13.81%	11.11%	14.40%	11.71%	15.94%	17.51%	19.30%	12.75%	12.28%	9.60%	13.95%	5.71%	19.11%	12.41%	7.29%	16.27%	11.58%	13.50%	11.44%	14.37%	8.33%	10.89%	13.79%	12.08%	10.65%	7.84%	15.88%	8.22%	19.05%	6.67%	0.00%	12.77%	0.00%	16.98%	12.27%	15.22%	10.36%					
																																																	
24	Против всех	576	37	22	16	31	46	40	12	4	20	12	21	8	3	1	7	9	2	21	5	3	4	12	3	4	6	0	0	2	4	1	3	33	54	1	2	0	0	2	30	25	49	21					
		2.62%	3.10%	2.67%	2.93%	2.75%	3.54%	3.39%	1.63%	0.80%	2.42%	2.48%	1.74%	2.81%	2.94%	0.88%	1.98%	1.17%	0.39%	2.13%	1.72%	0.75%	1.18%	2.53%	1.27%	1.17%	3.59%	0.00%	0.00%	1.15%	1.67%	0.46%	2.94%	5.35%	3.96%	2.38%	6.67%	0.00%	0.00%	10.00%	2.98%	3.26%	3.55%	4.44%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
