Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №878	УИК №881	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №911	УИК №912	УИК №913	УИК №918	УИК №935	УИК №939					
11	Число полученных открепительных  удостоверений	997	10	10	20	15	15	10	10	20	10	10	10	15	10	15	15	30	10	10	10	10	13	10	10	15	15	10	12	8	20	15	20	30	10	10	15	15	15	10	20	10	12	18	10	20	15	15	10	20	15	15	10	20	19	10	10	10	10	15	10	10	20	20	10	20	15	20	40	10	0	20					
12	Число выданных открепительных удостоверений	721	9	8	15	11	12	5	5	12	6	8	6	14	8	13	10	22	2	10	5	8	9	2	6	13	12	9	12	6	16	15	14	26	3	7	15	13	13	9	11	0	12	16	7	16	6	8	7	10	12	13	6	12	13	7	8	9	7	12	2	10	15	19	5	14	13	15	35	1	0	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	715	6	7	7	6	12	6	12	5	2	21	7	13	6	10	11	2	8	11	7	11	3	19	10	5	10	4	2	5	4	9	6	9	29	9	9	5	8	4	10	13	14	4	11	12	39	6	12	5	3	4	8	8	4	2	5	1	8	13	17	5	6	5	13	5	9	8	65	9	61	10					
14	Число неиспользованных открепительных удостоверений	276	1	2	5	4	3	5	5	8	4	2	4	1	2	2	5	8	8	0	5	2	4	8	4	2	3	1	0	2	4	0	6	4	7	3	0	2	2	1	9	10	0	2	3	4	9	7	3	10	3	2	4	8	6	3	2	1	3	3	8	0	5	1	5	6	2	5	5	9	0	9					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	2429	46	40	60	56	40	40	49	31	48	38	18	36	29	75	45	48	13	36	34	28	30	24	7	39	19	18	33	25	36	43	35	41	5	34	37	38	31	27	40	6	49	59	42	35	22	38	27	26	33	45	48	27	20	19	29	30	19	46	9	31	29	44	39	38	58	62	56	9	6	56					
		4.25%	4.84%	5.22%	5.42%	6.76%	2.65%	5.70%	6.28%	3.25%	4.33%	5.18%	1.49%	3.92%	4.42%	6.26%	4.20%	4.36%	3.31%	5.54%	4.85%	4.44%	3.69%	7.92%	2.11%	4.58%	3.06%	2.46%	4.42%	3.56%	2.83%	4.13%	3.24%	4.39%	4.10%	4.15%	4.64%	3.69%	3.19%	3.70%	5.09%	1.91%	4.23%	4.49%	5.75%	5.15%	3.75%	5.13%	3.73%	4.03%	4.21%	5.53%	5.73%	3.48%	2.68%	2.99%	4.24%	4.55%	3.14%	4.19%	2.98%	3.18%	3.67%	3.41%	5.57%	4.24%	5.14%	5.09%	5.00%	3.61%	2.12%	5.47%					
19	. Малышкин Олег Александрович	1353	28	9	18	11	38	10	14	16	24	24	29	17	11	32	28	21	18	14	25	11	14	9	7	19	19	21	11	17	26	33	34	22	2	14	18	21	13	15	16	11	32	23	17	29	12	15	21	14	15	22	11	18	20	7	23	13	16	30	8	31	24	48	18	22	29	26	34	9	4	22					
		2.37%	2.94%	1.17%	1.63%	1.33%	2.51%	1.42%	1.79%	1.68%	2.17%	3.27%	2.40%	1.85%	1.68%	2.67%	2.61%	1.91%	4.58%	2.15%	3.57%	1.74%	1.72%	2.97%	2.11%	2.23%	3.06%	2.86%	1.47%	2.42%	2.04%	3.17%	3.15%	2.36%	1.64%	1.71%	2.26%	2.04%	1.34%	2.06%	2.04%	3.50%	2.76%	1.75%	2.33%	4.26%	2.05%	2.02%	2.90%	2.17%	1.91%	2.70%	1.31%	2.32%	2.68%	1.10%	3.36%	1.97%	2.64%	2.73%	2.65%	3.18%	3.03%	3.72%	2.57%	2.45%	2.57%	2.13%	3.04%	3.61%	1.41%	2.15%					
20	. Миронов Сергей Михайлович	368	9	4	7	4	11	8	5	5	3	3	6	9	5	6	7	3	4	5	2	8	4	3	1	11	5	1	7	4	10	6	11	7	0	4	8	5	6	2	4	2	5	2	1	4	1	5	4	1	10	8	9	10	4	2	3	7	3	6	0	12	7	1	2	10	6	9	10	0	3	8					
		0.64%	0.95%	0.52%	0.63%	0.48%	0.73%	1.14%	0.64%	0.52%	0.27%	0.41%	0.50%	0.98%	0.76%	0.50%	0.65%	0.27%	1.02%	0.77%	0.29%	1.27%	0.49%	0.99%	0.30%	1.29%	0.81%	0.14%	0.94%	0.57%	0.78%	0.58%	1.02%	0.75%	0.00%	0.49%	1.00%	0.48%	0.62%	0.27%	0.51%	0.64%	0.43%	0.15%	0.14%	0.59%	0.17%	0.67%	0.55%	0.16%	1.28%	0.98%	1.08%	1.29%	0.54%	0.31%	0.44%	1.06%	0.50%	0.55%	0.00%	1.23%	0.88%	0.08%	0.29%	1.11%	0.53%	0.74%	0.89%	0.00%	1.06%	0.78%					
21	. Путин Владимир Владимирович	35797	563	430	620	445	1154	417	469	619	690	431	967	555	372	713	662	659	266	479	491	392	484	192	225	497	382	518	464	396	833	653	741	578	94	504	508	617	594	467	504	198	734	818	464	397	378	438	452	408	448	484	490	472	501	406	388	394	391	695	204	580	497	829	463	581	692	756	650	166	183	595					
		62.62%	59.20%	56.06%	56.06%	53.74%	76.37%	59.40%	60.13%	64.95%	62.27%	58.80%	80.05%	60.39%	56.71%	59.47%	61.81%	59.91%	67.68%	73.69%	70.04%	62.12%	59.53%	63.37%	67.98%	58.33%	61.51%	70.67%	62.12%	56.33%	65.38%	62.73%	68.55%	61.95%	77.05%	61.54%	63.74%	59.84%	61.11%	64.06%	64.12%	63.06%	63.39%	62.30%	63.47%	58.38%	64.51%	59.11%	62.43%	63.26%	57.14%	59.46%	58.54%	60.90%	67.25%	63.94%	56.73%	59.70%	64.63%	63.30%	67.55%	59.55%	62.83%	64.16%	66.14%	64.77%	61.29%	62.02%	58.09%	66.67%	64.66%	58.16%					
22	. Хакамада Ирина Муцуовна	3944	88	81	123	100	68	59	55	56	76	39	37	73	84	85	83	101	8	23	35	34	54	11	9	50	37	49	53	57	74	84	49	66	2	93	46	60	77	43	43	24	71	97	35	39	49	57	46	43	87	64	68	40	38	52	52	41	38	91	8	60	53	94	22	43	81	121	71	9	20	65					
		6.90%	9.25%	10.56%	11.12%	12.08%	4.50%	8.40%	7.05%	5.88%	6.86%	5.32%	3.06%	7.94%	12.80%	7.09%	7.75%	9.18%	2.04%	3.54%	4.99%	5.39%	6.64%	3.63%	2.72%	5.87%	5.96%	6.68%	7.10%	8.11%	5.81%	8.07%	4.53%	7.07%	1.64%	11.36%	5.77%	5.82%	7.92%	5.90%	5.47%	7.64%	6.13%	7.39%	4.79%	5.74%	8.36%	7.69%	6.35%	6.67%	11.10%	7.86%	8.12%	5.16%	5.10%	8.19%	7.60%	6.21%	6.28%	8.29%	2.65%	6.16%	6.70%	7.28%	3.14%	4.79%	7.17%	9.93%	6.34%	3.61%	7.07%	6.35%					
23	. Харитонов Николай Михайлович	9157	148	142	183	128	118	117	130	146	188	165	79	171	105	174	172	175	65	79	84	116	169	51	56	169	125	69	134	145	224	156	146	163	10	120	109	197	179	122	149	61	189	239	132	125	69	134	106	103	125	130	138	145	113	101	135	129	102	149	64	181	126	210	107	139	168	118	181	30	46	184					
		16.02%	15.56%	18.51%	16.55%	15.46%	7.81%	16.67%	16.67%	15.32%	16.97%	22.51%	6.54%	18.61%	16.01%	14.51%	16.06%	15.91%	16.54%	12.15%	11.98%	18.38%	20.79%	16.83%	16.92%	19.84%	20.13%	9.41%	17.94%	20.63%	17.58%	14.99%	13.51%	17.47%	8.20%	14.65%	13.68%	19.11%	18.42%	16.74%	18.96%	19.43%	16.32%	18.20%	18.06%	18.38%	11.77%	18.08%	14.64%	15.97%	15.94%	15.97%	16.49%	18.71%	15.17%	15.91%	19.74%	19.55%	16.86%	13.57%	21.19%	18.58%	15.93%	16.25%	15.29%	15.50%	14.88%	9.68%	16.18%	12.05%	16.25%	17.99%					
																																																																													
24	Против всех	3749	62	56	84	78	76	46	55	75	72	32	67	56	49	105	70	85	16	9	28	35	51	11	18	64	30	56	40	49	62	58	50	49	9	44	67	84	68	47	28	7	66	73	35	46	54	49	59	47	65	54	67	55	42	45	51	44	34	78	9	72	47	58	44	58	92	119	102	22	21	93					
		6.56%	6.52%	7.30%	7.59%	9.42%	5.03%	6.55%	7.05%	7.87%	6.50%	4.37%	5.55%	6.09%	7.47%	8.76%	6.54%	7.73%	4.07%	1.38%	3.99%	5.55%	6.27%	3.63%	5.44%	7.51%	4.83%	7.64%	5.35%	6.97%	4.87%	5.57%	4.63%	5.25%	7.38%	5.37%	8.41%	8.15%	7.00%	6.45%	3.56%	2.23%	5.70%	5.56%	4.79%	6.76%	9.22%	6.61%	8.15%	7.29%	8.29%	6.63%	8.00%	7.10%	5.64%	7.09%	7.46%	6.67%	5.62%	7.10%	2.98%	7.39%	5.94%	4.49%	6.29%	6.47%	8.15%	9.76%	9.12%	8.84%	7.42%	9.09%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
