Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Мончегорская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	904	39	48	45	43	64	21	23	28	36	46	49	38	43	37	5	53	45	13	38	53	42	23	24	0	1	47					
		3.55%	2.38%	3.44%	3.07%	3.33%	4.54%	3.74%	4.40%	3.23%	4.91%	4.13%	3.88%	2.83%	3.14%	3.19%	2.33%	4.04%	3.98%	2.06%	4.34%	3.79%	3.89%	3.05%	5.41%	0.00%	0.85%	3.52%					
19	. Малышкин Олег Александрович	568	39	48	29	27	32	11	16	26	17	24	15	46	32	13	6	25	33	14	13	29	28	13	7	0	1	24					
		2.23%	2.38%	3.44%	1.98%	2.09%	2.27%	1.96%	3.06%	3.00%	2.32%	2.15%	1.19%	3.42%	2.33%	1.12%	2.79%	1.90%	2.92%	2.22%	1.49%	2.07%	2.59%	1.72%	1.58%	0.00%	0.85%	1.80%					
20	. Миронов Сергей Михайлович	253	20	13	16	11	16	6	3	6	4	18	13	13	15	8	2	15	7	8	14	12	11	4	7	0	0	11					
		0.99%	1.22%	0.93%	1.09%	0.85%	1.13%	1.07%	0.57%	0.69%	0.55%	1.61%	1.03%	0.97%	1.09%	0.69%	0.93%	1.14%	0.62%	1.27%	1.60%	0.86%	1.02%	0.53%	1.58%	0.00%	0.00%	0.82%					
21	. Путин Владимир Владимирович	18644	1190	1023	1058	956	994	414	366	630	522	811	955	973	1035	885	173	943	769	446	582	1011	800	571	322	23	109	1083					
		73.21%	72.52%	73.33%	72.07%	74.11%	70.45%	73.80%	69.98%	72.66%	71.21%	72.74%	75.55%	72.40%	75.49%	76.23%	80.47%	71.82%	67.99%	70.57%	66.51%	72.21%	74.14%	75.73%	72.52%	88.46%	92.37%	81.06%					
22	. Хакамада Ирина Муцуовна	1598	104	113	107	88	101	36	41	44	44	69	55	79	71	53	6	92	104	47	62	98	64	46	28	1	1	44					
		6.27%	6.34%	8.10%	7.29%	6.82%	7.16%	6.42%	7.84%	5.07%	6.00%	6.19%	4.35%	5.88%	5.18%	4.57%	2.79%	7.01%	9.20%	7.44%	7.09%	7.00%	5.93%	6.10%	6.31%	3.85%	0.85%	3.29%					
23	. Харитонов Николай Михайлович	2026	127	78	111	84	118	44	46	93	78	91	117	133	96	102	13	113	92	61	106	83	78	56	39	1	4	62					
		7.96%	7.74%	5.59%	7.56%	6.51%	8.36%	7.84%	8.80%	10.73%	10.64%	8.16%	9.26%	9.90%	7.00%	8.79%	6.05%	8.61%	8.13%	9.65%	12.11%	5.93%	7.23%	7.43%	8.78%	3.85%	3.39%	4.64%					
																																	
24	Против всех	1348	108	69	94	75	79	28	24	32	29	49	51	56	76	54	9	67	74	40	58	106	52	37	16	1	2	62					
		5.29%	6.58%	4.95%	6.40%	5.81%	5.60%	4.99%	4.59%	3.69%	3.96%	4.39%	4.03%	4.17%	5.54%	4.65%	4.19%	5.10%	6.54%	6.33%	6.63%	7.57%	4.82%	4.91%	3.60%	3.85%	1.69%	4.64%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
