Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Новокузнецкая																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374					
11	Число полученных открепительных  удостоверений	998	17	17	17	17	17	17	17	17	17	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18					
12	Число выданных открепительных удостоверений	153	0	7	6	4	3	2	3	6	10	17	0	8	0	3	1	3	12	0	6	3	6	0	0	5	8	5	2	0	0	0	6	0	0	2	0	4	0	0	2	0	0	1	2	0	1	0	1	0	2	0	0	1	0	1	2	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	458	4	3	10	1	7	4	0	8	85	4	2	0	0	9	1	0	13	1	9	4	7	3	8	6	7	4	5	19	1	2	6	150	2	1	5	0	0	4	2	0	1	4	4	2	5	6	6	0	7	4	2	3	1	2	5	9					
14	Число неиспользованных открепительных удостоверений	845	17	10	11	13	14	15	14	11	7	0	18	10	18	15	17	15	6	18	12	15	12	18	18	13	10	13	16	18	18	18	12	18	18	16	18	14	18	18	16	18	18	17	16	18	17	18	17	18	16	18	18	17	18	17	16	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	. Глазьев Сергей Юрьевич	913	10	46	33	3	44	12	3	23	35	29	10	47	5	13	1	5	3	13	38	20	35	10	6	34	59	32	23	9	8	4	10	26	4	3	13	3	5	1	5	1	7	4	3	5	8	6	10	32	29	11	4	12	6	1	50	41					
		3.65%	4.88%	5.34%	4.74%	1.40%	2.81%	5.08%	1.52%	3.39%	3.77%	3.38%	3.72%	2.60%	1.83%	2.12%	0.68%	1.66%	1.37%	2.77%	4.43%	3.99%	4.94%	5.00%	4.62%	2.89%	4.68%	4.64%	8.24%	5.70%	5.10%	4.35%	3.50%	3.94%	2.41%	1.20%	3.28%	4.05%	5.43%	0.81%	5.00%	1.69%	5.19%	2.20%	1.47%	3.45%	3.57%	3.92%	3.33%	7.11%	4.70%	4.37%	3.03%	3.08%	1.69%	0.52%	5.30%	2.99%					
19	. Малышкин Олег Александрович	1049	17	58	24	6	32	4	10	17	21	35	4	62	18	30	8	15	19	7	42	14	27	8	7	77	74	41	18	8	5	1	11	47	2	10	15	0	4	9	5	0	7	4	13	2	24	5	7	14	24	20	1	16	15	3	37	45					
		4.20%	8.29%	6.73%	3.45%	2.79%	2.05%	1.69%	5.05%	2.50%	2.26%	4.08%	1.49%	3.43%	6.59%	4.90%	5.41%	4.97%	8.68%	1.49%	4.90%	2.79%	3.81%	4.00%	5.38%	6.55%	5.87%	5.94%	6.45%	5.06%	3.18%	1.09%	3.85%	7.12%	1.20%	4.00%	3.79%	0.00%	4.35%	7.26%	5.00%	0.00%	5.19%	2.20%	6.37%	1.38%	10.71%	3.27%	2.33%	3.11%	3.89%	7.94%	0.76%	4.10%	4.24%	1.55%	3.92%	3.28%					
20	. Миронов Сергей Михайлович	210	0	8	12	1	7	0	3	3	7	9	1	15	0	6	1	0	3	7	8	7	8	2	0	13	9	11	1	0	1	1	2	7	2	1	6	0	0	0	0	0	3	2	1	0	2	0	0	11	10	2	3	3	1	0	4	6					
		0.84%	0.00%	0.93%	1.72%	0.47%	0.45%	0.00%	1.52%	0.44%	0.75%	1.05%	0.37%	0.83%	0.00%	0.98%	0.68%	0.00%	1.37%	1.49%	0.93%	1.40%	1.13%	1.00%	0.00%	1.11%	0.71%	1.59%	0.36%	0.00%	0.64%	1.09%	0.70%	1.06%	1.20%	0.40%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	1.10%	0.49%	0.00%	0.89%	0.00%	0.00%	2.44%	1.62%	0.79%	2.27%	0.77%	0.28%	0.00%	0.42%	0.44%					
21	. Путин Владимир Владимирович	18491	116	580	450	181	1210	166	160	557	694	616	214	1409	216	481	133	246	165	371	580	364	464	139	88	844	868	482	214	116	96	81	213	427	132	218	297	54	69	98	79	51	92	154	155	123	145	120	236	342	379	182	95	304	306	153	712	1054					
		73.95%	56.59%	67.29%	64.66%	84.19%	77.37%	70.34%	80.81%	82.03%	74.70%	71.88%	79.55%	77.89%	79.12%	78.59%	89.86%	81.46%	75.34%	78.94%	67.60%	72.65%	65.54%	69.50%	67.69%	71.77%	68.89%	69.86%	76.70%	73.42%	61.15%	88.04%	74.48%	64.70%	79.52%	87.20%	75.00%	72.97%	75.00%	79.03%	79.00%	86.44%	68.15%	84.62%	75.98%	84.83%	64.73%	78.43%	78.67%	76.00%	61.43%	72.22%	71.97%	77.95%	86.44%	78.87%	75.42%	76.93%					
22	. Хакамада Ирина Муцуовна	806	5	27	31	3	46	12	2	25	37	30	8	60	8	14	0	5	11	11	64	18	39	4	2	29	42	14	5	10	3	1	18	35	4	6	8	0	3	6	3	0	1	5	15	2	10	4	8	5	16	8	5	5	6	0	41	26					
		3.22%	2.44%	3.13%	4.45%	1.40%	2.94%	5.08%	1.01%	3.68%	3.98%	3.50%	2.97%	3.32%	2.93%	2.29%	0.00%	1.66%	5.02%	2.34%	7.46%	3.59%	5.51%	2.00%	1.54%	2.47%	3.33%	2.03%	1.79%	6.33%	1.91%	1.09%	6.29%	5.30%	2.41%	2.40%	2.02%	0.00%	3.26%	4.84%	3.00%	0.00%	0.74%	2.75%	7.35%	1.38%	4.46%	2.61%	2.67%	1.11%	2.59%	3.17%	3.79%	1.28%	1.69%	0.00%	4.34%	1.90%					
23	. Харитонов Николай Михайлович	2369	43	110	94	19	145	31	14	39	78	78	28	128	19	44	0	17	8	50	70	57	104	30	22	116	115	56	15	13	30	4	23	62	13	6	48	17	9	9	7	3	21	6	11	8	28	13	33	38	125	25	17	32	10	26	64	138					
		9.47%	20.98%	12.76%	13.51%	8.84%	9.27%	13.14%	7.07%	5.74%	8.40%	9.10%	10.41%	7.08%	6.96%	7.19%	0.00%	5.63%	3.65%	10.64%	8.16%	11.38%	14.69%	15.00%	16.92%	9.86%	9.13%	8.12%	5.38%	8.23%	19.11%	4.35%	8.04%	9.39%	7.83%	2.40%	12.12%	22.97%	9.78%	7.26%	7.00%	5.08%	15.56%	3.30%	5.39%	5.52%	12.50%	8.50%	11.00%	8.44%	20.26%	9.92%	12.88%	8.21%	2.82%	13.40%	6.78%	10.07%					
																																																															
24	Против всех	916	12	30	44	2	49	11	6	15	50	54	1	25	7	20	4	10	9	10	45	18	24	4	4	52	84	47	3	2	11	0	7	53	7	0	5	0	2	1	0	3	4	6	3	5	5	5	4	8	25	4	7	17	9	7	31	45					
		3.66%	5.85%	3.48%	6.32%	0.93%	3.13%	4.66%	3.03%	2.21%	5.38%	6.30%	0.37%	1.38%	2.56%	3.27%	2.70%	3.31%	4.11%	2.13%	5.24%	3.59%	3.39%	2.00%	3.08%	4.42%	6.67%	6.81%	1.08%	1.27%	7.01%	0.00%	2.45%	8.03%	4.22%	0.00%	1.26%	0.00%	2.17%	0.81%	0.00%	5.08%	2.96%	3.30%	1.47%	3.45%	2.23%	3.27%	1.33%	1.78%	4.05%	1.59%	5.30%	4.36%	2.54%	3.61%	3.28%	3.28%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
