Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Урюпинская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633					
		2.68%	1.23%	2.64%	3.69%	0.99%	1.96%	2.12%	2.88%	0.52%	5.28%	2.52%	2.87%	4.98%	2.19%	2.54%	1.47%	1.24%	1.62%	2.99%	1.83%	1.75%	2.11%	4.02%	6.03%	5.45%	4.85%	3.80%	4.22%	4.49%	3.42%	3.31%	3.64%	2.56%	2.35%	1.39%	2.24%	0.91%	1.46%	0.00%	1.56%	0.00%	2.70%	2.41%	1.33%	2.35%	2.02%	3.03%	2.84%	2.74%	2.97%					
20	. Миронов Сергей Михайлович	90	2	3	0	0	0	7	9	1	0	0	0	6	11	1	2	3	4	0	1	0	0	0	0	0	3	0	0	3	1	9	2	1	0	0	2	1	0	0	4	0	0	2	0	0	1	2	5	1	3					
		0.62%	1.23%	0.66%	0.00%	0.00%	0.00%	1.65%	0.83%	0.52%	0.00%	0.00%	0.00%	1.11%	1.42%	0.28%	0.42%	0.74%	0.59%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.96%	0.43%	1.36%	1.21%	0.28%	0.00%	0.00%	0.56%	0.91%	0.00%	0.00%	0.69%	0.00%	0.00%	2.41%	0.00%	0.00%	0.34%	0.87%	0.59%	0.46%	1.12%					
21	. Путин Владимир Владимирович	8773	118	218	144	80	161	213	561	109	146	64	178	286	415	213	262	256	468	55	86	163	60	124	71	78	241	280	118	191	141	464	88	214	206	39	243	66	117	35	297	39	33	54	300	62	121	128	484	129	154					
		59.99%	72.39%	48.02%	66.36%	79.21%	78.92%	50.12%	52.04%	57.07%	55.09%	53.78%	63.80%	52.77%	53.48%	60.00%	54.93%	63.52%	68.82%	82.09%	78.90%	71.18%	63.16%	62.31%	61.21%	70.91%	64.96%	70.89%	71.08%	61.22%	60.26%	69.88%	53.33%	60.80%	60.59%	54.17%	68.07%	60.00%	57.07%	67.31%	51.47%	90.70%	44.59%	65.06%	66.52%	72.94%	40.74%	55.41%	57.28%	58.90%	57.25%					
22	. Хакамада Ирина Муцуовна	272	0	9	4	2	2	13	16	5	4	2	6	5	21	5	11	8	6	0	1	1	2	1	2	3	9	4	0	5	3	14	5	6	4	1	7	1	4	1	13	1	3	1	8	1	8	6	22	8	8					
		1.86%	0.00%	1.98%	1.84%	1.98%	0.98%	3.06%	1.48%	2.62%	1.51%	1.68%	2.15%	0.92%	2.71%	1.41%	2.31%	1.99%	0.88%	0.00%	0.92%	0.44%	2.11%	0.50%	1.72%	2.73%	2.43%	1.01%	0.00%	1.60%	1.28%	2.11%	3.03%	1.70%	1.18%	1.39%	1.96%	0.91%	1.95%	1.92%	2.25%	2.33%	4.05%	1.20%	1.77%	1.18%	2.69%	2.60%	2.60%	3.65%	2.97%					
23	. Харитонов Николай Михайлович	4277	34	183	53	18	33	163	393	66	88	46	82	182	253	100	158	108	151	5	16	45	29	56	27	15	72	85	29	84	67	99	48	96	112	31	84	34	75	15	221	3	28	17	123	15	134	82	264	66	89					
		29.25%	20.86%	40.31%	24.42%	17.82%	16.18%	38.35%	36.46%	34.55%	33.21%	38.66%	29.39%	33.58%	32.60%	28.17%	33.12%	26.80%	22.21%	7.46%	14.68%	19.65%	30.53%	28.14%	23.28%	13.64%	19.41%	21.52%	17.47%	26.92%	28.63%	14.91%	29.09%	27.27%	32.94%	43.06%	23.53%	30.91%	36.59%	28.85%	38.30%	6.98%	37.84%	20.48%	27.27%	17.65%	45.12%	35.50%	31.24%	30.14%	33.09%					
																																																								
24	Против всех	279	2	13	4	0	1	5	25	2	3	1	2	16	22	4	21	8	12	3	2	5	1	4	1	2	9	1	4	7	4	14	2	9	4	0	3	4	4	0	7	0	5	3	3	0	6	0	24	4	3					
		1.91%	1.23%	2.86%	1.84%	0.00%	0.49%	1.18%	2.32%	1.05%	1.13%	0.84%	0.72%	2.95%	2.84%	1.13%	4.40%	1.99%	1.76%	4.48%	1.83%	2.18%	1.05%	2.01%	0.86%	1.82%	2.43%	0.25%	2.41%	2.24%	1.71%	2.11%	1.21%	2.56%	1.18%	0.00%	0.84%	3.64%	1.95%	0.00%	1.21%	0.00%	6.76%	3.61%	0.67%	0.00%	2.02%	0.00%	2.84%	1.83%	1.12%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
