Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Спасская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264					
		5.26%	5.18%	2.86%	6.00%	8.72%	2.50%	6.69%	6.08%	5.85%	7.69%	4.02%	5.04%	10.05%	6.74%	4.76%	3.49%	11.61%	4.75%	2.93%	2.00%	6.67%	10.40%	4.51%	5.23%	4.10%	4.80%	3.30%	5.08%	3.69%	3.33%	4.20%	6.03%	4.52%	6.02%	4.20%	5.03%	2.51%	11.41%	5.97%	5.51%	5.30%					
20	. Миронов Сергей Михайлович	190	6	1	7	3	8	8	4	7	4	4	3	3	3	3	6	4	4	5	0	1	1	1	0	3	1	7	3	9	1	1	10	21	20	9	3	1	0	2	6	7					
		1.18%	0.80%	0.95%	1.62%	1.74%	1.82%	1.31%	1.35%	1.05%	0.67%	1.01%	2.52%	1.44%	0.78%	1.43%	1.90%	3.57%	1.00%	1.63%	0.00%	1.33%	0.80%	0.75%	0.00%	1.23%	0.40%	1.01%	0.48%	1.19%	0.33%	0.70%	1.21%	3.17%	2.27%	1.30%	1.01%	0.50%	0.00%	0.50%	0.64%	0.81%					
21	. Путин Владимир Владимирович	10083	462	62	281	112	285	366	196	492	307	320	89	103	274	137	244	70	279	188	87	44	84	62	109	158	190	454	439	393	176	74	480	373	468	415	195	153	96	224	613	529					
		62.71%	61.35%	59.05%	64.90%	65.12%	64.77%	59.71%	66.22%	73.76%	51.34%	80.40%	74.79%	49.28%	70.98%	65.24%	77.46%	62.50%	69.75%	61.24%	87.00%	58.67%	67.20%	46.62%	63.37%	64.75%	76.00%	65.23%	69.68%	51.85%	58.67%	51.75%	57.90%	56.26%	53.18%	60.14%	65.44%	76.88%	64.43%	55.72%	65.01%	60.94%					
22	. Хакамада Ирина Муцуовна	477	28	10	14	1	9	32	6	21	25	7	2	8	6	2	4	5	7	10	0	3	5	4	9	7	4	19	19	26	19	2	29	31	19	15	8	6	7	11	16	21					
		2.97%	3.72%	9.52%	3.23%	0.58%	2.05%	5.22%	2.03%	3.15%	4.18%	1.76%	1.68%	3.83%	1.55%	0.95%	1.27%	4.46%	1.75%	3.26%	0.00%	4.00%	4.00%	3.01%	5.23%	2.87%	1.60%	2.73%	3.02%	3.43%	6.33%	1.40%	3.50%	4.68%	2.16%	2.17%	2.68%	3.02%	4.70%	2.74%	1.70%	2.42%					
23	. Харитонов Николай Михайлович	3185	169	19	82	28	91	94	50	51	148	33	10	56	59	37	26	14	65	54	11	17	18	46	26	42	32	136	94	241	63	26	183	149	226	150	60	21	21	116	196	225					
		19.81%	22.44%	18.10%	18.94%	16.28%	20.68%	15.33%	16.89%	7.65%	24.75%	8.29%	8.40%	26.79%	15.28%	17.62%	8.25%	12.50%	16.25%	17.59%	11.00%	22.67%	14.40%	34.59%	15.12%	17.21%	12.80%	19.54%	14.92%	31.79%	21.00%	18.18%	22.07%	22.47%	25.68%	21.74%	20.13%	10.55%	14.09%	28.86%	20.78%	25.92%					
																																															
24	Против всех	522	17	1	9	4	12	35	8	34	31	7	4	10	7	9	12	4	14	8	0	0	1	4	6	5	5	17	11	16	7	12	42	32	39	29	6	6	1	7	27	23					
		3.25%	2.26%	0.95%	2.08%	2.33%	2.73%	5.71%	2.70%	5.10%	5.18%	1.76%	3.36%	4.78%	1.81%	4.29%	3.81%	3.57%	3.50%	2.61%	0.00%	0.00%	0.80%	3.01%	3.49%	2.05%	2.00%	2.44%	1.75%	2.11%	2.33%	8.39%	5.07%	4.83%	4.43%	4.20%	2.01%	3.02%	0.67%	1.74%	2.86%	2.65%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
