Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Азнакаевская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567					
		83.53%	65.22%	69.66%	73.09%	69.33%	78.36%	64.92%	83.86%	77.68%	97.79%	78.62%	79.12%	96.91%	95.98%	97.49%	92.27%	79.71%	85.45%	85.20%	92.03%	82.37%	87.70%	90.65%	91.72%	92.40%	95.10%	95.69%	92.17%	99.23%	85.71%	84.51%	90.32%	91.77%	96.14%	91.37%	94.04%	88.06%	90.00%	83.84%	92.97%	97.39%	99.39%	97.09%					
22	. Хакамада Ирина Муцуовна	538	16	84	85	83	17	11	4	12	1	17	8	2	1	2	17	8	7	9	8	17	4	4	9	0	7	2	11	1	0	13	2	24	4	1	3	12	17	12	1	2	0	0					
		2.65%	3.16%	4.74%	4.98%	4.10%	4.23%	4.44%	1.06%	3.39%	0.32%	2.80%	1.86%	0.56%	0.45%	1.01%	2.68%	2.35%	1.59%	3.25%	2.06%	4.11%	1.59%	3.74%	2.01%	0.00%	1.07%	0.86%	2.15%	0.19%	0.00%	3.53%	0.81%	2.17%	0.86%	0.72%	0.60%	2.81%	2.36%	3.03%	0.31%	0.87%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1395	94	216	172	294	26	42	26	49	3	55	46	4	3	3	0	37	29	15	9	36	20	2	8	0	14	3	10	2	6	26	21	19	7	8	2	15	34	24	11	2	1	1					
		6.87%	18.58%	12.18%	10.08%	14.52%	6.47%	16.94%	6.88%	13.84%	0.95%	9.05%	10.67%	1.12%	1.34%	1.51%	0.00%	10.88%	6.59%	5.42%	2.31%	8.70%	7.94%	1.87%	1.79%	0.00%	2.14%	1.29%	1.96%	0.38%	3.17%	7.07%	8.47%	1.72%	1.50%	5.76%	0.40%	3.51%	4.72%	6.06%	3.36%	0.87%	0.61%	0.97%					
																																																	
24	Против всех	332	19	61	56	66	5	4	4	6	2	15	10	1	1	0	6	5	9	5	6	5	2	1	3	0	3	0	3	1	0	0	1	14	0	0	2	6	4	2	4	0	0	0					
		1.64%	3.75%	3.44%	3.28%	3.26%	1.24%	1.61%	1.06%	1.69%	0.63%	2.47%	2.32%	0.28%	0.45%	0.00%	0.95%	1.47%	2.05%	1.81%	1.54%	1.21%	0.79%	0.93%	0.67%	0.00%	0.46%	0.00%	0.59%	0.19%	0.00%	0.00%	0.40%	1.27%	0.00%	0.00%	0.40%	1.41%	0.56%	0.51%	1.22%	0.00%	0.00%	0.00%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
