Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Кваркенская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	335	49	33	4	8	12	33	13	6	13	1	4	17	4	3	4	2	0	7	3	5	8	1	10	9	0	20	1	7	5	3	10	3	2	1	10	0	24	0	0					
		2.71%	3.97%	4.26%	1.68%	4.44%	3.46%	3.84%	2.00%	2.25%	2.17%	0.81%	6.67%	3.29%	4.17%	4.41%	1.02%	1.15%	0.00%	1.89%	2.63%	0.98%	3.54%	0.53%	1.70%	1.74%	0.00%	5.36%	0.63%	4.29%	2.94%	1.62%	2.09%	2.01%	1.42%	1.96%	2.34%	0.00%	4.28%	0.00%	0.00%					
19	. Малышкин Олег Александрович	533	81	32	13	5	22	32	13	12	50	2	1	22	3	3	23	14	5	14	2	23	17	7	21	8	3	0	0	5	1	7	26	5	6	2	8	0	26	2	17					
		4.31%	6.56%	4.13%	5.46%	2.78%	6.34%	3.72%	2.00%	4.49%	8.35%	1.61%	1.67%	4.26%	3.12%	4.41%	5.85%	8.05%	8.93%	3.77%	1.75%	4.50%	7.52%	3.70%	3.57%	1.54%	2.94%	0.00%	0.00%	3.07%	0.59%	3.78%	5.43%	3.36%	4.26%	3.92%	1.87%	0.00%	4.63%	2.22%	19.54%					
20	. Миронов Сергей Михайлович	98	8	4	5	2	8	6	5	2	7	1	2	8	1	1	3	1	0	0	0	6	2	1	2	2	0	2	0	1	0	1	4	1	2	0	3	2	4	1	0					
		0.79%	0.65%	0.52%	2.10%	1.11%	2.31%	0.70%	0.77%	0.75%	1.17%	0.81%	3.33%	1.55%	1.04%	1.47%	0.76%	0.57%	0.00%	0.00%	0.00%	1.17%	0.88%	0.53%	0.34%	0.39%	0.00%	0.54%	0.00%	0.61%	0.00%	0.54%	0.84%	0.67%	1.42%	0.00%	0.70%	2.38%	0.71%	1.11%	0.00%					
21	. Путин Владимир Владимирович	7827	738	467	135	116	198	546	446	169	400	93	52	261	63	47	94	89	24	257	97	334	156	124	309	397	70	300	140	123	132	143	302	123	75	26	255	48	354	59	65					
		63.25%	59.81%	60.34%	56.72%	64.44%	57.06%	63.49%	68.62%	63.30%	66.78%	75.00%	86.67%	50.58%	65.62%	69.12%	23.92%	51.15%	42.86%	69.27%	85.09%	65.36%	69.03%	65.61%	52.55%	76.64%	68.63%	80.43%	88.61%	75.46%	77.65%	77.30%	63.05%	82.55%	53.19%	50.98%	59.58%	57.14%	63.10%	65.56%	74.71%					
22	. Хакамада Ирина Муцуовна	151	17	18	5	5	2	6	10	4	6	3	0	9	0	0	3	0	0	2	0	2	4	3	6	4	1	3	0	4	1	3	2	0	4	0	3	1	13	7	0					
		1.22%	1.38%	2.33%	2.10%	2.78%	0.58%	0.70%	1.54%	1.50%	1.00%	2.42%	0.00%	1.74%	0.00%	0.00%	0.76%	0.00%	0.00%	0.54%	0.00%	0.39%	1.77%	1.59%	1.02%	0.77%	0.98%	0.80%	0.00%	2.45%	0.59%	1.62%	0.42%	0.00%	2.84%	0.00%	0.70%	1.19%	2.32%	7.78%	0.00%					
23	. Харитонов Николай Михайлович	3074	283	195	72	40	95	216	137	65	107	18	0	185	24	13	259	62	26	89	11	132	33	52	213	89	26	42	15	20	26	22	113	14	47	22	130	30	128	19	4					
		24.84%	22.93%	25.19%	30.25%	22.22%	27.38%	25.12%	21.08%	24.34%	17.86%	14.52%	0.00%	35.85%	25.00%	19.12%	65.90%	35.63%	46.43%	23.99%	9.65%	25.83%	14.60%	27.51%	36.22%	17.18%	25.49%	11.26%	9.49%	12.27%	15.29%	11.89%	23.59%	9.40%	33.33%	43.14%	30.37%	35.71%	22.82%	21.11%	4.60%					
																																														
24	Против всех	230	51	12	3	4	9	12	15	2	3	1	1	9	1	1	5	3	0	2	1	8	1	0	16	6	0	4	2	3	1	5	19	0	3	0	14	2	8	2	1					
		1.86%	4.13%	1.55%	1.26%	2.22%	2.59%	1.40%	2.31%	0.75%	0.50%	0.81%	1.67%	1.74%	1.04%	1.47%	1.27%	1.72%	0.00%	0.54%	0.88%	1.57%	0.44%	0.00%	2.72%	1.16%	0.00%	1.07%	1.27%	1.84%	0.59%	2.70%	3.97%	0.00%	2.13%	0.00%	3.27%	2.38%	1.43%	2.22%	1.15%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
