Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Артемовская городская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
11	Число полученных открепительных  удостоверений	1557	28	33	31	19	42	32	9	34	53	30	35	33	47	32	22	74	54	50	28	47	35	20	18	38	49	37	28	11	36	38	25	18	47	49	50	20	13	33	18	23	24	32	21	27	30	12	36	19	12	5	0					
12	Число выданных открепительных удостоверений	1425	28	24	31	11	42	32	9	34	53	21	35	33	47	28	14	72	48	50	22	35	34	11	13	25	48	34	28	7	32	34	23	10	47	48	50	16	9	32	18	19	24	32	21	27	30	12	36	19	12	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	916	11	15	6	15	7	11	12	19	6	19	24	47	40	8	20	17	15	19	30	27	21	39	13	12	23	30	16	14	14	8	9	24	33	67	15	9	8	16	5	11	11	13	3	6	7	34	21	22	5	3	36					
14	Число неиспользованных открепительных удостоверений	132	0	9	0	8	0	0	0	0	0	9	0	0	0	4	8	2	6	0	6	12	1	9	5	13	1	3	0	4	4	4	2	8	0	1	0	4	4	1	0	4	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	2518	56	49	58	33	80	87	45	80	118	29	58	56	141	42	31	36	81	107	45	48	44	21	23	34	59	60	31	12	47	42	34	25	41	25	64	74	52	107	18	35	54	57	35	56	59	16	56	31	16	6	4					
		4.51%	3.43%	4.34%	4.93%	5.83%	5.31%	4.23%	5.70%	4.46%	5.90%	3.35%	4.19%	4.52%	8.27%	4.17%	4.54%	3.97%	5.62%	5.61%	4.92%	4.62%	4.79%	2.49%	3.35%	7.51%	4.28%	4.29%	2.28%	2.72%	3.50%	2.93%	3.50%	3.25%	2.83%	1.85%	4.64%	7.54%	6.68%	6.68%	2.63%	3.88%	4.85%	5.25%	3.74%	4.32%	5.40%	3.70%	3.96%	4.30%	3.74%	2.88%	2.11%					
19	. Малышкин Олег Александрович	1991	61	56	51	30	51	111	25	58	57	24	43	33	59	22	17	30	39	61	25	26	27	18	18	32	39	71	26	17	38	34	35	24	44	21	52	37	15	52	28	42	41	72	53	69	57	21	59	37	16	9	8					
		3.57%	3.73%	4.96%	4.33%	5.30%	3.38%	5.40%	3.17%	3.23%	2.85%	2.77%	3.11%	2.66%	3.46%	2.18%	2.49%	3.31%	2.71%	3.20%	2.73%	2.50%	2.94%	2.13%	2.62%	7.06%	2.83%	5.07%	1.91%	3.85%	2.83%	2.37%	3.60%	3.12%	3.03%	1.56%	3.77%	3.77%	1.93%	3.25%	4.09%	4.65%	3.68%	6.63%	5.66%	5.32%	5.22%	4.86%	4.18%	5.13%	3.74%	4.33%	4.21%					
20	. Миронов Сергей Михайлович	528	11	9	25	8	18	40	3	11	23	13	8	12	18	9	6	5	13	13	4	10	10	6	6	4	16	5	7	4	24	6	16	5	10	6	10	9	1	15	4	10	10	13	15	22	14	1	10	8	1	0	1					
		0.95%	0.67%	0.80%	2.12%	1.41%	1.19%	1.95%	0.38%	0.61%	1.15%	1.50%	0.58%	0.97%	1.06%	0.89%	0.88%	0.55%	0.90%	0.68%	0.44%	0.96%	1.09%	0.71%	0.87%	0.88%	1.16%	0.36%	0.51%	0.91%	1.79%	0.42%	1.65%	0.65%	0.69%	0.45%	0.73%	0.92%	0.13%	0.94%	0.58%	1.11%	0.90%	1.20%	1.60%	1.70%	1.28%	0.23%	0.71%	1.11%	0.23%	0.00%	0.53%					
21	. Путин Владимир Владимирович	35312	1194	662	619	324	815	1291	509	1201	1237	548	966	791	927	704	440	599	840	1095	558	667	535	653	507	265	814	834	972	256	901	1021	642	516	1013	1139	791	578	469	961	449	549	655	651	566	730	677	275	873	425	324	155	129					
		63.30%	73.07%	58.58%	52.59%	57.24%	54.08%	62.82%	64.51%	66.91%	61.82%	63.35%	69.80%	63.79%	54.40%	69.91%	64.42%	66.11%	58.29%	57.45%	60.98%	64.26%	58.22%	77.37%	73.91%	58.50%	58.99%	59.57%	71.47%	58.05%	67.19%	71.30%	66.05%	67.10%	69.81%	84.50%	57.40%	58.86%	60.28%	59.99%	65.55%	60.80%	58.85%	59.94%	60.41%	56.33%	61.94%	63.66%	61.78%	58.95%	75.70%	74.52%	67.89%					
22	. Хакамада Ирина Муцуовна	2547	85	53	68	21	84	76	41	65	94	30	77	58	107	44	28	47	90	130	58	44	41	21	22	31	77	72	45	20	50	41	52	26	69	35	61	39	18	54	20	43	50	51	50	79	41	19	72	20	14	6	8					
		4.57%	5.20%	4.69%	5.78%	3.71%	5.57%	3.70%	5.20%	3.62%	4.70%	3.47%	5.56%	4.68%	6.28%	4.37%	4.10%	5.19%	6.25%	6.82%	6.34%	4.24%	4.46%	2.49%	3.21%	6.84%	5.58%	5.14%	3.31%	4.54%	3.73%	2.86%	5.35%	3.38%	4.76%	2.60%	4.43%	3.97%	2.31%	3.37%	2.92%	4.76%	4.49%	4.70%	5.34%	6.10%	3.75%	4.40%	5.10%	2.77%	3.27%	2.88%	4.21%					
23	. Харитонов Николай Михайлович	8733	110	198	251	111	347	268	136	307	310	145	133	183	298	131	124	118	273	306	166	173	189	93	93	61	270	247	200	99	194	206	128	123	176	80	244	171	151	266	130	136	189	155	148	232	168	60	214	139	40	21	22					
		15.66%	6.73%	17.52%	21.33%	19.61%	23.03%	13.04%	17.24%	17.10%	15.49%	16.76%	9.61%	14.76%	17.49%	13.01%	18.16%	13.02%	18.95%	16.05%	18.14%	16.67%	20.57%	11.02%	13.56%	13.47%	19.57%	17.64%	14.71%	22.45%	14.47%	14.39%	13.17%	15.99%	12.13%	5.93%	17.71%	17.41%	19.41%	16.60%	18.98%	15.06%	16.98%	14.27%	15.80%	17.90%	15.37%	13.89%	15.15%	19.28%	9.35%	10.10%	11.58%					
																																																										
24	Против всех	3483	107	82	86	32	92	163	21	58	138	69	84	96	135	49	26	58	88	174	55	59	64	19	15	26	88	82	60	24	69	68	53	43	91	36	124	64	65	124	29	70	87	72	53	91	61	36	109	48	14	8	18					
		6.24%	6.55%	7.26%	7.31%	5.65%	6.10%	7.93%	2.66%	3.23%	6.90%	7.98%	6.07%	7.74%	7.92%	4.87%	3.81%	6.40%	6.11%	9.13%	6.01%	5.68%	6.96%	2.25%	2.19%	5.74%	6.38%	5.86%	4.41%	5.44%	5.15%	4.75%	5.45%	5.59%	6.27%	2.67%	9.00%	6.52%	8.35%	7.74%	4.23%	7.75%	7.82%	6.63%	5.66%	7.02%	5.58%	8.33%	7.71%	6.66%	3.27%	3.85%	9.47%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
