Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Усть-Канская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
		2.23%	1.83%	0.00%	0.00%	0.00%	0.00%	0.67%	1.75%	0.34%	5.95%	3.60%	2.13%	1.93%	1.00%	5.81%	2.86%	4.49%	4.08%	2.17%	5.95%	1.31%	0.00%	0.83%	0.54%	1.89%					
19	. Малышкин Олег Александрович	55	4	0	1	0	0	3	0	2	0	9	2	4	1	0	0	6	0	1	0	8	0	0	8	6					
		0.80%	1.47%	0.00%	0.34%	0.00%	0.00%	2.00%	0.00%	0.69%	0.00%	0.65%	0.53%	0.86%	0.17%	0.00%	0.00%	0.87%	0.00%	0.36%	0.00%	2.09%	0.00%	0.00%	2.18%	2.83%					
20	. Миронов Сергей Михайлович	33	1	4	0	0	0	0	0	0	0	10	2	2	3	0	0	5	0	1	0	2	0	0	1	2					
		0.48%	0.37%	3.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.53%	0.43%	0.50%	0.00%	0.00%	0.72%	0.00%	0.36%	0.00%	0.52%	0.00%	0.00%	0.27%	0.94%					
21	. Путин Владимир Владимирович	4947	236	104	237	78	73	137	84	212	52	1010	271	352	441	52	90	479	72	170	24	287	66	106	168	146					
		72.23%	86.45%	84.55%	80.07%	96.30%	75.26%	91.33%	73.68%	73.10%	61.90%	72.71%	72.27%	75.54%	73.13%	60.47%	85.71%	69.32%	73.47%	61.59%	28.57%	75.13%	76.74%	87.60%	45.78%	68.87%					
22	. Хакамада Ирина Муцуовна	282	3	1	3	0	0	1	5	20	2	92	13	37	29	1	2	26	2	11	4	12	3	2	6	7					
		4.12%	1.10%	0.81%	1.01%	0.00%	0.00%	0.67%	4.39%	6.90%	2.38%	6.62%	3.47%	7.94%	4.81%	1.16%	1.90%	3.76%	2.04%	3.99%	4.76%	3.14%	3.49%	1.65%	1.63%	3.30%					
23	. Харитонов Николай Михайлович	1224	19	13	49	1	21	3	20	54	23	179	70	49	113	24	10	128	18	82	48	51	17	11	176	45					
		17.87%	6.96%	10.57%	16.55%	1.23%	21.65%	2.00%	17.54%	18.62%	27.38%	12.89%	18.67%	10.52%	18.74%	27.91%	9.52%	18.52%	18.37%	29.71%	57.14%	13.35%	19.77%	9.09%	47.96%	21.23%					
																															
24	Против всех	75	2	1	3	0	1	4	1	1	1	27	1	4	8	3	0	4	2	1	3	2	0	0	4	2					
		1.10%	0.73%	0.81%	1.01%	0.00%	1.03%	2.67%	0.88%	0.34%	1.19%	1.94%	0.27%	0.86%	1.33%	3.49%	0.00%	0.58%	2.04%	0.36%	3.57%	0.52%	0.00%	0.00%	1.09%	0.94%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
