Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Вешкаймская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109					
		1.43%	0.80%	1.92%	2.99%	1.15%	0.94%	1.86%	0.84%	0.40%	0.56%	0.00%	1.33%	1.54%	2.06%	1.91%	1.69%	1.25%	1.31%	1.56%	3.74%	2.78%	1.22%	0.76%	1.38%	0.50%	0.93%	1.25%	1.24%	1.96%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
