Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Мегино-Кангаласская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288					
		3.10%	2.82%	3.77%	2.32%	3.43%	4.03%	2.71%	2.00%	2.76%	2.04%	3.42%	2.74%	1.94%	3.37%	2.30%	2.04%	0.00%	3.03%	4.91%	5.71%	1.72%	4.89%	3.02%	3.20%	1.06%	1.79%	3.23%	3.02%	2.02%	1.37%	3.52%	3.02%	3.97%	2.81%	3.26%	10.79%	3.08%					
19	. Малышкин Олег Александрович	96	1	3	7	20	13	3	0	0	1	3	2	2	0	3	0	0	4	4	3	4	3	2	0	0	2	0	2	1	0	1	3	0	2	3	1	3					
		0.66%	0.10%	0.34%	0.71%	3.12%	2.18%	0.30%	0.00%	0.00%	0.41%	0.51%	0.50%	0.65%	0.00%	0.69%	0.00%	0.00%	0.67%	1.79%	0.95%	1.37%	0.86%	0.43%	0.00%	0.00%	0.51%	0.00%	0.40%	0.25%	0.00%	0.44%	0.60%	0.00%	1.12%	0.70%	0.41%	1.32%					
20	. Миронов Сергей Михайлович	104	7	3	7	8	5	5	2	0	0	5	4	1	2	2	1	0	2	2	1	3	5	1	1	0	10	3	3	1	0	3	6	1	2	0	4	4					
		0.71%	0.70%	0.34%	0.71%	1.25%	0.84%	0.50%	4.00%	0.00%	0.00%	0.85%	1.00%	0.32%	1.12%	0.46%	0.41%	0.00%	0.34%	0.89%	0.32%	1.03%	1.44%	0.22%	0.40%	0.00%	2.55%	4.84%	0.60%	0.25%	0.00%	1.32%	1.21%	0.33%	1.12%	0.00%	1.66%	1.76%					
21	. Путин Владимир Владимирович	9659	684	537	662	418	410	681	26	353	127	395	292	223	134	299	155	69	414	137	179	149	254	277	188	141	248	43	320	322	198	172	310	194	129	256	127	136					
		66.40%	68.88%	61.37%	66.87%	65.21%	68.91%	68.24%	52.00%	69.49%	51.84%	67.52%	72.82%	71.94%	75.28%	68.74%	63.27%	82.14%	69.70%	61.16%	56.83%	51.20%	72.99%	59.70%	75.20%	74.60%	63.27%	69.35%	64.39%	81.31%	68.04%	75.77%	62.37%	64.24%	72.47%	59.67%	52.70%	59.91%					
22	. Хакамада Ирина Муцуовна	1538	123	129	127	53	45	130	11	55	13	54	39	25	10	24	12	2	48	12	60	30	38	34	25	18	52	7	64	24	46	18	61	31	9	54	28	27					
		10.57%	12.39%	14.74%	12.83%	8.27%	7.56%	13.03%	22.00%	10.83%	5.31%	9.23%	9.73%	8.06%	5.62%	5.52%	4.90%	2.38%	8.08%	5.36%	19.05%	10.31%	10.92%	7.33%	10.00%	9.52%	13.27%	11.29%	12.88%	6.06%	15.81%	7.93%	12.27%	10.26%	5.06%	12.59%	11.62%	11.89%					
23	. Харитонов Николай Михайлович	2294	124	144	138	83	77	139	9	73	85	94	43	46	22	82	59	11	96	49	47	88	29	126	20	25	61	6	78	36	34	23	93	51	29	90	50	34					
		15.77%	12.49%	16.46%	13.94%	12.95%	12.94%	13.93%	18.00%	14.37%	34.69%	16.07%	10.72%	14.84%	12.36%	18.85%	24.08%	13.10%	16.16%	21.87%	14.92%	30.24%	8.33%	27.16%	8.00%	13.23%	15.56%	9.68%	15.69%	9.09%	11.68%	10.13%	18.71%	16.89%	16.29%	20.98%	20.75%	14.98%					
																																											
24	Против всех	258	18	18	14	25	15	7	1	7	11	7	7	4	1	6	5	1	7	3	5	10	2	6	8	0	8	1	10	1	8	1	6	10	2	6	4	13					
		1.77%	1.81%	2.06%	1.41%	3.90%	2.52%	0.70%	2.00%	1.38%	4.49%	1.20%	1.75%	1.29%	0.56%	1.38%	2.04%	1.19%	1.18%	1.34%	1.59%	3.44%	0.57%	1.29%	3.20%	0.00%	2.04%	1.61%	2.01%	0.25%	2.75%	0.44%	1.21%	3.31%	1.12%	1.40%	1.66%	5.73%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
