Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Беловская городская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	3786	53	85	34	73	22	95	66	80	95	98	58	71	61	28	62	90	29	32	30	63	59	24	64	19	75	23	26	29	31	10	48	47	43	21	0	55	49	37	63	33	3	74	133	106	112	133	122	174	99	38	161	95	44	48	39	70	92	50	31	76	24	12	17	10	33	9					
		4.98%	7.25%	8.20%	5.83%	6.05%	3.46%	6.52%	6.50%	7.42%	7.50%	7.40%	5.73%	4.12%	4.89%	1.92%	5.48%	6.75%	3.11%	5.14%	4.79%	5.62%	4.13%	4.77%	4.68%	3.21%	5.38%	4.93%	3.37%	3.79%	4.21%	2.69%	5.43%	5.29%	4.84%	3.11%	0.00%	2.94%	3.20%	2.49%	3.79%	3.40%	1.06%	5.56%	6.69%	5.14%	5.46%	8.59%	6.12%	8.95%	6.78%	4.35%	8.55%	7.06%	6.44%	4.85%	3.92%	7.13%	5.12%	2.75%	1.47%	3.96%	3.05%	1.73%	2.06%	2.25%	3.48%	2.43%					
19	. Малышкин Олег Александрович	2534	30	19	27	46	16	36	13	28	42	20	17	37	30	76	22	33	22	22	12	36	56	13	51	23	51	18	24	26	34	4	33	13	25	22	0	38	50	14	46	24	3	66	79	100	104	52	64	91	48	25	82	42	41	48	49	43	65	80	86	73	31	19	25	24	34	11					
		3.33%	4.10%	1.83%	4.63%	3.81%	2.52%	2.47%	1.28%	2.60%	3.31%	1.51%	1.68%	2.15%	2.40%	5.21%	1.94%	2.47%	2.36%	3.54%	1.92%	3.21%	3.92%	2.58%	3.73%	3.89%	3.66%	3.85%	3.11%	3.40%	4.62%	1.08%	3.73%	1.46%	2.82%	3.26%	0.00%	2.03%	3.27%	0.94%	2.77%	2.47%	1.06%	4.95%	3.98%	4.84%	5.07%	3.36%	3.21%	4.68%	3.29%	2.86%	4.35%	3.12%	6.00%	4.85%	4.93%	4.38%	3.62%	4.41%	4.07%	3.81%	3.94%	2.75%	3.02%	5.41%	3.59%	2.96%					
20	. Миронов Сергей Михайлович	693	8	8	7	16	8	10	6	11	11	6	7	8	7	12	13	17	5	4	4	13	19	4	19	4	11	5	6	5	11	3	9	14	6	1	0	13	10	11	8	5	0	16	24	21	20	16	26	29	17	1	24	9	3	23	9	9	12	18	17	17	3	7	15	3	7	2					
		0.91%	1.09%	0.77%	1.20%	1.33%	1.26%	0.69%	0.59%	1.02%	0.87%	0.45%	0.69%	0.46%	0.56%	0.82%	1.15%	1.27%	0.54%	0.64%	0.64%	1.16%	1.33%	0.80%	1.39%	0.68%	0.79%	1.07%	0.78%	0.65%	1.49%	0.81%	1.02%	1.58%	0.68%	0.15%	0.00%	0.70%	0.65%	0.74%	0.48%	0.52%	0.00%	1.20%	1.21%	1.02%	0.98%	1.03%	1.31%	1.49%	1.16%	0.11%	1.27%	0.67%	0.44%	2.32%	0.91%	0.92%	0.67%	0.99%	0.80%	0.89%	0.38%	1.01%	1.81%	0.68%	0.74%	0.54%					
21	. Путин Владимир Владимирович	52648	497	723	386	816	418	939	671	715	785	855	732	843	926	1060	809	891	701	429	451	761	1053	373	875	420	925	353	551	559	531	300	608	591	617	525	940	1596	1031	1265	1250	720	198	848	1255	1389	1311	940	1388	1188	852	587	1262	904	450	636	711	627	1276	1355	1543	1373	625	490	596	361	706	286					
		69.21%	67.99%	69.79%	66.21%	67.61%	65.83%	64.45%	66.04%	66.33%	61.96%	64.53%	72.26%	48.90%	74.20%	72.60%	71.47%	66.79%	75.21%	68.97%	72.04%	67.89%	73.69%	74.16%	63.96%	71.07%	66.31%	75.59%	71.47%	73.07%	72.15%	80.65%	68.78%	66.55%	69.48%	77.78%	82.46%	85.39%	67.34%	85.01%	75.26%	74.23%	69.96%	63.66%	63.16%	67.30%	63.95%	60.68%	69.68%	61.11%	58.36%	67.24%	66.99%	67.16%	65.89%	64.24%	71.53%	63.85%	70.97%	74.61%	72.99%	71.58%	79.52%	70.81%	72.07%	81.31%	74.47%	77.09%					
22	. Хакамада Ирина Муцуовна	1948	15	23	15	29	27	42	33	48	48	25	25	22	36	16	32	71	22	12	11	41	24	5	50	14	31	11	11	22	14	10	14	19	19	14	0	26	15	18	30	10	10	60	73	63	102	57	57	64	77	24	54	36	28	29	34	31	32	34	43	14	15	8	20	2	19	12					
		2.56%	2.05%	2.22%	2.57%	2.40%	4.25%	2.88%	3.25%	4.45%	3.79%	1.89%	2.47%	1.28%	2.88%	1.10%	2.83%	5.32%	2.36%	1.93%	1.76%	3.66%	1.68%	0.99%	3.65%	2.37%	2.22%	2.36%	1.43%	2.88%	1.90%	2.69%	1.58%	2.14%	2.14%	2.07%	0.00%	1.39%	0.98%	1.21%	1.81%	1.03%	3.53%	4.50%	3.67%	3.05%	4.98%	3.68%	2.86%	3.29%	5.27%	2.75%	2.87%	2.67%	4.10%	2.93%	3.42%	3.16%	1.78%	1.87%	2.03%	0.73%	1.91%	1.16%	2.42%	0.45%	2.00%	3.23%					
23	. Харитонов Николай Михайлович	10089	94	140	77	177	115	274	175	137	240	227	116	238	129	240	145	146	118	84	94	148	154	64	242	86	236	46	129	94	84	29	136	161	141	67	200	99	265	113	196	131	61	185	306	201	240	271	247	282	276	105	168	176	85	140	121	139	245	202	98	297	50	134	116	28	90	39					
		13.26%	12.86%	13.51%	13.21%	14.66%	18.11%	18.81%	17.22%	12.71%	18.94%	17.13%	11.45%	13.81%	10.34%	16.44%	12.81%	10.94%	12.66%	13.50%	15.02%	13.20%	10.78%	12.72%	17.69%	14.55%	16.92%	9.85%	16.73%	12.29%	11.41%	7.80%	15.38%	18.13%	15.88%	9.93%	17.54%	5.30%	17.31%	7.59%	11.80%	13.51%	21.55%	13.89%	15.40%	9.74%	11.71%	17.50%	12.40%	14.51%	18.90%	12.03%	8.92%	13.08%	12.45%	14.14%	12.17%	14.15%	13.63%	11.12%	4.64%	15.48%	6.36%	19.36%	14.03%	6.31%	9.49%	10.51%					
																																																																									
24	Против всех	3196	26	32	30	34	28	50	47	50	41	57	51	194	48	13	41	82	33	34	21	58	53	18	53	19	51	10	19	20	26	16	32	33	28	16	0	42	30	24	68	37	8	76	95	165	143	69	76	90	77	84	117	73	23	55	21	57	60	64	72	63	34	12	33	14	40	10					
		4.20%	3.56%	3.09%	5.15%	2.82%	4.41%	3.43%	4.63%	4.64%	3.24%	4.30%	5.03%	11.25%	3.85%	0.89%	3.62%	6.15%	3.54%	5.47%	3.35%	5.17%	3.71%	3.58%	3.87%	3.21%	3.66%	2.14%	2.46%	2.61%	3.53%	4.30%	3.62%	3.72%	3.15%	2.37%	0.00%	2.25%	1.96%	1.61%	4.09%	3.81%	2.83%	5.71%	4.78%	7.99%	6.98%	4.45%	3.82%	4.63%	5.27%	9.62%	6.21%	5.42%	3.37%	5.56%	2.11%	5.80%	3.34%	3.52%	3.41%	3.28%	4.33%	1.73%	3.99%	3.15%	4.22%	2.70%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
