Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Успенская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №5501	УИК №5502	УИК №5503	УИК №5504	УИК №5505	УИК №5506	УИК №5507	УИК №5508	УИК №5509	УИК №5510	УИК №5511	УИК №5512	УИК №5513	УИК №5514	УИК №5515	УИК №5516	УИК №5517	УИК №5518	УИК №5519	УИК №5520	УИК №5521	УИК №5522	УИК №5523	УИК №5524	УИК №5525	УИК №5526	УИК №5527					
		0.48%	0.69%	0.58%	0.48%	0.57%	0.17%	0.00%	0.00%	0.85%	0.26%	0.11%	0.36%	0.10%	1.31%	1.45%	0.26%	1.71%	0.00%	1.58%	0.38%	2.27%	0.53%	0.25%	0.60%	0.19%	0.78%	0.76%	0.00%					
21	. Путин Владимир Владимирович	16665	970	1335	1598	1192	887	211	103	468	977	1360	405	669	113	235	539	96	110	177	486	74	607	744	430	373	1143	953	410					
		68.34%	66.80%	64.71%	69.72%	68.47%	74.48%	71.77%	76.30%	66.10%	62.95%	77.19%	72.97%	69.76%	73.86%	68.12%	71.11%	82.05%	62.50%	69.96%	61.21%	84.09%	64.44%	62.89%	64.86%	72.57%	68.81%	66.18%	68.79%					
22	. Хакамада Ирина Муцуовна	600	27	49	70	63	17	5	4	39	30	51	7	24	1	18	17	1	3	8	14	4	19	16	7	6	60	31	9					
		2.46%	1.86%	2.38%	3.05%	3.62%	1.43%	1.70%	2.96%	5.51%	1.93%	2.89%	1.26%	2.50%	0.65%	5.22%	2.24%	0.85%	1.70%	3.16%	1.76%	4.55%	2.02%	1.35%	1.06%	1.17%	3.61%	2.15%	1.51%					
23	. Харитонов Николай Михайлович	4629	290	450	387	296	204	61	15	115	403	203	97	179	25	65	87	13	38	41	215	7	162	376	181	101	267	240	111					
		18.98%	19.97%	21.81%	16.88%	17.00%	17.13%	20.75%	11.11%	16.24%	25.97%	11.52%	17.48%	18.67%	16.34%	18.84%	11.48%	11.11%	21.59%	16.21%	27.08%	7.95%	17.20%	31.78%	27.30%	19.65%	16.07%	16.67%	18.62%					
																																		
24	Против всех	788	44	79	96	66	26	3	2	18	42	52	19	15	7	14	23	1	2	0	28	0	54	6	8	3	46	101	33					
		3.23%	3.03%	3.83%	4.19%	3.79%	2.18%	1.02%	1.48%	2.54%	2.71%	2.95%	3.42%	1.56%	4.58%	4.06%	3.03%	0.85%	1.14%	0.00%	3.53%	0.00%	5.73%	0.51%	1.21%	0.58%	2.77%	7.01%	5.54%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
