Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Липецк, Советская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
11	Число полученных открепительных  удостоверений	2399	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	39	35	35	35	35	35	35	35	35	35	35	40	35	35	35	0	35	35	35	35	35	70	45	35	35	35	35	35	35	35	55	35	35	35	35	35	85	35	35	35	35	35	35	35	35					
12	Число выданных открепительных удостоверений	1567	9	12	18	9	24	22	31	32	20	26	14	32	35	29	24	24	33	21	19	20	27	35	26	16	27	22	25	32	23	28	27	24	36	16	23	29	0	25	12	26	15	20	17	37	27	23	13	22	21	24	25	47	21	30	17	28	25	60	15	23	24	28	17	16	28	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	970	9	27	7	5	4	25	13	10	10	16	15	11	15	12	5	8	24	14	15	33	20	13	9	15	12	8	16	10	15	16	18	18	17	7	11	10	148	14	9	11	37	13	9	20	10	7	4	13	14	10	9	11	9	7	4	8	9	15	5	10	9	8	5	28	10	11					
14	Число неиспользованных открепительных удостоверений	832	26	23	17	26	11	13	4	3	15	9	21	3	0	6	11	11	2	14	16	15	8	4	9	19	8	13	10	3	12	7	8	11	4	19	12	6	0	10	23	9	20	15	53	8	8	12	22	13	14	11	10	8	14	5	18	7	10	25	20	12	11	7	18	19	7	24					
15	"Число открепительных удостоверений, выданных в ТИК"	46	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	3	0	2	0	1	1	1	2	1	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	2	3	0	1	0	1	0	2	0	2	2	1	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	5014	54	60	54	42	62	108	96	73	52	81	86	91	107	86	82	60	115	95	64	37	75	85	48	53	59	72	60	81	65	78	67	68	101	71	65	92	8	107	93	50	65	63	71	129	120	104	61	103	91	78	126	106	91	82	35	71	82	85	81	93	86	63	74	51	41	59					
		5.70%	5.56%	5.75%	5.39%	5.98%	5.24%	7.44%	5.58%	5.20%	4.07%	5.48%	7.01%	6.47%	6.76%	6.46%	6.51%	4.27%	6.89%	7.09%	4.57%	3.54%	5.03%	5.41%	4.15%	4.57%	5.26%	6.14%	5.26%	5.06%	4.93%	5.11%	4.90%	5.17%	7.15%	5.46%	4.86%	5.44%	3.79%	8.51%	6.88%	5.20%	5.07%	4.92%	6.83%	7.21%	7.06%	7.09%	7.04%	6.80%	7.33%	6.42%	7.45%	6.44%	5.42%	6.44%	2.79%	4.88%	6.79%	5.57%	6.34%	5.55%	5.82%	4.56%	5.15%	3.76%	3.14%	3.87%					
19	. Малышкин Олег Александрович	1999	17	22	13	14	13	26	27	36	27	22	24	28	26	23	20	43	18	31	32	22	42	40	22	32	39	30	32	38	39	36	32	31	32	30	44	36	4	33	35	24	27	26	20	32	43	41	21	39	24	17	22	38	45	35	34	41	28	39	33	48	34	38	29	34	44	32					
		2.27%	1.75%	2.11%	1.30%	1.99%	1.10%	1.79%	1.57%	2.56%	2.11%	1.49%	1.96%	1.99%	1.64%	1.73%	1.59%	3.06%	1.08%	2.32%	2.28%	2.11%	2.82%	2.55%	1.90%	2.76%	3.48%	2.56%	2.81%	2.37%	2.96%	2.36%	2.34%	2.36%	2.27%	2.31%	3.29%	2.13%	1.90%	2.62%	2.59%	2.49%	2.11%	2.03%	1.92%	1.79%	2.53%	2.79%	2.42%	2.58%	1.93%	1.40%	1.30%	2.31%	2.68%	2.75%	2.71%	2.82%	2.32%	2.56%	2.58%	2.86%	2.30%	2.75%	2.02%	2.51%	3.37%	2.10%					
20	. Миронов Сергей Михайлович	735	7	6	9	5	6	15	7	16	15	18	5	11	14	9	5	4	11	11	10	11	14	16	11	12	11	11	3	9	10	16	8	12	8	16	18	18	0	8	7	13	11	9	14	15	13	16	9	15	8	9	9	17	20	8	7	6	12	11	10	21	26	10	5	14	14	10					
		0.84%	0.72%	0.58%	0.90%	0.71%	0.51%	1.03%	0.41%	1.14%	1.17%	1.22%	0.41%	0.78%	0.88%	0.68%	0.40%	0.28%	0.66%	0.82%	0.71%	1.05%	0.94%	1.02%	0.95%	1.04%	0.98%	0.94%	0.26%	0.56%	0.76%	1.05%	0.59%	0.91%	0.57%	1.23%	1.35%	1.06%	0.00%	0.64%	0.52%	1.35%	0.86%	0.70%	1.35%	0.84%	0.76%	1.09%	1.04%	0.99%	0.64%	0.74%	0.53%	1.03%	1.19%	0.63%	0.56%	0.41%	0.99%	0.72%	0.78%	1.25%	1.76%	0.72%	0.35%	1.03%	1.07%	0.66%					
21	. Путин Владимир Владимирович	55070	626	648	550	421	701	867	1122	884	885	975	692	857	1015	821	757	1025	1043	842	831	630	964	982	754	751	707	767	729	999	831	907	861	843	872	802	814	1032	154	776	813	606	784	773	627	1085	1060	853	523	942	751	732	1058	1103	1065	810	792	936	765	1003	780	1067	965	835	868	889	866	982					
		62.63%	64.40%	62.13%	54.89%	59.97%	59.26%	59.71%	65.23%	62.92%	69.19%	65.97%	56.44%	60.91%	64.16%	61.68%	60.08%	72.90%	62.46%	62.88%	59.31%	60.29%	64.65%	62.51%	65.11%	64.80%	63.01%	65.44%	63.95%	62.36%	63.00%	59.44%	63.03%	64.11%	61.76%	61.64%	60.84%	61.03%	72.99%	61.69%	60.18%	62.99%	61.15%	60.34%	60.29%	60.61%	62.35%	58.15%	60.39%	62.22%	60.52%	60.25%	62.57%	67.05%	63.47%	63.58%	63.06%	64.37%	63.33%	65.73%	61.08%	63.63%	65.34%	60.42%	60.40%	65.56%	66.36%	64.39%					
22	. Хакамада Ирина Муцуовна	2930	34	32	40	26	50	60	71	58	64	87	64	64	48	44	46	40	65	28	48	26	75	42	35	33	29	36	26	52	28	40	45	33	99	60	55	56	1	26	55	28	52	36	49	68	48	54	20	46	33	45	50	45	41	41	59	44	31	54	32	45	40	32	46	28	17	25					
		3.33%	3.50%	3.07%	3.99%	3.70%	4.23%	4.13%	4.13%	4.13%	5.00%	5.89%	5.22%	4.55%	3.03%	3.31%	3.65%	2.84%	3.89%	2.09%	3.43%	2.49%	5.03%	2.67%	3.02%	2.85%	2.58%	3.07%	2.28%	3.25%	2.12%	2.62%	3.29%	2.51%	7.01%	4.61%	4.11%	3.31%	0.47%	2.07%	4.07%	2.91%	4.06%	2.81%	4.71%	3.80%	2.82%	3.68%	2.31%	3.04%	2.66%	3.70%	2.96%	2.74%	2.44%	3.22%	4.70%	3.03%	2.57%	3.54%	2.51%	2.68%	2.71%	2.32%	3.20%	2.06%	1.30%	1.64%					
23	. Харитонов Николай Михайлович	16627	176	205	271	157	280	286	298	263	151	205	266	270	288	276	264	116	319	236	329	254	231	330	230	207	198	195	224	310	264	369	263	245	242	249	241	361	31	235	261	184	257	271	185	318	324	298	187	283	251	253	321	238	311	187	217	267	232	234	234	287	224	330	309	251	246	332					
		18.91%	18.11%	19.65%	27.05%	22.36%	23.67%	19.70%	17.33%	18.72%	11.81%	13.87%	21.70%	19.19%	18.20%	20.74%	20.95%	8.25%	19.10%	17.63%	23.48%	24.31%	15.49%	21.01%	19.86%	17.86%	17.65%	16.64%	19.65%	19.35%	20.02%	24.18%	19.25%	18.63%	17.14%	19.14%	18.01%	21.35%	14.69%	18.68%	19.32%	19.13%	20.05%	21.16%	17.79%	17.77%	19.06%	20.31%	21.59%	18.69%	20.23%	20.82%	18.98%	14.47%	18.53%	14.68%	17.28%	18.36%	19.21%	15.33%	18.32%	17.11%	15.17%	23.88%	21.50%	18.51%	18.85%	21.77%					
																																																																									
24	Против всех	4865	50	58	57	34	63	79	89	74	74	80	84	73	80	66	78	111	93	76	66	56	83	71	52	64	70	51	57	93	72	72	74	74	49	68	92	92	13	66	79	48	73	89	66	133	81	91	39	77	69	67	85	86	96	92	96	74	54	89	93	104	86	60	92	63	67	62					
		5.53%	5.14%	5.56%	5.69%	4.84%	5.33%	5.44%	5.17%	5.27%	5.79%	5.41%	6.85%	5.19%	5.06%	4.96%	6.19%	7.89%	5.57%	5.68%	4.71%	5.36%	5.57%	4.52%	4.49%	5.52%	6.24%	4.35%	5.00%	5.81%	5.46%	4.72%	5.42%	5.63%	3.47%	5.23%	6.88%	5.44%	6.16%	5.25%	5.85%	4.99%	5.69%	6.95%	6.35%	7.43%	4.76%	6.20%	4.50%	5.09%	5.56%	5.51%	5.03%	5.23%	5.72%	7.22%	7.64%	5.09%	4.47%	5.83%	7.28%	6.20%	5.82%	4.34%	6.40%	4.65%	5.13%	4.07%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
