Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Альметьевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865					
11	Число полученных открепительных  удостоверений	500	15	13	13	13	10	10	10	10	15	10	10	10	10	13	10	10	10	10	13	13	8	10	10	5	10	5	10	5	10	10	15	15	5	8	8	8	5	10	10	10	10	10	10	5	10	13	12	5	10	10					
12	Число выданных открепительных удостоверений	185	8	1	13	7	2	3	2	2	0	8	2	5	2	12	9	5	8	8	10	4	1	5	1	0	1	0	7	1	5	0	10	2	3	0	2	0	0	10	3	4	3	3	0	0	3	5	0	1	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	443	6	3	6	6	3	9	14	29	11	6	8	11	15	9	20	26	18	7	8	9	7	7	0	2	5	4	7	11	9	4	10	3	9	5	4	9	7	6	8	8	33	8	8	4	8	11	4	1	9	8					
14	Число неиспользованных открепительных удостоверений	315	7	12	0	6	8	7	8	8	15	2	8	5	8	1	1	5	2	2	3	9	7	5	9	5	9	5	3	4	5	10	5	13	2	8	6	8	5	0	7	6	7	7	10	5	7	8	12	4	9	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	433	51	13	2	19	6	7	1	39	4	19	0	5	0	4	21	16	9	18	8	13	0	23	3	2	11	0	0	7	3	2	41	23	1	0	1	0	0	0	0	3	3	2	0	0	15	21	1	4	0	12					
		1.67%	3.43%	1.10%	0.24%	1.62%	1.08%	1.65%	0.20%	5.71%	0.97%	3.16%	0.00%	1.00%	0.00%	0.40%	2.77%	2.66%	1.80%	2.48%	1.24%	3.06%	0.00%	4.08%	1.24%	1.17%	3.01%	0.00%	0.00%	2.61%	0.72%	0.42%	3.05%	2.09%	0.49%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.77%	0.51%	0.24%	0.00%	0.00%	2.21%	2.93%	0.34%	3.51%	0.00%	2.86%					
19	. Малышкин Олег Александрович	253	28	6	0	22	5	2	0	10	3	4	0	5	0	5	5	2	5	2	14	5	0	12	2	2	0	0	0	2	0	3	29	25	1	1	10	2	0	5	0	6	2	11	0	1	6	7	0	0	1	2					
		0.97%	1.88%	0.51%	0.00%	1.87%	0.90%	0.47%	0.00%	1.46%	0.73%	0.67%	0.00%	1.00%	0.00%	0.50%	0.66%	0.33%	1.00%	0.28%	2.17%	1.18%	0.00%	2.13%	0.83%	1.17%	0.00%	0.00%	0.00%	0.75%	0.00%	0.63%	2.16%	2.27%	0.49%	0.39%	4.29%	0.69%	0.00%	1.13%	0.00%	1.54%	0.34%	1.33%	0.00%	0.83%	0.88%	0.98%	0.00%	0.00%	0.25%	0.48%					
20	. Миронов Сергей Михайлович	251	18	4	2	11	1	5	4	10	5	20	2	7	0	19	3	4	0	11	14	3	2	16	2	6	0	1	0	4	1	2	19	14	0	0	3	0	0	0	0	5	4	3	0	1	11	11	0	0	1	2					
		0.97%	1.21%	0.34%	0.24%	0.94%	0.18%	1.18%	0.80%	1.46%	1.21%	3.33%	0.65%	1.39%	0.00%	1.91%	0.40%	0.67%	0.00%	1.52%	2.17%	0.71%	1.04%	2.84%	0.83%	3.51%	0.00%	1.04%	0.00%	1.49%	0.24%	0.42%	1.41%	1.27%	0.00%	0.00%	1.29%	0.00%	0.00%	0.00%	0.00%	1.28%	0.68%	0.36%	0.00%	0.83%	1.62%	1.54%	0.00%	0.00%	0.25%	0.48%					
21	. Путин Владимир Владимирович	22339	1095	1108	701	873	474	339	452	537	389	466	304	439	177	855	642	545	453	630	510	324	171	375	195	132	339	81	418	229	406	464	1124	924	202	252	185	285	109	396	387	359	567	785	304	117	510	598	293	98	380	341					
		85.99%	73.54%	94.14%	83.95%	74.36%	84.95%	79.76%	90.04%	78.62%	94.19%	77.54%	99.02%	87.45%	89.39%	85.84%	84.58%	90.68%	90.42%	86.78%	79.19%	76.24%	88.60%	66.49%	80.58%	77.19%	92.62%	84.38%	96.54%	85.45%	97.83%	97.27%	83.57%	84.00%	98.54%	99.21%	79.40%	98.28%	95.61%	89.59%	94.39%	92.05%	97.09%	95.27%	99.02%	96.69%	75.00%	83.52%	99.32%	85.96%	95.96%	81.38%					
22	. Хакамада Ирина Муцуовна	432	37	4	26	20	16	11	6	12	3	10	1	6	0	41	17	7	6	17	23	14	3	30	7	3	7	2	1	1	0	2	18	26	0	1	2	0	0	9	4	2	2	8	0	0	7	15	0	0	2	3					
		1.66%	2.48%	0.34%	3.11%	1.70%	2.87%	2.59%	1.20%	1.76%	0.73%	1.66%	0.33%	1.20%	0.00%	4.12%	2.24%	1.16%	1.20%	2.34%	3.57%	3.29%	1.55%	5.32%	2.89%	1.75%	1.91%	2.08%	0.23%	0.37%	0.00%	0.42%	1.34%	2.36%	0.00%	0.39%	0.86%	0.00%	0.00%	2.04%	0.98%	0.51%	0.34%	0.97%	0.00%	0.00%	1.03%	2.09%	0.00%	0.00%	0.51%	0.72%					
23	. Харитонов Николай Михайлович	1675	197	24	99	159	38	39	39	62	4	63	0	37	18	41	47	21	25	35	50	49	13	68	22	24	9	5	9	20	5	4	60	69	1	0	27	2	5	10	12	7	4	10	3	1	101	60	1	12	9	55					
		6.45%	13.23%	2.04%	11.86%	13.54%	6.81%	9.18%	7.77%	9.08%	0.97%	10.48%	0.00%	7.37%	9.09%	4.12%	6.19%	3.49%	4.99%	4.82%	7.76%	11.53%	6.74%	12.06%	9.09%	14.04%	2.46%	5.21%	2.08%	7.46%	1.20%	0.84%	4.46%	6.27%	0.49%	0.00%	11.59%	0.69%	4.39%	2.26%	2.93%	1.79%	0.68%	1.21%	0.98%	0.83%	14.85%	8.38%	0.34%	10.53%	2.27%	13.13%					
																																																									
24	Против всех	397	33	18	5	43	11	19	0	13	4	15	0	3	3	31	17	6	3	4	10	14	4	18	4	2	0	0	1	5	0	0	29	10	0	0	4	0	0	20	7	8	0	3	0	1	23	4	0	0	0	2					
		1.53%	2.22%	1.53%	0.60%	3.66%	1.97%	4.47%	0.00%	1.90%	0.97%	2.50%	0.00%	0.60%	1.52%	3.11%	2.24%	1.00%	0.60%	0.55%	1.55%	3.29%	2.07%	3.19%	1.65%	1.17%	0.00%	0.00%	0.23%	1.87%	0.00%	0.00%	2.16%	0.91%	0.00%	0.00%	1.72%	0.00%	0.00%	4.52%	1.71%	2.05%	0.00%	0.36%	0.00%	0.83%	3.38%	0.56%	0.00%	0.00%	0.00%	0.48%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
