Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Агаповская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564					
21	. Путин Владимир Владимирович	17355	1178	1219	909	300	230	1068	302	235	158	110	122	172	383	453	134	537	299	127	130	252	110	84	877	196	747	380	192	307	1265	269	288	190	1113	184	479	147	145	99	117	147	120	88	390	109	678	316					
		82.22%	82.49%	83.09%	83.62%	84.99%	85.82%	81.28%	75.50%	81.03%	89.27%	79.71%	68.54%	86.87%	86.07%	84.20%	77.91%	86.61%	84.46%	80.89%	87.84%	83.44%	82.71%	91.30%	81.20%	87.11%	79.22%	85.20%	80.00%	88.47%	84.17%	86.50%	82.52%	85.97%	81.00%	81.78%	77.13%	82.12%	83.82%	86.09%	86.67%	74.24%	76.43%	89.80%	75.88%	67.70%	80.05%	81.44%					
22	. Хакамада Ирина Муцуовна	278	13	22	18	4	9	23	3	0	1	2	0	1	8	5	0	6	6	4	1	1	3	1	17	2	4	7	9	2	17	6	1	3	33	5	5	0	5	1	0	0	9	0	9	1	8	3					
		1.32%	0.91%	1.50%	1.66%	1.13%	3.36%	1.75%	0.75%	0.00%	0.56%	1.45%	0.00%	0.51%	1.80%	0.93%	0.00%	0.97%	1.69%	2.55%	0.68%	0.33%	2.26%	1.09%	1.57%	0.89%	0.42%	1.57%	3.75%	0.58%	1.13%	1.93%	0.29%	1.36%	2.40%	2.22%	0.81%	0.00%	2.89%	0.87%	0.00%	0.00%	5.73%	0.00%	1.75%	0.62%	0.94%	0.77%					
23	. Харитонов Николай Михайлович	1740	98	82	54	27	13	110	52	33	9	12	42	19	18	37	18	34	18	11	9	27	13	3	104	14	111	23	16	17	105	18	42	18	95	8	93	20	14	7	13	30	21	10	48	39	92	43					
		8.24%	6.86%	5.59%	4.97%	7.65%	4.85%	8.37%	13.00%	11.38%	5.08%	8.70%	23.60%	9.60%	4.04%	6.88%	10.47%	5.48%	5.08%	7.01%	6.08%	8.94%	9.77%	3.26%	9.63%	6.22%	11.77%	5.16%	6.67%	4.90%	6.99%	5.79%	12.03%	8.14%	6.91%	3.56%	14.98%	11.17%	8.09%	6.09%	9.63%	15.15%	13.38%	10.20%	9.34%	24.22%	10.86%	11.08%					
																																																					
24	Против всех	449	45	41	52	5	1	18	10	11	2	3	2	0	6	13	2	5	7	4	0	4	0	0	16	2	17	13	2	5	27	4	6	1	45	11	14	1	1	3	0	2	1	0	21	0	26	0					
		2.13%	3.15%	2.79%	4.78%	1.42%	0.37%	1.37%	2.50%	3.79%	1.13%	2.17%	1.12%	0.00%	1.35%	2.42%	1.16%	0.81%	1.98%	2.55%	0.00%	1.32%	0.00%	0.00%	1.48%	0.89%	1.80%	2.91%	0.83%	1.44%	1.80%	1.29%	1.72%	0.45%	3.28%	4.89%	2.25%	0.56%	0.58%	2.61%	0.00%	1.01%	0.64%	0.00%	4.09%	0.00%	3.07%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
