Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Уинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825					
		2.91%	3.59%	2.30%	0.85%	0.63%	0.99%	1.83%	1.10%	0.85%	3.23%	6.31%	1.18%	3.13%	1.43%	4.48%	2.91%	4.01%	2.33%	5.60%	3.23%	3.50%	10.84%	6.82%	2.80%	3.70%	1.24%					
20	. Миронов Сергей Михайлович	59	3	6	2	0	1	2	2	2	7	0	1	3	1	2	1	13	0	1	0	3	0	0	0	7	2					
		0.71%	0.29%	1.53%	0.56%	0.00%	0.25%	0.91%	0.73%	0.85%	0.87%	0.00%	0.20%	0.85%	1.43%	2.99%	0.49%	1.86%	0.00%	0.43%	0.00%	1.05%	0.00%	0.00%	0.00%	0.76%	0.83%					
21	. Путин Владимир Владимирович	5941	728	298	289	132	203	148	163	183	602	90	321	207	57	59	171	533	106	171	74	215	60	70	197	660	204					
		71.79%	70.61%	76.02%	81.64%	83.54%	50.00%	67.58%	59.71%	77.87%	74.69%	81.08%	63.31%	58.97%	81.43%	88.06%	83.01%	76.25%	82.17%	73.71%	79.57%	75.17%	72.29%	79.55%	61.37%	71.90%	84.65%					
22	. Хакамада Ирина Муцуовна	229	33	8	11	2	6	6	8	4	14	2	18	14	3	0	7	21	1	5	2	11	0	0	7	41	5					
		2.77%	3.20%	2.04%	3.11%	1.27%	1.48%	2.74%	2.93%	1.70%	1.74%	1.80%	3.55%	3.99%	4.29%	0.00%	3.40%	3.00%	0.78%	2.16%	2.15%	3.85%	0.00%	0.00%	2.18%	4.47%	2.07%					
23	. Харитонов Николай Михайлович	1352	136	42	31	16	180	47	84	34	117	8	136	104	7	3	18	68	15	32	10	39	11	7	92	99	16					
		16.34%	13.19%	10.71%	8.76%	10.13%	44.33%	21.46%	30.77%	14.47%	14.52%	7.21%	26.82%	29.63%	10.00%	4.48%	8.74%	9.73%	11.63%	13.79%	10.75%	13.64%	13.25%	7.95%	28.66%	10.78%	6.64%					
																																
24	Против всех	154	37	7	8	1	6	2	3	1	6	3	8	3	1	0	1	9	2	4	3	2	2	1	3	36	5					
		1.86%	3.59%	1.79%	2.26%	0.63%	1.48%	0.91%	1.10%	0.43%	0.74%	2.70%	1.58%	0.85%	1.43%	0.00%	0.49%	1.29%	1.55%	1.72%	3.23%	0.70%	2.41%	1.14%	0.93%	3.92%	2.07%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
