Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Выселковская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839					
11	Число полученных открепительных  удостоверений	697	24	10	10	10	6	22	44	28	8	18	15	5	30	24	32	18	25	36	34	8	6	30	25	4	6	12	16	15	22	15	3	13	4	9	31	20	20	25	14					
12	Число выданных открепительных удостоверений	94	4	1	0	0	0	6	8	4	0	4	4	4	0	0	3	1	2	4	10	0	0	3	6	0	0	1	0	2	2	3	0	1	0	1	11	2	2	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	4	3	3	2	0	2	8	2	0	8	1	1	3	10	6	2	9	4	2	0	1	3	3	2	0	0	0	2	0	0	0	1	0	2	0	2	3	2	3					
14	Число неиспользованных открепительных удостоверений	603	20	9	10	10	6	16	36	24	8	14	11	1	30	24	29	17	23	32	24	8	6	27	19	4	6	11	16	13	20	12	3	12	4	8	20	18	18	21	13					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	834	21	9	11	6	9	8	57	40	12	22	29	15	40	22	49	19	27	34	37	1	5	43	32	5	6	22	15	17	14	21	0	32	3	4	39	24	34	35	15					
		2.74%	1.62%	1.90%	2.60%	1.27%	2.78%	0.74%	3.31%	3.55%	4.26%	2.37%	4.04%	5.60%	3.69%	2.48%	3.50%	2.74%	2.60%	2.48%	3.03%	0.20%	1.90%	3.92%	3.08%	1.79%	2.26%	3.46%	2.09%	2.56%	1.36%	2.45%	0.00%	5.43%	1.61%	0.91%	2.87%	2.73%	3.81%	3.38%	2.12%					
19	. Малышкин Олег Александрович	562	26	12	16	9	8	13	42	28	7	20	15	25	10	16	25	8	16	27	9	6	4	10	26	13	3	13	20	14	16	9	3	5	4	6	26	14	21	14	3					
		1.85%	2.00%	2.53%	3.78%	1.90%	2.47%	1.21%	2.44%	2.48%	2.48%	2.16%	2.09%	9.33%	0.92%	1.80%	1.78%	1.15%	1.54%	1.97%	0.74%	1.20%	1.52%	0.91%	2.50%	4.64%	1.13%	2.05%	2.79%	2.11%	1.56%	1.05%	1.55%	0.85%	2.15%	1.36%	1.92%	1.59%	2.35%	1.35%	0.42%					
20	. Миронов Сергей Михайлович	161	9	2	3	0	5	0	12	7	1	6	4	3	7	2	6	3	8	6	2	3	2	2	8	2	0	6	1	0	8	1	0	4	2	0	6	8	5	13	4					
		0.53%	0.69%	0.42%	0.71%	0.00%	1.54%	0.00%	0.70%	0.62%	0.35%	0.65%	0.56%	1.12%	0.65%	0.23%	0.43%	0.43%	0.77%	0.44%	0.16%	0.60%	0.76%	0.18%	0.77%	0.71%	0.00%	0.94%	0.14%	0.00%	0.78%	0.12%	0.00%	0.68%	1.08%	0.00%	0.44%	0.91%	0.56%	1.25%	0.56%					
21	. Путин Владимир Владимирович	20736	1024	349	267	347	234	757	1110	712	176	705	466	165	758	611	945	453	669	935	849	401	196	772	682	206	165	410	534	368	681	533	127	411	137	354	926	508	547	657	589					
		68.13%	78.89%	73.63%	63.12%	73.36%	72.22%	70.35%	64.39%	63.12%	62.41%	75.97%	64.99%	61.57%	69.86%	68.81%	67.45%	65.37%	64.51%	68.30%	69.59%	80.20%	74.52%	70.31%	65.58%	73.57%	62.26%	64.57%	74.48%	55.51%	66.37%	62.27%	65.46%	69.78%	73.66%	80.45%	68.24%	57.79%	61.25%	63.36%	83.07%					
22	. Хакамада Ирина Муцуовна	469	16	6	4	1	2	25	32	24	4	18	12	3	23	14	14	15	31	16	13	14	6	14	15	0	5	11	23	9	6	9	3	17	1	1	11	13	17	14	7					
		1.54%	1.23%	1.27%	0.95%	0.21%	0.62%	2.32%	1.86%	2.13%	1.42%	1.94%	1.67%	1.12%	2.12%	1.58%	1.00%	2.16%	2.99%	1.17%	1.07%	2.80%	2.28%	1.28%	1.44%	0.00%	1.89%	1.73%	3.21%	1.36%	0.58%	1.05%	1.55%	2.89%	0.54%	0.23%	0.81%	1.48%	1.90%	1.35%	0.99%					
23	. Харитонов Николай Михайлович	6810	181	80	102	106	64	249	412	275	73	134	178	48	223	199	312	171	255	318	287	61	43	239	243	43	72	142	98	235	268	256	58	107	28	57	308	286	246	274	79					
		22.38%	13.94%	16.88%	24.11%	22.41%	19.75%	23.14%	23.90%	24.38%	25.89%	14.44%	24.83%	17.91%	20.55%	22.41%	22.27%	24.68%	24.59%	23.23%	23.52%	12.20%	16.35%	21.77%	23.37%	15.36%	27.17%	22.36%	13.67%	35.44%	26.12%	29.91%	29.90%	18.17%	15.05%	12.95%	22.70%	32.54%	27.55%	26.42%	11.14%					
																																														
24	Против всех	547	15	12	11	2	0	18	48	25	5	18	9	5	14	11	34	14	19	19	18	6	3	14	25	7	6	26	20	18	18	8	2	13	10	6	17	7	18	19	7					
		1.80%	1.16%	2.53%	2.60%	0.42%	0.00%	1.67%	2.78%	2.22%	1.77%	1.94%	1.26%	1.87%	1.29%	1.24%	2.43%	2.02%	1.83%	1.39%	1.48%	1.20%	1.14%	1.28%	2.40%	2.50%	2.26%	4.09%	2.79%	2.71%	1.75%	0.93%	1.03%	2.21%	5.38%	1.36%	1.25%	0.80%	2.02%	1.83%	0.99%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
