Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N2"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876					
		66.82%	68.02%	66.40%	67.27%	63.93%	64.92%	65.06%	64.58%	66.89%	64.29%	66.49%	68.55%	68.07%	68.26%	66.39%	70.25%	69.12%	71.60%	68.50%	69.26%	67.40%	66.36%	65.47%	66.04%	67.88%	66.30%	66.23%	65.40%	68.77%	65.19%	68.41%	65.99%	68.03%	64.40%	64.32%	65.73%					
22	. Хакамада Ирина Муцуовна	1928	50	57	73	71	69	64	68	52	50	44	51	52	50	72	72	66	69	52	41	70	52	45	59	57	51	62	55	43	45	49	47	39	57	43	31					
		3.80%	3.97%	4.19%	4.26%	4.55%	4.07%	3.95%	3.87%	3.50%	3.80%	3.00%	4.64%	4.28%	3.62%	4.63%	4.50%	4.08%	4.84%	3.58%	2.72%	4.42%	3.42%	2.75%	3.56%	3.92%	3.54%	4.27%	4.55%	3.27%	3.50%	3.78%	3.28%	2.74%	3.37%	3.84%	2.82%					
23	. Харитонов Николай Михайлович	5918	149	158	189	186	214	178	229	173	194	181	112	122	166	181	151	155	143	146	168	174	179	201	226	185	143	161	114	143	142	145	197	180	238	160	135					
		11.67%	11.83%	11.62%	11.03%	11.92%	12.62%	10.99%	13.04%	11.64%	14.74%	12.33%	10.18%	10.04%	12.00%	11.63%	9.44%	9.59%	10.03%	10.06%	11.16%	10.99%	11.78%	12.26%	13.66%	12.72%	9.94%	11.10%	9.44%	10.87%	11.06%	11.17%	13.76%	12.65%	14.07%	14.27%	12.27%					
																																										
24	Против всех	2113	50	50	69	79	73	74	98	60	54	58	55	48	52	53	68	52	38	59	54	66	63	71	70	75	61	78	55	64	50	50	44	53	76	38	55					
		4.17%	3.97%	3.68%	4.03%	5.06%	4.30%	4.57%	5.58%	4.04%	4.10%	3.95%	5.00%	3.95%	3.76%	3.41%	4.25%	3.22%	2.66%	4.07%	3.59%	4.17%	4.15%	4.33%	4.23%	5.16%	4.24%	5.38%	4.55%	4.86%	3.89%	3.85%	3.07%	3.72%	4.49%	3.39%	5.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
