Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Уйский район																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436					
11	Число полученных открепительных  удостоверений	235	30	3	5	6	5	5	3	3	4	10	3	3	5	3	1	15	8	3	3	15	10	4	3	3	3	4	3	3	3	3	25	15	5	3	3	3	3	3	3					
12	Число выданных открепительных удостоверений	136	22	3	5	5	5	4	0	0	0	6	2	0	2	0	0	13	1	0	0	14	10	0	1	0	0	0	0	0	0	0	25	13	0	0	1	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	2	0	2	0	1	2	0	0	2	3	0	0	0	0	1	1	0	2	2	12	3	0	0	0	0	0	0	1	0	1	7	1	0	1	1	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	99	8	0	0	1	0	1	3	3	4	4	1	3	3	3	1	2	7	3	3	1	0	4	2	3	3	4	3	3	3	3	0	2	5	3	2	2	0	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	2	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	392	7	1	12	1	8	16	5	3	11	23	1	6	6	5	0	10	5	2	2	8	33	11	3	9	0	3	3	3	7	0	88	68	0	1	6	1	13	11	0					
		2.64%	1.35%	0.59%	3.01%	0.89%	1.59%	2.49%	2.78%	1.86%	2.24%	2.56%	0.49%	3.41%	2.74%	2.78%	0.00%	1.88%	1.24%	1.71%	1.53%	1.44%	3.27%	5.37%	1.07%	2.85%	0.00%	1.75%	1.27%	1.29%	4.73%	0.00%	4.37%	4.21%	0.00%	0.53%	2.05%	0.88%	4.59%	4.04%	0.00%					
19	. Малышкин Олег Александрович	373	0	1	4	1	15	36	2	2	7	29	7	9	3	7	0	21	10	4	2	22	21	14	11	3	5	4	10	5	7	1	30	31	5	4	5	4	8	9	14					
		2.51%	0.00%	0.59%	1.00%	0.89%	2.99%	5.61%	1.11%	1.24%	1.43%	3.23%	3.40%	5.11%	1.37%	3.89%	0.00%	3.95%	2.48%	3.42%	1.53%	3.97%	2.08%	6.83%	3.93%	0.95%	2.36%	2.34%	4.24%	2.15%	4.73%	0.45%	1.49%	1.92%	2.87%	2.12%	1.71%	3.51%	2.83%	3.31%	6.86%					
20	. Миронов Сергей Михайлович	101	4	0	1	1	2	5	2	2	2	8	2	4	2	3	0	4	5	2	0	1	8	1	0	3	7	0	0	4	1	0	8	10	2	1	0	1	2	2	1					
		0.68%	0.77%	0.00%	0.25%	0.89%	0.40%	0.78%	1.11%	1.24%	0.41%	0.89%	0.97%	2.27%	0.91%	1.67%	0.00%	0.75%	1.24%	1.71%	0.00%	0.18%	0.79%	0.49%	0.00%	0.95%	3.30%	0.00%	0.00%	1.72%	0.68%	0.00%	0.40%	0.62%	1.15%	0.53%	0.00%	0.88%	0.71%	0.74%	0.49%					
21	. Путин Владимир Владимирович	9455	269	101	250	55	327	351	101	100	334	474	113	125	147	101	38	317	294	91	90	325	570	153	230	229	113	126	198	167	74	183	1332	1060	127	152	207	89	162	163	117					
		63.74%	52.03%	59.76%	62.66%	49.11%	65.14%	54.67%	56.11%	62.11%	68.02%	52.73%	54.85%	71.02%	67.12%	56.11%	74.51%	59.59%	72.77%	77.78%	68.70%	58.66%	56.44%	74.63%	82.14%	72.47%	53.30%	73.68%	83.90%	71.67%	50.00%	83.18%	66.10%	65.55%	72.99%	80.42%	70.89%	78.07%	57.24%	59.93%	57.35%					
22	. Хакамада Ирина Муцуовна	240	8	2	3	2	6	13	0	1	13	17	4	1	2	4	0	3	2	0	1	7	21	4	6	4	3	3	2	4	8	2	42	30	2	3	6	0	4	4	3					
		1.62%	1.55%	1.18%	0.75%	1.79%	1.20%	2.02%	0.00%	0.62%	2.65%	1.89%	1.94%	0.57%	0.91%	2.22%	0.00%	0.56%	0.50%	0.00%	0.76%	1.26%	2.08%	1.95%	2.14%	1.27%	1.42%	1.75%	0.85%	1.72%	5.41%	0.91%	2.08%	1.86%	1.15%	1.59%	2.05%	0.00%	1.41%	1.47%	1.47%					
23	. Харитонов Николай Михайлович	3778	217	63	110	47	133	207	64	50	105	315	75	24	54	58	12	159	76	13	31	179	337	17	23	58	75	30	22	46	44	31	397	352	36	22	59	12	86	73	66					
		25.47%	41.97%	37.28%	27.57%	41.96%	26.49%	32.24%	35.56%	31.06%	21.38%	35.04%	36.41%	13.64%	24.66%	32.22%	23.53%	29.89%	18.81%	11.11%	23.66%	32.31%	33.37%	8.29%	8.21%	18.35%	35.38%	17.54%	9.32%	19.74%	29.73%	14.09%	19.70%	21.77%	20.69%	11.64%	20.21%	10.53%	30.39%	26.84%	32.35%					
																																														
24	Против всех	351	9	1	13	1	5	10	6	2	11	24	3	5	3	1	1	13	7	3	2	6	11	1	3	4	9	2	0	2	5	1	108	49	1	4	5	4	7	7	2					
		2.37%	1.74%	0.59%	3.26%	0.89%	1.00%	1.56%	3.33%	1.24%	2.24%	2.67%	1.46%	2.84%	1.37%	0.56%	1.96%	2.44%	1.73%	2.56%	1.53%	1.08%	1.09%	0.49%	1.07%	1.27%	4.25%	1.17%	0.00%	0.86%	3.38%	0.45%	5.36%	3.03%	0.57%	2.12%	1.71%	3.51%	2.47%	2.57%	0.98%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
