Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Завьяловская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	901	20	4	0	1	0	2	4	52	10	7	4	4	5	41	65	32	34	19	43	2	22	14	6	0	3	3	20	1	6	8	3	66	55	11	80	17	11	3	2	3	23	5	14	42	5	22	2	1	16	5	6	6	14	6	7	5	2	36	1					
		3.01%	2.45%	2.21%	0.00%	1.32%	0.00%	1.04%	1.42%	2.96%	3.66%	1.12%	4.17%	5.41%	1.39%	4.57%	4.60%	3.87%	3.99%	4.03%	3.06%	0.75%	2.88%	1.90%	3.45%	0.00%	2.21%	2.42%	3.45%	0.62%	1.24%	1.75%	2.19%	3.35%	4.00%	3.16%	5.18%	3.04%	1.29%	1.58%	2.04%	2.80%	4.36%	2.21%	2.04%	3.40%	1.10%	4.81%	4.76%	1.59%	2.67%	0.75%	1.39%	2.94%	2.61%	2.47%	2.80%	2.19%	2.11%	3.79%	0.95%					
19	. Малышкин Олег Александрович	776	21	5	0	0	1	4	8	56	8	14	6	2	7	23	48	33	32	12	38	10	16	11	2	0	4	2	21	3	12	20	3	59	39	10	37	11	15	3	1	1	13	2	16	32	14	12	1	2	6	13	7	2	11	8	6	8	3	17	5					
		2.59%	2.57%	2.76%	0.00%	0.00%	1.25%	2.07%	2.84%	3.19%	2.93%	2.24%	6.25%	2.70%	1.95%	2.56%	3.39%	4.00%	3.76%	2.54%	2.70%	3.76%	2.09%	1.49%	1.15%	0.00%	2.94%	1.61%	3.62%	1.86%	2.48%	4.37%	2.19%	3.00%	2.83%	2.87%	2.40%	1.96%	1.76%	1.58%	1.02%	0.93%	2.47%	0.88%	2.34%	2.59%	3.08%	2.63%	2.38%	3.17%	1.00%	1.94%	1.62%	0.98%	2.05%	3.29%	2.40%	3.51%	3.16%	1.79%	4.76%					
20	. Миронов Сергей Михайлович	204	4	0	0	1	1	0	0	24	2	5	0	0	2	5	21	5	10	4	2	1	3	1	0	0	1	1	2	0	7	5	2	9	12	2	18	1	5	0	2	1	2	3	3	7	1	1	0	1	4	1	0	3	3	1	2	5	1	7	0					
		0.68%	0.49%	0.00%	0.00%	1.32%	1.25%	0.00%	0.00%	1.37%	0.73%	0.80%	0.00%	0.00%	0.56%	0.56%	1.49%	0.61%	1.17%	0.85%	0.14%	0.38%	0.39%	0.14%	0.00%	0.00%	0.74%	0.81%	0.34%	0.00%	1.45%	1.09%	1.46%	0.46%	0.87%	0.57%	1.17%	0.18%	0.59%	0.00%	2.04%	0.93%	0.38%	1.33%	0.44%	0.57%	0.22%	0.22%	0.00%	1.59%	0.67%	0.15%	0.00%	1.47%	0.56%	0.41%	0.80%	2.19%	1.05%	0.74%	0.00%					
21	. Путин Владимир Владимирович	24082	659	150	67	63	72	154	234	1375	219	524	74	64	309	703	1058	642	670	352	1182	225	634	618	140	35	112	109	460	140	417	363	108	1488	1055	289	1171	437	730	169	88	90	410	197	585	1016	390	378	33	48	519	584	375	158	445	202	210	183	79	735	86					
		80.33%	80.66%	82.87%	93.06%	82.89%	90.00%	79.79%	82.98%	78.35%	80.22%	83.71%	77.08%	86.49%	86.07%	78.37%	74.82%	77.72%	78.64%	74.58%	84.07%	84.59%	82.98%	83.97%	80.46%	22.15%	82.35%	87.90%	79.31%	86.96%	86.16%	79.26%	78.83%	75.57%	76.67%	83.05%	75.84%	78.04%	85.68%	88.95%	89.80%	84.11%	77.80%	87.17%	85.40%	82.13%	85.90%	82.71%	78.57%	76.19%	86.50%	87.03%	86.81%	77.45%	83.02%	83.13%	84.00%	80.26%	83.16%	77.45%	81.90%					
22	. Хакамада Ирина Муцуовна	770	17	0	1	3	0	4	0	66	6	9	4	0	6	32	62	13	19	15	39	1	20	12	6	1	2	3	10	5	6	5	4	91	61	5	67	12	17	2	0	1	4	0	11	40	11	12	0	1	7	3	6	0	8	7	5	3	1	23	1					
		2.57%	2.08%	0.00%	1.39%	3.95%	0.00%	2.07%	0.00%	3.76%	2.20%	1.44%	4.17%	0.00%	1.67%	3.57%	4.38%	1.57%	2.23%	3.18%	2.77%	0.38%	2.62%	1.63%	3.45%	0.63%	1.47%	2.42%	1.72%	3.11%	1.24%	1.09%	2.92%	4.62%	4.43%	1.44%	4.34%	2.14%	2.00%	1.05%	0.00%	0.93%	0.76%	0.00%	1.61%	3.23%	2.42%	2.63%	0.00%	1.59%	1.17%	0.45%	1.39%	0.00%	1.49%	2.88%	2.00%	1.32%	1.05%	2.42%	0.95%					
23	. Харитонов Николай Михайлович	2159	84	14	3	6	5	19	25	110	17	50	4	3	19	63	114	61	68	44	68	21	52	51	14	3	5	6	50	3	13	42	14	191	107	17	125	63	53	10	4	7	50	14	32	63	19	19	4	9	28	48	22	27	38	6	14	14	8	106	10					
		7.20%	10.28%	7.73%	4.17%	7.89%	6.25%	9.84%	8.87%	6.27%	6.23%	7.99%	4.17%	4.05%	5.29%	7.02%	8.06%	7.38%	7.98%	9.32%	4.84%	7.89%	6.81%	6.93%	8.05%	1.90%	3.68%	4.84%	8.62%	1.86%	2.69%	9.17%	10.22%	9.70%	7.78%	4.89%	8.10%	11.25%	6.22%	5.26%	4.08%	6.54%	9.49%	6.19%	4.67%	5.09%	4.19%	4.16%	9.52%	14.29%	4.67%	7.15%	5.09%	13.24%	7.09%	2.47%	5.60%	6.14%	8.42%	11.17%	9.52%					
																																																																		
24	Против всех	537	6	5	1	2	0	8	4	53	5	10	1	0	3	18	35	18	17	9	12	2	12	20	1	0	3	0	10	2	8	10	2	42	24	7	36	12	10	2	1	2	14	2	13	20	4	3	1	1	8	7	8	3	9	7	3	8	1	11	1					
		1.79%	0.73%	2.76%	1.39%	2.63%	0.00%	4.15%	1.42%	3.02%	1.83%	1.60%	1.04%	0.00%	0.84%	2.01%	2.48%	2.18%	2.00%	1.91%	0.85%	0.75%	1.57%	2.72%	0.57%	0.00%	2.21%	0.00%	1.72%	1.24%	1.65%	2.18%	1.46%	2.13%	1.74%	2.01%	2.33%	2.14%	1.17%	1.05%	1.02%	1.87%	2.66%	0.88%	1.90%	1.62%	0.88%	0.66%	2.38%	1.59%	1.33%	1.04%	1.85%	1.47%	1.68%	2.88%	1.20%	3.51%	1.05%	1.16%	0.95%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
