Выборы Президента Российской Федерации																																																										
																																																										
"Наименование Избирательной комиссии:    Ростов-на-Дону, Советская"																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1760	УИК №2475	УИК №2476	УИК №2477	УИК №2492	УИК №2544	УИК №2545	УИК №2546					
11	Число полученных открепительных  удостоверений	2992	35	45	45	55	55	60	50	45	52	55	75	65	75	65	75	65	55	55	45	40	65	60	70	80	60	50	115	105	72	43	25	50	55	60	80	55	40	70	150	80	75	40	25	50	50	60	55	0	25	60	55					
12	Число выданных открепительных удостоверений	2713	35	34	36	52	46	54	41	40	48	45	58	65	70	55	70	60	50	51	45	38	63	54	61	80	50	50	98	78	64	39	23	50	55	51	76	52	40	62	150	80	75	20	14	48	50	59	42	0	25	56	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2811	11	18	13	27	35	16	16	0	17	16	26	72	26	29	53	26	34	14	15	27	24	17	0	43	14	18	42	32	29	25	10	17	16	17	9	17	11	29	116	9	33	12	14	457	37	53	15	1142	6	48	8					
14	Число неиспользованных открепительных удостоверений	279	0	11	9	3	9	6	9	5	4	10	17	0	5	10	5	5	5	4	0	2	2	6	9	0	10	0	17	27	8	4	2	0	0	9	4	3	0	8	0	0	0	20	11	2	0	1	13	0	0	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	4395	21	88	106	14	123	125	86	97	106	129	109	15	145	96	136	131	127	95	59	89	78	73	94	57	87	67	146	95	90	81	90	127	121	93	98	97	67	79	84	113	77	44	36	81	105	66	58	6	47	53	88					
		5.12%	0.91%	4.83%	7.98%	0.57%	5.83%	6.40%	5.62%	5.23%	6.51%	7.83%	6.29%	0.66%	7.05%	5.67%	5.41%	5.96%	6.50%	5.09%	3.48%	5.66%	3.92%	3.61%	5.46%	5.09%	4.44%	3.60%	6.76%	5.34%	5.54%	5.64%	7.13%	9.42%	6.08%	5.70%	6.08%	5.61%	5.37%	4.78%	6.23%	5.74%	5.01%	3.91%	4.50%	5.11%	5.83%	3.95%	6.05%	0.53%	3.92%	4.40%	7.03%					
19	. Малышкин Олег Александрович	1253	17	17	8	30	27	43	23	16	20	27	35	18	38	35	33	29	23	20	18	18	25	31	32	21	24	29	31	24	16	25	25	32	32	20	39	27	25	22	31	37	17	18	14	37	24	24	21	4	16	11	24					
		1.46%	0.74%	0.93%	0.60%	1.22%	1.28%	2.20%	1.50%	0.86%	1.23%	1.64%	2.02%	0.80%	1.85%	2.07%	1.31%	1.32%	1.18%	1.07%	1.06%	1.15%	1.26%	1.53%	1.86%	1.88%	1.23%	1.56%	1.44%	1.35%	0.98%	1.74%	1.98%	2.37%	1.61%	1.23%	2.42%	1.56%	2.00%	1.33%	2.30%	1.88%	1.11%	1.60%	1.75%	2.33%	1.33%	1.44%	2.19%	0.35%	1.34%	0.91%	1.92%					
20	. Миронов Сергей Михайлович	618	7	18	12	5	12	14	16	11	14	20	13	11	11	17	20	23	19	4	11	7	26	13	9	16	10	9	21	5	7	17	11	13	12	18	13	20	9	8	7	20	16	4	3	11	14	12	13	1	0	6	9					
		0.72%	0.30%	0.99%	0.90%	0.20%	0.57%	0.72%	1.05%	0.59%	0.86%	1.21%	0.75%	0.49%	0.53%	1.00%	0.80%	1.05%	0.97%	0.21%	0.65%	0.45%	1.31%	0.64%	0.52%	1.43%	0.51%	0.48%	0.97%	0.28%	0.43%	1.18%	0.87%	0.96%	0.60%	1.10%	0.81%	1.16%	0.72%	0.48%	0.52%	1.02%	1.04%	0.36%	0.38%	0.69%	0.78%	0.72%	1.36%	0.09%	0.00%	0.50%	0.72%					
21	. Путин Владимир Владимирович	61050	1991	1317	770	2227	1490	1300	1013	1345	1063	989	1150	1995	1301	1098	1839	1536	1291	1372	1274	1090	1473	1516	1256	730	1416	1407	1437	1237	1065	955	833	844	1412	1118	1055	1182	873	1202	905	1296	1120	865	627	1076	1272	1200	597	1070	949	844	767					
		71.06%	86.23%	72.32%	57.98%	90.20%	70.58%	66.53%	66.25%	72.58%	65.29%	60.05%	66.36%	88.35%	63.25%	64.89%	73.12%	69.88%	66.10%	73.49%	75.12%	69.34%	73.98%	75.01%	72.94%	65.24%	72.32%	75.65%	66.53%	69.53%	65.54%	66.50%	66.01%	62.61%	70.95%	68.55%	65.45%	68.32%	70.01%	72.76%	67.14%	65.79%	72.87%	76.89%	78.38%	67.89%	70.67%	71.77%	62.32%	94.69%	79.22%	70.10%	61.31%					
22	. Хакамада Ирина Муцуовна	4849	20	82	131	9	135	113	89	103	123	135	103	23	110	99	115	118	135	86	100	90	108	117	91	98	99	88	186	110	189	84	55	58	119	98	140	105	87	102	105	158	62	27	24	106	102	112	73	4	28	92	103					
		5.64%	0.87%	4.50%	9.86%	0.36%	6.40%	5.78%	5.82%	5.56%	7.56%	8.20%	5.94%	1.02%	5.35%	5.85%	4.57%	5.37%	6.91%	4.61%	5.90%	5.73%	5.42%	5.79%	5.28%	8.76%	5.06%	4.73%	8.61%	6.18%	11.63%	5.85%	4.36%	4.30%	5.98%	6.01%	8.68%	6.07%	6.98%	6.17%	7.79%	8.02%	4.03%	2.40%	3.00%	6.69%	5.67%	6.70%	7.62%	0.35%	2.34%	7.64%	8.23%					
23	. Харитонов Николай Михайлович	9715	238	214	236	176	222	279	212	232	219	246	229	181	336	225	257	273	242	211	176	204	192	162	189	98	246	206	227	217	162	207	202	226	213	202	163	197	114	158	129	189	152	111	65	167	186	158	111	29	119	130	180					
		11.31%	10.31%	11.75%	17.77%	7.13%	10.52%	14.28%	13.87%	12.52%	13.45%	14.94%	13.21%	8.02%	16.33%	13.30%	10.22%	12.42%	12.39%	11.30%	10.38%	12.98%	9.64%	8.02%	10.98%	8.76%	12.56%	11.08%	10.51%	12.20%	9.97%	14.42%	16.01%	16.77%	10.70%	12.39%	10.11%	11.39%	9.14%	9.56%	9.57%	9.59%	9.89%	9.87%	8.12%	10.54%	10.33%	9.45%	11.59%	2.57%	9.93%	10.80%	14.39%					
																																																										
24	Против всех	3537	9	75	60	6	97	74	78	38	71	93	81	9	100	78	108	76	92	72	56	70	81	109	23	96	61	48	103	73	84	60	40	37	74	74	100	80	68	73	84	145	82	54	28	98	84	94	60	15	35	55	76					
		4.12%	0.39%	4.12%	4.52%	0.24%	4.59%	3.79%	5.10%	2.05%	4.36%	5.65%	4.67%	0.40%	4.86%	4.61%	4.29%	3.46%	4.71%	3.86%	3.30%	4.45%	4.07%	5.39%	1.34%	8.58%	3.12%	2.58%	4.77%	4.10%	5.17%	4.18%	3.17%	2.74%	3.72%	4.54%	6.20%	4.62%	5.45%	4.42%	6.23%	7.36%	5.34%	4.80%	3.50%	6.18%	4.67%	5.62%	6.26%	1.33%	2.92%	4.57%	6.08%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
