Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Ашинская городская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870					
11	Число полученных открепительных  удостоверений	403	7	5	5	10	10	5	8	10	5	14	5	8	5	5	3	5	6	5	5	5	3	3	5	6	16	17	24	29	28	20	5	10	5	5	10	10	7	7	5	7	5	5	3	5	5	7	5	1	1	1	2	4	4	1	1					
12	Число выданных открепительных удостоверений	273	2	4	4	8	6	3	8	1	1	10	2	3	3	2	1	1	4	5	5	4	0	0	4	5	16	15	24	29	28	20	0	5	4	4	9	6	2	3	2	3	5	2	1	0	1	1	3	0	0	0	0	2	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	9	4	9	6	2	5	6	3	1	0	1	4	0	2	1	1	4	1	3	4	5	2	6	6	4	4	8	8	9	9	0	0	0	1	2	0	1	0	2	0	2	4	1	0	1	3	2	0	1	0	0	2	3	0	0					
14	Число неиспользованных открепительных удостоверений	130	5	1	1	2	4	2	0	9	4	4	3	5	2	3	2	4	2	0	0	1	3	3	1	1	0	2	0	0	0	0	5	5	1	1	1	4	5	4	3	4	0	3	2	5	4	6	2	1	1	1	2	2	2	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	68	1	2	1	1	1	1	1	4	1	1	1	2	1	1	0	2	1	0	3	3	1	0	1	1	2	0	2	4	1	2	0	1	1	1	2	1	1	1	0	1	4	1	0	0	3	2	3	0	0	0	0	0	4	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	1110	24	24	40	36	20	40	25	41	18	34	14	7	15	22	11	12	17	16	28	48	7	7	9	11	21	30	32	25	26	29	23	31	15	20	58	45	32	30	26	17	10	24	7	7	8	25	9	2	0	2	8	7	11	2	2					
		3.20%	2.76%	3.57%	3.82%	3.89%	3.15%	3.61%	3.20%	4.09%	2.77%	2.45%	3.65%	1.21%	3.36%	3.16%	3.03%	1.77%	2.39%	2.18%	3.41%	3.79%	2.43%	2.02%	1.90%	3.44%	2.54%	4.31%	3.54%	2.85%	3.14%	3.20%	5.90%	4.34%	3.23%	3.32%	5.25%	4.53%	5.08%	5.07%	4.26%	2.61%	1.86%	3.58%	1.16%	2.21%	1.50%	2.35%	2.34%	1.42%	0.00%	2.30%	4.57%	4.93%	1.75%	1.37%	1.43%					
19	. Малышкин Олег Александрович	836	13	15	24	16	16	19	15	12	9	26	12	18	10	24	14	11	32	20	16	28	5	14	14	12	28	20	15	26	20	6	16	16	10	14	21	25	30	9	22	25	8	15	15	6	11	18	12	6	4	0	3	10	24	4	2					
		2.41%	1.49%	2.23%	2.29%	1.73%	2.52%	1.71%	1.92%	1.20%	1.39%	1.87%	3.12%	3.12%	2.24%	3.45%	3.86%	1.62%	4.51%	2.72%	1.95%	2.21%	1.74%	4.03%	2.95%	3.75%	3.39%	2.87%	1.66%	2.96%	2.41%	0.66%	4.10%	2.24%	2.16%	2.33%	1.90%	2.52%	4.76%	1.52%	3.60%	3.84%	1.48%	2.24%	2.48%	1.89%	2.06%	1.69%	3.12%	4.26%	3.77%	0.00%	1.71%	7.04%	3.82%	2.74%	1.43%					
20	. Миронов Сергей Михайлович	274	7	2	5	4	6	4	2	3	7	11	2	1	4	3	0	7	9	3	11	14	0	3	3	4	6	5	10	6	12	5	5	3	3	9	15	7	16	5	0	1	3	5	12	1	6	5	6	1	1	0	5	1	4	1	0					
		0.79%	0.80%	0.30%	0.48%	0.43%	0.95%	0.36%	0.26%	0.30%	1.08%	0.79%	0.52%	0.17%	0.90%	0.43%	0.00%	1.03%	1.27%	0.41%	1.34%	1.10%	0.00%	0.86%	0.63%	1.25%	0.73%	0.72%	1.10%	0.68%	1.45%	0.55%	1.28%	0.42%	0.65%	1.50%	1.36%	0.70%	2.54%	0.84%	0.00%	0.15%	0.56%	0.75%	1.98%	0.32%	1.13%	0.47%	1.56%	0.71%	0.94%	0.00%	2.86%	0.70%	0.64%	0.68%	0.00%					
21	. Путин Владимир Владимирович	23844	660	476	783	678	475	814	575	707	454	1023	277	427	351	544	283	517	505	521	546	857	229	243	376	192	478	390	514	530	497	538	253	486	284	380	706	644	325	381	425	434	364	452	424	240	396	760	298	84	93	62	112	98	467	120	96					
		68.80%	75.77%	70.83%	74.86%	73.22%	74.92%	73.47%	73.53%	70.56%	69.95%	73.70%	72.14%	74.00%	78.70%	78.16%	77.96%	76.25%	71.13%	70.98%	66.59%	67.59%	79.51%	70.03%	79.32%	60.00%	57.80%	56.03%	56.80%	60.36%	59.95%	59.45%	64.87%	68.07%	61.21%	63.12%	63.89%	64.79%	51.59%	64.36%	69.56%	66.67%	67.53%	67.46%	70.08%	75.71%	74.30%	71.36%	77.40%	59.57%	87.74%	71.26%	64.00%	69.01%	74.36%	82.19%	68.57%					
22	. Хакамада Ирина Муцуовна	990	35	24	29	31	15	34	24	35	30	45	11	20	9	18	10	15	23	26	19	29	2	5	9	7	17	21	16	29	26	27	6	23	15	15	37	23	19	24	15	24	26	11	19	8	13	44	5	2	2	1	1	0	13	0	3					
		2.86%	4.02%	3.57%	2.77%	3.35%	2.37%	3.07%	3.07%	3.49%	4.62%	3.24%	2.86%	3.47%	2.02%	2.59%	2.75%	2.21%	3.24%	3.54%	2.32%	2.29%	0.69%	1.44%	1.90%	2.19%	2.06%	3.02%	1.77%	3.30%	3.14%	2.98%	1.54%	3.22%	3.23%	2.49%	3.35%	2.31%	3.02%	4.05%	2.45%	3.69%	4.82%	1.64%	3.14%	2.52%	2.44%	4.13%	1.30%	1.42%	1.89%	1.15%	0.57%	0.00%	2.07%	0.00%	2.14%					
23	. Харитонов Николай Михайлович	6066	99	102	115	120	63	129	110	151	92	185	51	85	43	52	29	90	92	125	162	237	36	61	51	75	232	195	252	214	196	256	77	125	122	130	218	211	124	125	106	137	114	135	117	44	81	176	46	44	5	21	39	26	94	15	34					
		17.50%	11.37%	15.18%	10.99%	12.96%	9.94%	11.64%	14.07%	15.07%	14.18%	13.33%	13.28%	14.73%	9.64%	7.47%	7.99%	13.27%	12.96%	17.03%	19.76%	18.69%	12.50%	17.58%	10.76%	23.44%	28.05%	28.02%	27.85%	24.37%	23.64%	28.29%	19.74%	17.51%	26.29%	21.59%	19.73%	21.23%	19.68%	21.11%	17.35%	21.04%	21.15%	20.15%	19.34%	13.88%	15.20%	16.53%	11.95%	31.21%	4.72%	24.14%	22.29%	18.31%	14.97%	10.27%	24.29%					
																																																														
24	Против всех	1025	28	20	37	28	33	45	23	43	35	46	10	12	10	22	7	15	22	17	20	28	7	12	5	8	26	19	44	35	31	15	8	20	8	30	38	32	49	15	13	11	10	12	8	11	14	20	4	0	1	0	6	0	7	4	1					
		2.96%	3.21%	2.98%	3.54%	3.02%	5.21%	4.06%	2.94%	4.29%	5.39%	3.31%	2.60%	2.08%	2.24%	3.16%	1.93%	2.21%	3.10%	2.32%	2.44%	2.21%	2.43%	3.46%	1.05%	2.50%	3.14%	2.73%	4.86%	3.99%	3.74%	1.66%	2.05%	2.80%	1.72%	4.98%	3.44%	3.22%	7.78%	2.53%	2.13%	1.69%	1.86%	1.79%	1.32%	3.47%	2.63%	1.88%	1.04%	0.00%	0.94%	0.00%	3.43%	0.00%	1.11%	2.74%	0.71%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
