Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Ребрихинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309					
18	. Глазьев Сергей Юрьевич	362	54	41	13	13	42	31	19	10	11	8	6	6	4	20	7	7	11	4	6	5	0	24	8	12	0					
		2.41%	2.75%	2.32%	3.39%	3.11%	3.22%	3.21%	3.37%	2.10%	1.61%	1.32%	2.33%	1.17%	1.28%	2.53%	1.65%	1.52%	1.64%	2.86%	1.53%	2.82%	0.00%	3.97%	2.76%	1.70%	0.00%					
19	. Малышкин Олег Александрович	439	44	46	10	12	32	32	14	5	19	21	6	13	9	31	10	21	24	8	20	6	0	23	15	16	2					
		2.92%	2.24%	2.60%	2.60%	2.87%	2.46%	3.31%	2.48%	1.05%	2.79%	3.46%	2.33%	2.52%	2.88%	3.91%	2.36%	4.57%	3.58%	5.71%	5.12%	3.39%	0.00%	3.80%	5.17%	2.26%	2.11%					
20	. Миронов Сергей Михайлович	97	14	8	2	2	8	8	2	4	9	7	1	2	2	6	1	2	6	1	2	0	0	3	3	3	1					
		0.65%	0.71%	0.45%	0.52%	0.48%	0.61%	0.83%	0.35%	0.84%	1.32%	1.15%	0.39%	0.39%	0.64%	0.76%	0.24%	0.43%	0.90%	0.71%	0.51%	0.00%	0.00%	0.50%	1.03%	0.42%	1.05%					
21	. Путин Владимир Владимирович	9194	1330	1220	280	313	818	585	380	359	370	304	129	183	177	459	279	183	368	56	176	101	25	374	203	460	62					
		61.24%	67.62%	68.89%	72.92%	74.88%	62.78%	60.50%	67.38%	75.42%	54.25%	50.08%	50.19%	35.53%	56.55%	57.95%	65.96%	39.78%	54.93%	40.00%	45.01%	57.06%	64.10%	61.82%	70.00%	65.06%	65.26%					
22	. Хакамада Ирина Муцуовна	224	41	25	6	5	16	14	4	4	15	17	9	6	3	6	5	8	14	2	3	0	0	7	3	9	2					
		1.49%	2.08%	1.41%	1.56%	1.20%	1.23%	1.45%	0.71%	0.84%	2.20%	2.80%	3.50%	1.17%	0.96%	0.76%	1.18%	1.74%	2.09%	1.43%	0.77%	0.00%	0.00%	1.16%	1.03%	1.27%	2.11%					
23	. Харитонов Николай Михайлович	4356	433	385	65	63	363	278	127	89	242	237	92	295	108	253	114	228	239	59	172	58	13	161	53	202	27					
		29.01%	22.01%	21.74%	16.93%	15.07%	27.86%	28.75%	22.52%	18.70%	35.48%	39.04%	35.80%	57.28%	34.50%	31.94%	26.95%	49.57%	35.67%	42.14%	43.99%	32.77%	33.33%	26.61%	18.28%	28.57%	28.42%					
																																
24	Против всех	181	30	25	6	1	16	10	10	5	4	4	9	7	4	7	3	5	4	4	9	7	1	6	2	1	1					
		1.21%	1.53%	1.41%	1.56%	0.24%	1.23%	1.03%	1.77%	1.05%	0.59%	0.66%	3.50%	1.36%	1.28%	0.88%	0.71%	1.09%	0.60%	2.86%	2.30%	3.95%	2.56%	0.99%	0.69%	0.14%	1.05%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
