Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Урмарская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676					
11	Число полученных открепительных  удостоверений	595	40	65	15	10	45	15	5	25	10	20	5	5	5	5	15	10	5	5	10	15	15	15	15	20	10	10	20	10	10	10	10	10	15	5	5	15	15	10	10	15	10	5	5					
12	Число выданных открепительных удостоверений	438	30	56	15	10	44	15	5	20	10	20	0	2	3	0	15	1	0	0	7	15	14	15	8	12	10	6	7	6	8	0	7	7	15	4	2	5	12	0	4	15	10	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	135	12	16	2	0	5	7	3	7	1	6	1	3	2	3	1	1	2	1	0	2	3	1	5	4	2	1	6	4	1	1	1	0	4	0	3	3	3	1	3	10	1	2	1					
14	Число неиспользованных открепительных удостоверений	157	10	9	0	0	1	0	0	5	0	0	5	3	2	5	0	9	5	5	3	0	1	0	7	8	0	4	13	4	2	10	3	3	0	1	3	10	3	10	6	0	0	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	224	18	26	16	8	5	3	0	12	4	6	1	0	2	4	9	1	3	5	1	10	4	2	16	4	0	0	7	2	0	1	5	0	14	3	5	5	10	0	0	10	1	0	1					
		1.53%	1.56%	1.80%	2.18%	2.64%	1.30%	0.88%	0.00%	3.85%	2.14%	1.02%	1.09%	0.00%	1.04%	7.41%	1.26%	0.61%	1.90%	2.54%	0.55%	1.29%	2.04%	0.74%	2.00%	1.22%	0.00%	0.00%	1.19%	0.94%	0.00%	0.93%	3.01%	0.00%	3.37%	1.89%	2.59%	0.83%	2.60%	0.00%	0.00%	1.70%	0.41%	0.00%	0.87%					
19	. Малышкин Олег Александрович	296	31	32	15	3	11	6	3	12	7	8	1	0	1	2	13	1	4	1	4	7	3	6	15	3	8	1	8	7	2	0	3	5	11	7	6	8	9	2	11	10	6	0	3					
		2.02%	2.69%	2.21%	2.04%	0.99%	2.86%	1.76%	3.45%	3.85%	3.74%	1.36%	1.09%	0.00%	0.52%	3.70%	1.82%	0.61%	2.53%	0.51%	2.21%	0.90%	1.53%	2.21%	1.88%	0.91%	3.19%	0.90%	1.37%	3.30%	0.91%	0.00%	1.81%	3.70%	2.64%	4.40%	3.11%	1.32%	2.34%	1.54%	4.56%	1.70%	2.45%	0.00%	2.61%					
20	. Миронов Сергей Михайлович	99	5	11	3	1	3	1	1	6	1	1	2	1	2	0	3	1	1	0	0	4	3	1	7	4	2	0	5	2	3	1	2	0	4	2	3	1	1	1	3	3	2	0	2					
		0.67%	0.43%	0.76%	0.41%	0.33%	0.78%	0.29%	1.15%	1.92%	0.53%	0.17%	2.17%	0.94%	1.04%	0.00%	0.42%	0.61%	0.63%	0.00%	0.00%	0.51%	1.53%	0.37%	0.88%	1.22%	0.80%	0.00%	0.85%	0.94%	1.37%	0.93%	1.20%	0.00%	0.96%	1.26%	1.55%	0.17%	0.26%	0.77%	1.24%	0.51%	0.82%	0.00%	1.74%					
21	. Путин Владимир Владимирович	10043	709	969	502	201	257	272	57	203	131	415	66	74	137	38	492	75	100	140	125	555	147	170	528	165	168	92	434	141	138	60	127	80	317	117	117	476	299	94	155	421	177	36	66					
		68.38%	61.44%	67.01%	68.30%	66.34%	66.75%	80.00%	65.52%	65.06%	70.05%	70.58%	71.74%	69.81%	70.98%	70.37%	68.72%	45.45%	63.29%	71.07%	69.06%	71.43%	75.00%	62.50%	66.08%	50.30%	66.93%	82.88%	74.06%	66.51%	63.01%	56.07%	76.51%	59.26%	76.20%	73.58%	60.62%	78.55%	77.86%	72.31%	64.32%	71.60%	72.24%	70.59%	57.39%					
22	. Хакамада Ирина Муцуовна	168	25	20	7	4	5	0	3	3	4	1	2	2	1	2	7	2	0	0	1	5	1	4	11	5	3	0	6	3	3	1	1	2	7	1	0	7	2	0	2	9	3	1	2					
		1.14%	2.17%	1.38%	0.95%	1.32%	1.30%	0.00%	3.45%	0.96%	2.14%	0.17%	2.17%	1.89%	0.52%	3.70%	0.98%	1.21%	0.00%	0.00%	0.55%	0.64%	0.51%	1.47%	1.38%	1.52%	1.20%	0.00%	1.02%	1.42%	1.37%	0.93%	0.60%	1.48%	1.68%	0.63%	0.00%	1.16%	0.52%	0.00%	0.83%	1.53%	1.22%	1.96%	1.74%					
23	. Харитонов Николай Михайлович	3465	329	345	177	82	94	54	20	72	33	144	7	25	47	8	173	78	48	24	47	182	35	77	199	132	69	14	109	53	70	42	27	43	52	25	57	100	59	28	66	123	44	12	40					
		23.59%	28.51%	23.86%	24.08%	27.06%	24.42%	15.88%	22.99%	23.08%	17.65%	24.49%	7.61%	23.58%	24.35%	14.81%	24.16%	47.27%	30.38%	12.18%	25.97%	23.42%	17.86%	28.31%	24.91%	40.24%	27.49%	12.61%	18.60%	25.00%	31.96%	39.25%	16.27%	31.85%	12.50%	15.72%	29.53%	16.50%	15.36%	21.54%	27.39%	20.92%	17.96%	23.53%	34.78%					
																																																		
24	Против всех	158	13	23	8	2	6	3	2	3	5	2	0	1	1	0	9	2	1	19	0	2	1	0	6	5	0	2	8	3	1	1	1	2	5	3	1	4	2	2	1	3	3	1	1					
		1.08%	1.13%	1.59%	1.09%	0.66%	1.56%	0.88%	2.30%	0.96%	2.67%	0.34%	0.00%	0.94%	0.52%	0.00%	1.26%	1.21%	0.63%	9.64%	0.00%	0.26%	0.51%	0.00%	0.75%	1.52%	0.00%	1.80%	1.37%	1.42%	0.46%	0.93%	0.60%	1.48%	1.20%	1.89%	0.52%	0.66%	0.52%	1.54%	0.41%	0.51%	1.22%	1.96%	0.87%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
