Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Давлекановская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797					
		0.40%	0.66%	0.94%	0.44%	1.46%	0.31%	0.00%	0.52%	1.54%	0.51%	0.53%	0.00%	0.37%	0.45%	2.48%	0.40%	0.51%	0.00%	0.45%	0.00%	0.23%	0.00%	0.00%	0.00%	0.43%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.56%	0.00%	0.00%	0.00%	0.69%	0.51%	1.64%	0.00%	0.64%	0.00%	0.00%	0.44%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
