Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Черемховская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1577	УИК №1590					
11	Число полученных открепительных  удостоверений	480	30	6	10	4	10	4	4	4	20	40	30	25	6	10	6	6	10	6	6	6	6	6	12	6	6	6	20	6	30	6	12	6	12	6	10	15	6	6	15	5	10	30					
12	Число выданных открепительных удостоверений	57	3	0	0	0	0	0	0	0	8	11	7	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	4	2	0	0	2	0	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	2	0	1	0	0	3	4	0	9	7	1	3	0	0	0	2	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	2	0	0	0	0	2	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	423	27	6	10	4	10	4	4	4	12	29	23	23	6	10	6	6	10	6	6	6	6	6	11	6	6	6	17	6	30	6	11	6	11	6	6	13	6	6	13	5	4	24					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	545	15	1	5	11	12	7	9	12	28	83	43	49	9	12	7	0	11	3	0	2	1	2	25	6	4	0	17	3	22	8	14	6	13	5	22	3	2	2	25	4	6	36					
		3.73%	2.58%	0.92%	1.60%	3.49%	3.32%	4.52%	3.63%	8.76%	3.93%	8.27%	4.83%	7.18%	5.29%	1.97%	2.41%	0.00%	2.94%	1.79%	0.00%	1.80%	0.83%	1.60%	5.14%	3.39%	1.75%	0.00%	2.93%	2.21%	2.11%	4.37%	3.54%	4.84%	2.28%	3.11%	4.92%	0.62%	2.41%	2.82%	6.49%	1.51%	2.76%	5.09%					
19	. Малышкин Олег Александрович	871	45	4	25	13	24	10	11	5	45	84	65	39	24	46	22	5	25	17	5	9	5	17	19	10	4	10	37	18	43	8	6	5	35	4	23	18	7	0	13	10	7	49					
		5.96%	7.75%	3.67%	8.01%	4.13%	6.65%	6.45%	4.44%	3.65%	6.32%	8.37%	7.30%	5.72%	14.12%	7.54%	7.59%	5.56%	6.68%	10.12%	3.76%	8.11%	4.13%	13.60%	3.91%	5.65%	1.75%	5.71%	6.37%	13.24%	4.12%	4.37%	1.52%	4.03%	6.15%	2.48%	5.15%	3.75%	8.43%	0.00%	3.38%	3.77%	3.23%	6.93%					
20	. Миронов Сергей Михайлович	181	8	1	0	8	2	3	2	2	6	31	14	16	2	3	2	0	5	0	0	0	6	0	2	2	4	0	3	2	18	0	3	5	4	4	4	5	1	2	5	0	0	6					
		1.24%	1.38%	0.92%	0.00%	2.54%	0.55%	1.94%	0.81%	1.46%	0.84%	3.09%	1.57%	2.35%	1.18%	0.49%	0.69%	0.00%	1.34%	0.00%	0.00%	0.00%	4.96%	0.00%	0.41%	1.13%	1.75%	0.00%	0.52%	1.47%	1.72%	0.00%	0.76%	4.03%	0.70%	2.48%	0.89%	1.04%	1.20%	2.82%	1.30%	0.00%	0.00%	0.85%					
21	. Путин Владимир Владимирович	8828	363	85	225	195	230	84	162	97	391	390	495	359	73	438	197	50	227	124	93	45	75	54	292	107	147	120	393	89	595	117	302	81	408	94	262	298	38	51	242	190	156	394					
		60.40%	62.48%	77.98%	72.12%	61.90%	63.71%	54.19%	65.32%	70.80%	54.92%	38.84%	55.56%	52.64%	42.94%	71.80%	67.93%	55.56%	60.70%	73.81%	69.92%	40.54%	61.98%	43.20%	60.08%	60.45%	64.19%	68.57%	67.64%	65.44%	56.99%	63.93%	76.26%	65.32%	71.70%	58.39%	58.61%	62.08%	45.78%	71.83%	62.86%	71.70%	71.89%	55.73%					
22	. Хакамада Ирина Муцуовна	366	14	0	5	5	13	5	5	1	14	44	31	20	5	13	4	1	15	7	0	8	2	2	14	3	9	1	13	0	18	8	8	3	3	3	15	7	9	1	7	6	7	17					
		2.50%	2.41%	0.00%	1.60%	1.59%	3.60%	3.23%	2.02%	0.73%	1.97%	4.38%	3.48%	2.93%	2.94%	2.13%	1.38%	1.11%	4.01%	4.17%	0.00%	7.21%	1.65%	1.60%	2.88%	1.69%	3.93%	0.57%	2.24%	0.00%	1.72%	4.37%	2.02%	2.42%	0.53%	1.86%	3.36%	1.46%	10.84%	1.41%	1.82%	2.26%	3.23%	2.40%					
23	. Харитонов Николай Михайлович	3248	114	15	47	64	63	37	51	18	209	265	195	180	50	86	47	23	70	17	29	31	31	50	119	45	58	36	100	21	319	38	54	23	93	43	101	140	25	12	84	54	33	158					
		22.22%	19.62%	13.76%	15.06%	20.32%	17.45%	23.87%	20.56%	13.14%	29.35%	26.39%	21.89%	26.39%	29.41%	14.10%	16.21%	25.56%	18.72%	10.12%	21.80%	27.93%	25.62%	40.00%	24.49%	25.42%	25.33%	20.57%	17.21%	15.44%	30.56%	20.77%	13.64%	18.55%	16.34%	26.71%	22.60%	29.17%	30.12%	16.90%	21.82%	20.38%	15.21%	22.35%					
																																																	
24	Против всех	437	18	3	3	10	10	6	2	2	19	99	36	18	5	12	5	10	14	0	6	9	1	0	15	2	1	6	10	1	16	3	4	1	13	5	13	7	1	3	5	1	3	39					
		2.99%	3.10%	2.75%	0.96%	3.17%	2.77%	3.87%	0.81%	1.46%	2.67%	9.86%	4.04%	2.64%	2.94%	1.97%	1.72%	11.11%	3.74%	0.00%	4.51%	8.11%	0.83%	0.00%	3.09%	1.13%	0.44%	3.43%	1.72%	0.74%	1.53%	1.64%	1.01%	0.81%	2.28%	3.11%	2.91%	1.46%	1.20%	4.23%	1.30%	0.38%	1.38%	5.52%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
