Выборы Президента Российской Федерации																																																								
																																																								
"Наименование Избирательной комиссии:    Ростов-на-Дону, Октябрьская"																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №2490	УИК №2491					
		5.11%	4.03%	8.23%	7.17%	7.42%	8.11%	3.75%	3.51%	5.57%	5.93%	3.73%	7.75%	7.35%	3.71%	4.17%	5.60%	4.78%	6.79%	5.25%	6.44%	6.22%	2.89%	5.13%	6.11%	8.76%	5.84%	8.53%	3.41%	5.20%	6.07%	5.79%	5.31%	3.50%	5.36%	5.27%	3.67%	3.04%	5.17%	3.70%	4.54%	5.87%	0.95%	7.34%	6.12%	2.88%	5.06%	7.31%	4.69%	2.66%	1.11%					
19	. Малышкин Олег Александрович	1148	15	16	14	15	24	9	40	18	22	51	14	14	22	22	14	11	22	31	16	31	22	42	22	1	30	10	18	12	21	30	22	37	26	15	37	27	38	8	57	25	27	18	31	39	34	36	22	20	0					
		1.52%	1.12%	1.07%	1.18%	0.91%	1.43%	0.50%	1.80%	1.25%	1.61%	2.32%	0.94%	0.92%	1.26%	1.58%	1.26%	1.50%	1.49%	1.73%	1.75%	1.77%	1.45%	1.72%	1.49%	0.13%	2.78%	1.22%	1.54%	1.16%	2.06%	1.97%	1.42%	1.77%	2.18%	0.95%	2.00%	1.12%	1.89%	0.48%	3.04%	1.73%	1.71%	1.39%	1.81%	1.78%	2.18%	1.72%	1.04%	1.33%	0.00%					
20	. Миронов Сергей Михайлович	555	5	5	9	7	9	16	14	12	20	30	10	15	4	6	9	5	9	19	7	20	11	27	4	7	7	5	8	6	9	12	9	12	11	11	19	5	18	6	21	14	14	12	14	17	8	17	10	9	1					
		0.74%	0.37%	0.33%	0.76%	0.43%	0.54%	0.90%	0.63%	0.84%	1.46%	1.36%	0.67%	0.98%	0.23%	0.43%	0.81%	0.68%	0.61%	1.06%	0.76%	1.14%	0.72%	1.11%	0.27%	0.89%	0.65%	0.61%	0.68%	0.58%	0.88%	0.79%	0.58%	0.57%	0.92%	0.70%	1.03%	0.21%	0.89%	0.36%	1.12%	0.97%	0.89%	0.93%	0.82%	0.78%	0.51%	0.81%	0.47%	0.60%	0.18%					
21	. Путин Владимир Владимирович	52771	1005	1065	716	1059	976	1270	1669	943	774	1611	860	927	1382	1093	784	506	1011	1298	595	1249	1117	1689	1043	488	681	496	881	696	716	936	991	1609	847	1174	1272	1921	1383	1174	1288	907	1118	813	1145	1787	1117	1478	1564	1133	514					
		70.00%	75.00%	71.24%	60.42%	64.42%	58.23%	71.11%	75.11%	65.62%	56.66%	73.29%	57.99%	60.83%	78.88%	78.63%	70.76%	69.13%	68.68%	72.51%	64.96%	71.25%	73.49%	69.25%	70.86%	61.93%	63.11%	60.41%	75.17%	67.05%	70.13%	61.58%	64.14%	77.06%	71.00%	74.49%	68.65%	79.98%	68.74%	70.01%	68.80%	62.64%	70.85%	62.78%	66.76%	81.71%	71.51%	70.58%	74.16%	75.48%	95.01%					
22	. Хакамада Ирина Муцуовна	4366	61	52	105	142	172	135	111	116	199	108	108	113	85	76	22	44	113	119	69	61	78	129	100	85	57	80	62	53	38	124	87	86	63	61	94	64	91	45	103	78	130	86	89	56	120	92	110	91	3					
		5.79%	4.55%	3.48%	8.86%	8.64%	10.26%	7.56%	5.00%	8.07%	14.57%	4.91%	7.28%	7.41%	4.85%	5.47%	1.99%	6.01%	7.68%	6.65%	7.53%	3.48%	5.13%	5.29%	6.79%	10.79%	5.28%	9.74%	5.29%	5.11%	3.72%	8.16%	5.63%	4.12%	5.28%	3.87%	5.07%	2.66%	4.52%	2.68%	5.50%	5.39%	8.24%	6.64%	5.19%	2.56%	7.68%	4.39%	5.22%	6.06%	0.55%					
23	. Харитонов Николай Михайлович	9295	180	215	202	208	244	236	263	196	166	146	291	244	134	112	143	70	152	164	144	214	212	294	133	91	162	86	128	169	145	239	271	181	136	170	263	263	254	325	196	255	206	199	241	194	139	227	220	161	11					
		12.33%	13.43%	14.38%	17.05%	12.65%	14.56%	13.21%	11.84%	13.64%	12.15%	6.64%	19.62%	16.01%	7.65%	8.06%	12.91%	9.56%	10.33%	9.16%	15.72%	12.21%	13.95%	12.05%	9.04%	11.55%	15.01%	10.48%	10.92%	16.28%	14.20%	15.72%	17.54%	8.67%	11.40%	10.79%	14.19%	10.95%	12.62%	19.38%	10.47%	17.61%	13.05%	15.37%	14.05%	8.87%	8.90%	10.84%	10.43%	10.73%	2.03%					
																																																								
24	Против всех	3121	18	14	53	91	108	47	40	65	98	163	83	96	51	21	74	57	60	56	23	60	27	124	77	40	75	69	35	41	27	88	74	66	46	56	86	49	117	50	113	78	65	65	78	31	60	83	74	43	6					
		4.14%	1.34%	0.94%	4.47%	5.54%	6.44%	2.63%	1.80%	4.52%	7.17%	7.42%	5.60%	6.30%	2.91%	1.51%	6.68%	7.79%	4.08%	3.13%	2.51%	3.42%	1.78%	5.08%	5.23%	5.08%	6.95%	8.40%	2.99%	3.95%	2.64%	5.79%	4.79%	3.16%	3.86%	3.55%	4.64%	2.04%	5.82%	2.98%	6.04%	5.39%	4.12%	5.02%	4.55%	1.42%	3.84%	3.96%	3.51%	2.86%	1.11%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
