Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Красноярск, Ленинская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290					
18	. Глазьев Сергей Юрьевич	12415	247	221	201	247	347	266	204	222	228	198	210	267	244	243	359	299	66	316	346	373	249	200	258	262	176	137	189	190	301	187	195	254	240	227	266	308	205	205	164	219	355	240	279	222	271	259	259	147	221	238	221	167					
		23.16%	24.26%	22.88%	20.06%	22.76%	25.76%	23.62%	17.89%	20.04%	24.36%	23.08%	22.04%	21.51%	24.13%	27.46%	27.55%	23.82%	22.92%	24.07%	24.09%	24.59%	22.91%	20.00%	22.07%	23.14%	20.71%	20.15%	23.95%	19.43%	26.15%	19.85%	24.71%	27.05%	25.92%	20.90%	23.46%	26.62%	23.81%	20.96%	18.70%	21.86%	28.58%	19.43%	21.93%	26.40%	22.62%	25.57%	23.81%	19.37%	23.26%	24.41%	25.43%	19.76%					
19	. Малышкин Олег Александрович	694	11	10	10	19	11	12	12	14	12	13	10	10	13	10	15	20	3	20	12	14	7	8	21	23	14	11	19	11	15	12	19	12	14	16	22	8	11	17	17	15	16	17	17	10	13	17	12	8	14	12	7	8					
		1.29%	1.08%	1.04%	1.00%	1.75%	0.82%	1.07%	1.05%	1.26%	1.28%	1.52%	1.05%	0.81%	1.29%	1.13%	1.15%	1.59%	1.04%	1.52%	0.84%	0.92%	0.64%	0.80%	1.80%	2.03%	1.65%	1.62%	2.41%	1.12%	1.30%	1.27%	2.41%	1.28%	1.51%	1.47%	1.94%	0.69%	1.28%	1.74%	1.94%	1.50%	1.29%	1.38%	1.34%	1.19%	1.09%	1.68%	1.10%	1.05%	1.47%	1.23%	0.81%	0.95%					
20	. Миронов Сергей Михайлович	411	5	5	1	9	13	11	11	12	5	3	7	22	7	13	14	3	5	7	8	10	4	6	4	5	2	5	6	6	19	6	5	8	11	18	10	4	6	12	9	15	9	7	13	9	7	4	7	3	7	7	3	3					
		0.77%	0.49%	0.52%	0.10%	0.83%	0.97%	0.98%	0.96%	1.08%	0.53%	0.35%	0.73%	1.77%	0.69%	1.47%	1.07%	0.24%	1.74%	0.53%	0.56%	0.66%	0.37%	0.60%	0.34%	0.44%	0.24%	0.74%	0.76%	0.61%	1.65%	0.64%	0.63%	0.85%	1.19%	1.66%	0.88%	0.35%	0.70%	1.23%	1.03%	1.50%	0.72%	0.57%	1.02%	1.07%	0.58%	0.39%	0.64%	0.40%	0.74%	0.72%	0.35%	0.36%					
21	. Путин Владимир Владимирович	30473	585	551	667	614	729	591	661	675	525	484	556	707	553	433	630	707	159	680	796	805	603	608	720	651	463	401	443	626	646	594	421	488	510	636	646	655	494	569	527	584	623	751	750	422	721	548	626	470	546	573	501	549					
		56.85%	57.47%	57.04%	66.57%	56.59%	54.12%	52.49%	57.98%	60.92%	56.09%	56.41%	58.34%	56.97%	54.70%	48.93%	48.35%	56.33%	55.21%	51.79%	55.43%	53.07%	55.47%	60.80%	61.59%	57.51%	54.47%	58.97%	56.15%	64.01%	56.13%	63.06%	53.36%	51.97%	55.08%	58.56%	56.97%	56.61%	57.38%	58.18%	60.09%	58.28%	50.16%	60.81%	58.96%	50.18%	60.18%	54.10%	57.54%	61.92%	57.47%	58.77%	57.65%	64.97%					
22	. Хакамада Ирина Муцуовна	2406	43	58	32	49	65	63	67	35	40	45	51	73	74	42	60	69	7	76	67	92	34	42	39	49	42	32	19	37	40	43	31	38	30	57	35	45	35	38	38	53	56	49	62	37	49	35	34	42	45	39	41	32					
		4.49%	4.22%	6.00%	3.19%	4.52%	4.83%	5.60%	5.88%	3.16%	4.27%	5.24%	5.35%	5.88%	7.32%	4.75%	4.60%	5.50%	2.43%	5.79%	4.67%	6.06%	3.13%	4.20%	3.34%	4.33%	4.94%	4.71%	2.41%	3.78%	3.48%	4.56%	3.93%	4.05%	3.24%	5.25%	3.09%	3.89%	4.07%	3.89%	4.33%	5.29%	4.51%	3.97%	4.87%	4.40%	4.09%	3.46%	3.12%	5.53%	4.74%	4.00%	4.72%	3.79%					
23	. Харитонов Николай Михайлович	4073	83	85	76	87	110	114	108	90	76	53	63	92	65	96	138	98	31	128	120	131	119	87	55	79	75	45	51	59	65	42	55	84	59	80	85	67	75	88	72	66	91	97	71	84	77	76	80	37	65	61	40	42					
		7.60%	8.15%	8.80%	7.58%	8.02%	8.17%	10.12%	9.47%	8.12%	8.12%	6.18%	6.61%	7.41%	6.43%	10.85%	10.59%	7.81%	10.76%	9.75%	8.36%	8.64%	10.95%	8.70%	4.70%	6.98%	8.82%	6.62%	6.46%	6.03%	5.65%	4.46%	6.97%	8.95%	6.37%	7.37%	7.50%	5.79%	8.71%	9.00%	8.21%	6.59%	7.33%	7.85%	5.58%	9.99%	6.43%	7.50%	7.35%	4.87%	6.84%	6.26%	4.60%	4.97%					
																																																											
24	Против всех	2676	34	26	15	44	66	59	69	51	39	53	49	62	46	42	72	57	13	78	81	84	58	41	54	58	64	42	44	43	60	46	52	42	56	38	54	62	31	40	43	44	92	66	80	46	50	62	61	42	48	38	52	27					
		4.99%	3.34%	2.69%	1.50%	4.06%	4.90%	5.24%	6.05%	4.60%	4.17%	6.18%	5.14%	5.00%	4.55%	4.75%	5.53%	4.54%	4.51%	5.94%	5.64%	5.54%	5.34%	4.10%	4.62%	5.12%	7.53%	6.18%	5.58%	4.40%	5.21%	4.88%	6.59%	4.47%	6.05%	3.50%	4.76%	5.36%	3.60%	4.09%	4.90%	4.39%	7.41%	5.34%	6.29%	5.47%	4.17%	6.12%	5.61%	5.53%	5.05%	3.90%	5.98%	3.20%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
