Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Магнитогорск, Правобережная"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389					
11	Число полученных открепительных  удостоверений	2460	100	30	30	30	30	30	30	30	30	100	100	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	30	30	100	30	30	30	30	30	40	100	250	30	30	100	30	30	30	100	30	30	100	100	30	30	40	30					
12	Число выданных открепительных удостоверений	1328	19	11	15	6	24	21	12	19	21	36	51	17	17	22	14	24	29	22	25	13	8	8	9	22	13	20	0	12	14	22	45	26	30	20	26	21	30	22	174	17	28	17	26	21	20	40	19	22	35	38	22	25	34	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	636	5	4	8	5	3	9	6	8	1	18	10	49	41	13	43	51	4	9	11	5	3	2	1	16	9	7	0	12	6	10	10	1	7	6	9	22	24	1	17	16	15	11	6	13	18	3	8	11	16	11	8	8	19	7					
14	Число неиспользованных открепительных удостоверений	1132	81	19	15	24	6	9	18	11	9	64	49	13	13	8	16	6	1	8	5	17	22	22	21	8	17	10	0	18	16	8	55	4	0	10	4	9	10	78	76	13	2	83	4	9	10	60	11	8	65	62	8	5	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	81	1	2	0	0	3	3	4	1	2	3	3	1	1	1	1	1	2	1	0	1	1	1	0	1	3	3	0	3	0	1	0	2	4	3	1	0	2	3	2	1	1	3	2	2	1	2	1	1	1	0	3	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	1396	25	16	19	12	39	33	28	33	15	22	15	18	19	19	40	38	36	43	28	30	12	18	12	29	24	29	7	24	28	28	36	28	22	27	21	16	42	22	36	24	37	20	20	29	27	32	21	39	36	31	20	21	23	27					
		2.20%	2.10%	1.73%	2.40%	1.76%	2.98%	2.27%	2.41%	3.12%	1.59%	2.11%	1.36%	1.39%	1.87%	1.83%	2.99%	2.71%	3.07%	3.38%	2.02%	2.47%	1.26%	2.06%	1.40%	2.16%	2.31%	2.83%	3.30%	2.65%	2.59%	2.37%	2.88%	1.96%	1.55%	1.95%	1.45%	1.17%	2.44%	2.34%	2.56%	2.10%	2.69%	2.08%	1.65%	2.70%	1.89%	2.87%	1.67%	3.04%	2.69%	1.80%	1.79%	1.61%	1.67%	2.12%					
19	. Малышкин Олег Александрович	1078	24	15	14	12	16	36	19	14	15	12	13	12	11	20	25	17	13	34	40	25	13	22	9	29	19	10	2	16	13	32	25	16	22	29	32	18	22	20	26	16	31	30	25	15	28	18	12	21	24	25	18	20	14	19					
		1.70%	2.01%	1.62%	1.77%	1.76%	1.22%	2.48%	1.63%	1.32%	1.59%	1.15%	1.18%	0.93%	1.08%	1.92%	1.87%	1.21%	1.11%	2.68%	2.89%	2.06%	1.36%	2.52%	1.05%	2.16%	1.83%	0.98%	0.94%	1.77%	1.20%	2.71%	2.00%	1.12%	1.55%	2.09%	2.22%	1.32%	1.28%	2.13%	1.85%	1.40%	2.25%	3.12%	2.06%	1.40%	1.96%	1.61%	0.96%	1.64%	1.80%	1.46%	1.61%	1.53%	1.02%	1.49%					
20	. Миронов Сергей Михайлович	239	3	0	3	2	7	5	2	5	6	1	1	3	2	6	4	3	3	3	12	3	4	4	2	4	5	5	2	5	3	6	5	3	8	4	6	0	4	7	5	6	5	2	4	1	3	2	3	4	35	3	4	3	6	2					
		0.38%	0.25%	0.00%	0.38%	0.29%	0.53%	0.34%	0.17%	0.47%	0.63%	0.10%	0.09%	0.23%	0.20%	0.58%	0.30%	0.21%	0.26%	0.24%	0.87%	0.25%	0.42%	0.46%	0.23%	0.30%	0.48%	0.49%	0.94%	0.55%	0.28%	0.51%	0.40%	0.21%	0.56%	0.29%	0.42%	0.00%	0.23%	0.74%	0.36%	0.52%	0.36%	0.21%	0.33%	0.09%	0.21%	0.18%	0.24%	0.31%	2.62%	0.17%	0.36%	0.23%	0.44%	0.16%					
21	. Путин Владимир Владимирович	52539	977	791	644	580	1058	1194	942	893	792	901	964	1108	856	876	1078	1150	949	1009	1120	972	802	720	713	1048	821	850	187	734	870	947	1019	1174	1173	1148	1244	1136	1402	756	1192	955	1107	788	1027	872	1197	927	1071	1059	1059	1434	922	1098	1159	1074					
		82.63%	81.89%	85.42%	81.21%	84.92%	80.76%	82.17%	80.93%	84.48%	83.81%	86.22%	87.48%	85.76%	84.33%	84.15%	80.63%	81.97%	80.83%	79.39%	80.98%	80.07%	83.98%	82.57%	83.20%	78.15%	79.09%	83.09%	88.21%	81.10%	80.63%	80.32%	81.65%	82.21%	82.61%	82.89%	86.15%	83.41%	81.56%	80.43%	84.90%	83.48%	80.45%	82.08%	84.60%	81.27%	83.71%	83.14%	85.41%	82.54%	79.27%	83.47%	82.69%	84.27%	84.17%	84.43%					
22	. Хакамада Ирина Муцуовна	1666	24	19	26	14	22	30	30	17	26	23	25	34	17	26	39	43	41	44	42	32	25	17	18	34	43	16	3	35	25	24	26	33	38	30	33	41	47	20	31	33	43	26	38	34	36	27	27	39	46	62	40	25	35	42					
		2.62%	2.01%	2.05%	3.28%	2.05%	1.68%	2.06%	2.58%	1.61%	2.75%	2.20%	2.27%	2.63%	1.67%	2.50%	2.92%	3.06%	3.49%	3.46%	3.04%	2.64%	2.62%	1.95%	2.10%	2.54%	4.14%	1.56%	1.42%	3.87%	2.32%	2.04%	2.08%	2.31%	2.68%	2.17%	2.29%	3.01%	2.73%	2.13%	2.21%	2.88%	3.12%	2.71%	3.13%	3.17%	2.52%	2.42%	2.15%	3.04%	3.44%	3.61%	3.59%	1.92%	2.54%	3.30%					
23	. Харитонов Николай Михайлович	4088	84	61	47	38	107	107	87	66	65	48	55	69	58	72	90	89	72	84	69	89	66	58	65	127	84	69	9	62	89	92	101	110	93	73	71	93	120	79	56	62	113	48	55	64	89	75	71	81	87	80	61	77	83	68					
		6.43%	7.04%	6.59%	5.93%	5.56%	8.17%	7.36%	7.47%	6.24%	6.88%	4.59%	4.99%	5.34%	5.71%	6.92%	6.73%	6.34%	6.13%	6.61%	4.99%	7.33%	6.91%	6.65%	7.58%	9.47%	8.09%	6.74%	4.25%	6.85%	8.25%	7.80%	8.09%	7.70%	6.55%	5.27%	4.92%	6.83%	6.98%	8.40%	3.99%	5.42%	8.21%	5.00%	4.53%	5.96%	6.22%	6.73%	5.66%	6.31%	6.51%	4.66%	5.47%	5.91%	6.03%	5.35%					
																																																													
24	Против всех	2021	36	9	28	14	43	41	48	22	26	26	22	42	43	21	46	47	49	41	57	44	24	26	26	49	34	36	2	22	39	35	30	47	59	49	37	46	68	27	49	29	31	36	36	58	42	34	35	40	34	70	34	52	49	31					
		3.18%	3.02%	0.97%	3.53%	2.05%	3.28%	2.82%	4.12%	2.08%	2.75%	2.49%	2.00%	3.25%	4.24%	2.02%	3.44%	3.35%	4.17%	3.23%	4.12%	3.62%	2.51%	2.98%	3.03%	3.65%	3.28%	3.52%	0.94%	2.43%	3.61%	2.97%	2.40%	3.29%	4.15%	3.54%	2.56%	3.38%	3.96%	2.87%	3.49%	2.53%	2.25%	3.75%	2.97%	5.41%	2.94%	3.05%	2.79%	3.12%	2.54%	4.07%	3.05%	3.99%	3.56%	2.44%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
