Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    район Преображенское																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №3096	УИК №3097	УИК №3098					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	2137	87	82	76	72	69	90	102	110	126	95	89	90	91	112	82	108	99	84	96	111	137	95	14	5	15					
		7.17%	7.24%	7.55%	6.16%	7.09%	6.46%	6.53%	7.85%	7.45%	8.57%	6.37%	7.06%	6.63%	7.18%	7.35%	7.41%	8.34%	7.24%	6.51%	6.77%	8.56%	8.25%	6.52%	4.29%	8.33%	3.75%					
19	. Малышкин Олег Александрович	343	5	12	21	14	6	18	14	13	16	23	15	19	16	17	18	8	23	15	14	4	22	15	9	2	4					
		1.15%	0.42%	1.10%	1.70%	1.38%	0.56%	1.31%	1.08%	0.88%	1.09%	1.54%	1.19%	1.40%	1.26%	1.12%	1.63%	0.62%	1.68%	1.16%	0.99%	0.31%	1.32%	1.03%	2.76%	3.33%	1.00%					
20	. Миронов Сергей Михайлович	171	8	5	6	16	1	5	3	12	11	5	5	7	3	9	6	11	11	7	7	4	12	14	1	0	2					
		0.57%	0.67%	0.46%	0.49%	1.58%	0.09%	0.36%	0.23%	0.81%	0.75%	0.34%	0.40%	0.52%	0.24%	0.59%	0.54%	0.85%	0.80%	0.54%	0.49%	0.31%	0.72%	0.96%	0.31%	0.00%	0.50%					
21	. Путин Владимир Владимирович	19320	789	642	824	671	787	874	783	912	885	999	825	912	878	1014	746	817	872	809	916	786	1035	942	252	40	310					
		64.82%	65.64%	59.12%	66.77%	66.11%	73.69%	63.38%	60.28%	61.75%	60.20%	67.00%	65.48%	67.21%	69.24%	66.58%	67.39%	63.09%	63.79%	62.71%	64.55%	60.65%	62.31%	64.65%	77.30%	66.67%	77.50%					
22	. Хакамада Ирина Муцуовна	3008	112	170	94	114	84	150	199	150	208	136	106	91	92	157	98	148	120	123	151	163	169	135	18	3	17					
		10.09%	9.32%	15.65%	7.62%	11.23%	7.87%	10.88%	15.32%	10.16%	14.15%	9.12%	8.41%	6.71%	7.26%	10.31%	8.85%	11.43%	8.78%	9.53%	10.64%	12.58%	10.17%	9.27%	5.52%	5.00%	4.25%					
23	. Харитонов Николай Михайлович	2546	103	89	121	59	73	119	106	142	104	125	120	130	90	113	68	132	140	134	126	116	148	157	8	5	18					
		8.54%	8.57%	8.20%	9.81%	5.81%	6.84%	8.63%	8.16%	9.61%	7.07%	8.38%	9.52%	9.58%	7.10%	7.42%	6.14%	10.19%	10.24%	10.39%	8.88%	8.95%	8.91%	10.78%	2.45%	8.33%	4.50%					
																																
24	Против всех	2078	96	83	84	58	36	119	84	131	111	104	91	94	84	101	78	67	93	78	101	102	131	94	23	5	30					
		6.97%	7.99%	7.64%	6.81%	5.71%	3.37%	8.63%	6.47%	8.87%	7.55%	6.98%	7.22%	6.93%	6.62%	6.63%	7.05%	5.17%	6.80%	6.05%	7.12%	7.87%	7.89%	6.45%	7.06%	8.33%	7.50%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
