Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Клетская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	3	4	0	2	2	1	2	2	4	2	1	1	0	0	1	0	0	7	1	1	0	1	1	0	3	1	1	1	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	194	13	20	3	6	10	4	6	3	4	15	4	4	13	4	3	4	4	7	4	4	1	4	3	3	12	7	3	2	5	11	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	204	32	32	2	3	17	1	13	0	3	16	2	1	6	4	1	0	0	10	2	0	1	5	2	6	8	8	9	0	0	16	2	2					
		2.40%	3.18%	3.33%	1.71%	1.48%	2.91%	1.27%	3.06%	0.00%	5.26%	3.54%	1.49%	1.16%	1.34%	2.03%	0.92%	0.00%	0.00%	2.11%	2.74%	0.00%	1.61%	1.30%	1.57%	9.52%	1.28%	2.54%	3.52%	0.00%	0.00%	3.89%	1.54%	2.33%					
19	. Малышкин Олег Александрович	244	24	30	4	2	15	4	11	2	0	14	10	6	9	9	6	0	2	18	6	3	1	8	6	2	21	2	3	5	1	13	6	1					
		2.87%	2.38%	3.12%	3.42%	0.99%	2.57%	5.06%	2.59%	3.33%	0.00%	3.10%	7.46%	6.98%	2.00%	4.57%	5.50%	0.00%	1.69%	3.80%	8.22%	2.73%	1.61%	2.07%	4.72%	3.17%	3.36%	0.63%	1.17%	2.69%	0.88%	3.16%	4.62%	1.16%					
20	. Миронов Сергей Михайлович	40	6	5	1	5	3	0	2	1	0	1	2	1	0	0	1	0	0	1	0	0	0	2	2	0	0	1	3	0	1	2	0	0					
		0.47%	0.60%	0.52%	0.85%	2.46%	0.51%	0.00%	0.47%	1.67%	0.00%	0.22%	1.49%	1.16%	0.00%	0.00%	0.92%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.52%	1.57%	0.00%	0.00%	0.32%	1.17%	0.00%	0.88%	0.49%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5400	562	556	86	129	316	44	213	46	27	318	65	39	339	139	69	41	87	344	49	89	55	276	90	50	324	222	203	146	77	257	77	65					
		63.45%	55.81%	57.80%	73.50%	63.55%	54.11%	55.70%	50.12%	76.67%	47.37%	70.35%	48.51%	45.35%	75.50%	70.56%	63.30%	75.93%	73.73%	72.57%	67.12%	80.91%	88.71%	71.50%	70.87%	79.37%	51.84%	70.48%	79.30%	78.49%	67.54%	62.53%	59.23%	75.58%					
22	. Хакамада Ирина Муцуовна	162	24	18	1	4	3	1	9	0	1	7	0	1	3	2	5	0	0	12	0	1	0	9	3	1	11	1	9	4	5	10	15	2					
		1.90%	2.38%	1.87%	0.85%	1.97%	0.51%	1.27%	2.12%	0.00%	1.75%	1.55%	0.00%	1.16%	0.67%	1.02%	4.59%	0.00%	0.00%	2.53%	0.00%	0.91%	0.00%	2.33%	2.36%	1.59%	1.76%	0.32%	3.52%	2.15%	4.39%	2.43%	11.54%	2.33%					
23	. Харитонов Николай Михайлович	2264	317	282	15	54	224	26	169	10	26	92	55	34	82	43	24	13	26	77	16	15	4	81	22	4	248	76	28	26	29	101	29	16					
		26.60%	31.48%	29.31%	12.82%	26.60%	38.36%	32.91%	39.76%	16.67%	45.61%	20.35%	41.04%	39.53%	18.26%	21.83%	22.02%	24.07%	22.03%	16.24%	21.92%	13.64%	6.45%	20.98%	17.32%	6.35%	39.68%	24.13%	10.94%	13.98%	25.44%	24.57%	22.31%	18.60%					
																																							
24	Против всех	146	39	28	6	5	5	3	4	1	0	2	0	2	2	0	2	0	2	12	0	2	0	1	2	0	10	3	1	4	1	8	1	0					
		1.72%	3.87%	2.91%	5.13%	2.46%	0.86%	3.80%	0.94%	1.67%	0.00%	0.44%	0.00%	2.33%	0.45%	0.00%	1.83%	0.00%	1.69%	2.53%	0.00%	1.82%	0.00%	0.26%	1.57%	0.00%	1.60%	0.95%	0.39%	2.15%	0.88%	1.95%	0.77%	0.00%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
