Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Губахинская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926					
24	Против всех	769	30	34	34	0	36	38	58	59	56	59	62	9	51	54	66	13	11	24	7	11	6	6	16	24	2	3					
		3.68%	3.13%	2.64%	4.50%	0.00%	4.14%	3.57%	5.17%	4.51%	4.19%	4.57%	4.25%	3.15%	5.43%	4.00%	4.44%	2.41%	1.81%	1.82%	2.17%	1.62%	2.33%	3.95%	4.53%	3.92%	0.85%	4.00%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
