Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Петуховская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК  1155					
		16.41%	15.93%	13.53%	21.95%	17.35%	12.91%	15.92%	15.97%	13.04%	19.57%	15.54%	10.23%	11.78%	15.54%	9.63%	10.00%	11.00%	19.42%	15.69%	24.91%	6.87%	23.89%	13.19%	36.05%	5.26%	2.30%	14.43%	15.80%	5.19%	17.28%	27.02%	21.33%	30.88%	15.60%	14.70%	22.41%	8.45%	13.55%	12.94%	13.26%	28.39%	13.22%	19.02%	63.24%	16.39%	18.22%					
																																																				
24	Против всех	176	4	0	9	6	12	4	27	1	10	4	11	12	3	2	0	0	0	0	8	0	4	2	2	0	2	9	6	0	0	13	0	0	0	4	2	0	1	0	7	6	0	1	0	3	1					
		1.35%	1.10%	0.00%	1.29%	0.85%	2.07%	1.27%	3.40%	4.35%	1.81%	0.82%	2.30%	1.91%	1.55%	0.44%	0.00%	0.00%	0.00%	0.00%	2.93%	0.00%	1.62%	0.69%	2.33%	0.00%	1.15%	1.80%	1.72%	0.00%	0.00%	3.00%	0.00%	0.00%	0.00%	0.61%	0.49%	0.00%	0.47%	0.00%	2.02%	2.54%	0.00%	0.29%	0.00%	4.92%	0.37%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
