Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Кудымкарский район																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143					
11	Число полученных открепительных  удостоверений	490	25	10	15	5	5	10	10	15	10	10	5	20	15	15	15	15	25	10	5	5	10	15	10	15	15	15	5	15	5	5	15	10	15	15	5	5	5	15	15	5	10	10	10					
12	Число выданных открепительных удостоверений	117	6	0	8	0	0	0	10	7	1	0	2	15	9	3	6	2	4	2	2	0	0	2	0	14	0	3	1	1	0	0	2	2	6	2	2	0	0	2	2	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	11	3	2	1	0	4	3	0	0	1	0	5	1	2	0	1	6	0	1	0	1	0	1	6	1	0	2	3	2	0	2	1	3	3	1	2	2	0	5	8	1	2	0					
14	Число неиспользованных открепительных удостоверений	373	19	10	7	5	5	10	0	8	9	10	3	5	6	12	9	13	21	8	3	5	10	13	10	1	15	12	4	14	5	5	13	8	9	13	3	5	5	13	13	4	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	134	11	2	2	0	0	7	7	5	3	1	1	4	7	2	5	12	5	5	0	0	0	4	4	5	5	2	0	10	0	0	2	1	2	6	0	0	4	4	1	1	2	1	1					
		0.93%	1.08%	0.85%	0.38%	0.00%	0.00%	1.91%	1.62%	1.09%	2.75%	0.85%	0.98%	0.57%	2.41%	0.76%	0.81%	2.23%	0.63%	2.29%	0.00%	0.00%	0.00%	1.36%	1.61%	0.77%	1.05%	0.51%	0.00%	1.84%	0.00%	0.00%	0.45%	0.31%	0.54%	1.40%	0.00%	0.00%	1.81%	1.22%	0.25%	0.56%	0.78%	0.41%	0.34%					
19	. Малышкин Олег Александрович	264	11	3	5	0	0	8	14	6	1	3	2	11	5	3	3	11	11	4	5	3	2	1	4	8	20	13	6	12	6	8	12	2	7	9	1	4	2	6	7	12	3	3	7					
		1.83%	1.08%	1.28%	0.94%	0.00%	0.00%	2.18%	3.24%	1.30%	0.92%	2.56%	1.96%	1.56%	1.72%	1.14%	0.49%	2.04%	1.39%	1.83%	3.23%	2.01%	1.02%	0.34%	1.61%	1.23%	4.20%	3.29%	2.87%	2.21%	4.32%	5.44%	2.71%	0.63%	1.91%	2.10%	0.57%	1.89%	0.90%	1.83%	1.78%	6.74%	1.17%	1.23%	2.36%					
20	. Миронов Сергей Михайлович	155	12	2	4	0	0	4	2	7	0	2	0	7	4	4	3	2	8	1	1	3	1	11	2	15	1	4	0	3	0	3	4	5	16	0	4	1	1	3	2	1	0	2	10					
		1.07%	1.18%	0.85%	0.75%	0.00%	0.00%	1.09%	0.46%	1.52%	0.00%	1.71%	0.00%	0.99%	1.37%	1.52%	0.49%	0.37%	1.01%	0.46%	0.65%	2.01%	0.51%	3.73%	0.80%	2.30%	0.21%	1.01%	0.00%	0.55%	0.00%	2.04%	0.90%	1.57%	4.36%	0.00%	2.29%	0.47%	0.45%	0.92%	0.51%	0.56%	0.00%	0.82%	3.38%					
21	. Путин Владимир Владимирович	11937	662	214	470	76	63	283	376	386	101	106	92	624	255	223	562	459	681	189	114	124	165	239	209	590	341	308	166	465	123	132	333	272	245	374	163	188	190	246	330	144	229	221	204					
		82.71%	64.97%	91.45%	88.35%	80.85%	84.00%	77.11%	87.04%	83.91%	92.66%	90.60%	90.20%	88.64%	87.63%	84.79%	90.94%	85.16%	85.98%	86.70%	73.55%	83.22%	84.18%	81.02%	83.94%	90.63%	71.64%	77.97%	79.43%	85.48%	88.49%	89.80%	75.17%	85.27%	66.76%	87.18%	93.14%	88.68%	85.97%	75.23%	83.97%	80.90%	89.11%	90.57%	68.92%					
22	. Хакамада Ирина Муцуовна	243	13	0	8	2	4	3	10	4	1	1	2	11	6	3	16	17	19	1	2	3	3	10	8	7	15	5	1	10	1	1	3	5	8	8	2	2	3	10	4	4	3	0	4					
		1.68%	1.28%	0.00%	1.50%	2.13%	5.33%	0.82%	2.31%	0.87%	0.92%	0.85%	1.96%	1.56%	2.06%	1.14%	2.59%	3.15%	2.40%	0.46%	1.29%	2.01%	1.53%	3.39%	3.21%	1.08%	3.15%	1.27%	0.48%	1.84%	0.72%	0.68%	0.68%	1.57%	2.18%	1.86%	1.14%	0.94%	1.36%	3.06%	1.02%	2.25%	1.17%	0.00%	1.35%					
23	. Харитонов Николай Михайлович	1464	295	11	37	16	4	52	15	41	1	2	4	37	11	24	22	31	56	11	31	12	20	20	12	22	83	59	33	37	6	3	80	30	79	19	3	16	17	53	42	11	20	16	70					
		10.14%	28.95%	4.70%	6.95%	17.02%	5.33%	14.17%	3.47%	8.91%	0.92%	1.71%	3.92%	5.26%	3.78%	9.13%	3.56%	5.75%	7.07%	5.05%	20.00%	8.05%	10.20%	6.78%	4.82%	3.38%	17.44%	14.94%	15.79%	6.80%	4.32%	2.04%	18.06%	9.40%	21.53%	4.43%	1.71%	7.55%	7.69%	16.21%	10.69%	6.18%	7.78%	6.56%	23.65%					
																																																		
24	Против всех	111	7	2	0	0	1	1	4	8	0	2	1	3	1	1	4	7	5	2	0	0	2	7	2	2	11	0	1	5	2	0	2	4	9	3	1	0	4	2	2	2	0	1	0					
		0.77%	0.69%	0.85%	0.00%	0.00%	1.33%	0.27%	0.93%	1.74%	0.00%	1.71%	0.98%	0.43%	0.34%	0.38%	0.65%	1.30%	0.63%	0.92%	0.00%	0.00%	1.02%	2.37%	0.80%	0.31%	2.31%	0.00%	0.48%	0.92%	1.44%	0.00%	0.45%	1.25%	2.45%	0.70%	0.57%	0.00%	1.81%	0.61%	0.51%	1.12%	0.00%	0.41%	0.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
