Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Радищевская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506					
		2.62%	3.76%	3.56%	3.33%	1.66%	3.92%	2.52%	2.42%	1.88%	1.73%	2.90%	1.54%	2.32%	2.02%	2.53%	4.81%	3.42%	3.04%	2.06%	1.93%	2.64%	1.94%	0.24%	0.84%	1.83%	1.28%					
19	. Малышкин Олег Александрович	242	31	25	31	20	0	25	8	7	12	3	6	8	4	4	1	1	5	2	6	15	3	11	6	4	4					
		2.61%	3.07%	2.41%	3.12%	4.14%	0.00%	4.84%	3.23%	2.63%	3.46%	1.09%	4.62%	1.86%	4.04%	1.69%	0.96%	0.85%	1.69%	2.06%	1.29%	1.47%	1.46%	2.61%	5.04%	1.83%	5.13%					
20	. Миронов Сергей Михайлович	76	13	3	14	7	0	6	1	1	3	1	2	0	0	1	1	1	1	2	2	10	2	2	1	2	0					
		0.82%	1.29%	0.29%	1.41%	1.45%	0.00%	1.16%	0.40%	0.38%	0.86%	0.36%	1.54%	0.00%	0.00%	0.42%	0.96%	0.85%	0.34%	2.06%	0.43%	0.98%	0.97%	0.47%	0.84%	0.91%	0.00%					
21	. Путин Владимир Владимирович	6420	706	735	654	295	45	343	195	185	204	168	88	323	63	176	76	97	216	54	355	734	122	329	80	125	52					
		69.25%	69.83%	70.74%	65.93%	61.08%	88.24%	66.47%	78.63%	69.55%	58.79%	60.87%	67.69%	74.94%	63.64%	74.26%	73.08%	82.91%	72.97%	55.67%	76.18%	71.89%	59.22%	77.96%	67.23%	57.08%	66.67%					
22	. Хакамада Ирина Муцуовна	135	20	15	33	5	0	6	0	3	6	4	1	7	0	0	0	0	4	1	4	11	5	6	0	1	3					
		1.46%	1.98%	1.44%	3.33%	1.04%	0.00%	1.16%	0.00%	1.13%	1.73%	1.45%	0.77%	1.62%	0.00%	0.00%	0.00%	0.00%	1.35%	1.03%	0.86%	1.08%	2.43%	1.42%	0.00%	0.46%	3.85%					
23	. Харитонов Николай Михайлович	1957	182	205	203	136	4	112	32	60	113	87	29	69	28	47	18	13	58	34	75	205	61	68	25	78	15					
		21.11%	18.00%	19.73%	20.46%	28.16%	7.84%	21.71%	12.90%	22.56%	32.56%	31.52%	22.31%	16.01%	28.28%	19.83%	17.31%	11.11%	19.59%	35.05%	16.09%	20.08%	29.61%	16.11%	21.01%	35.62%	19.23%					
																																
24	Против всех	124	16	11	17	5	0	4	2	4	2	2	2	7	2	1	1	1	2	1	12	15	3	5	3	5	1					
		1.34%	1.58%	1.06%	1.71%	1.04%	0.00%	0.78%	0.81%	1.50%	0.58%	0.72%	1.54%	1.62%	2.02%	0.42%	0.96%	0.85%	0.68%	1.03%	2.58%	1.47%	1.46%	1.18%	2.52%	2.28%	1.28%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
