Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Рубцовская городская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
		67.75%	68.73%	71.52%	69.47%	66.06%	64.61%	61.45%	67.10%	66.93%	71.98%	68.16%	70.15%	70.70%	67.26%	67.14%	71.24%	64.89%	68.28%	63.45%	65.76%	68.30%	65.63%	67.90%	64.72%	64.31%	63.61%	64.05%	68.91%	65.71%	68.32%	66.01%	65.61%	61.91%	62.43%	67.48%	65.50%	68.14%	67.68%	67.09%	69.01%	68.65%	73.29%	68.65%	74.05%	70.59%	68.78%	70.05%	71.61%	67.33%	73.49%	85.74%	83.33%	56.67%	79.41%					
22	. Хакамада Ирина Муцуовна	2078	65	34	33	54	38	49	51	45	44	82	57	51	59	38	44	43	48	39	36	57	38	41	47	64	55	48	24	34	54	26	42	60	44	31	38	36	44	68	68	42	17	21	16	32	24	27	25	10	21	13	0	1	0					
		3.07%	4.14%	2.03%	2.13%	3.38%	2.89%	3.42%	3.66%	2.99%	2.77%	5.50%	3.97%	2.91%	3.64%	2.70%	3.80%	3.10%	4.85%	3.42%	2.96%	3.77%	3.04%	2.86%	3.15%	4.44%	3.25%	3.07%	1.78%	2.39%	3.53%	2.21%	2.97%	4.12%	3.20%	2.11%	2.71%	2.24%	2.73%	4.11%	3.83%	3.63%	2.01%	2.71%	1.84%	2.34%	2.76%	3.15%	1.94%	1.33%	1.93%	1.37%	0.00%	3.33%	0.00%					
23	. Харитонов Николай Михайлович	12102	242	271	254	296	253	347	244	299	227	218	236	290	312	286	182	287	164	255	239	270	235	250	289	280	369	325	257	303	236	228	288	326	313	266	301	289	291	271	267	182	114	125	119	201	140	146	181	144	144	38	1	6	5					
		17.87%	15.41%	16.18%	16.43%	18.53%	19.25%	24.23%	17.53%	19.89%	14.29%	14.61%	16.42%	16.53%	19.27%	20.34%	15.72%	20.69%	16.57%	22.35%	19.67%	17.87%	18.78%	17.45%	19.38%	19.40%	21.83%	20.75%	19.02%	21.29%	15.41%	19.42%	20.38%	22.37%	22.75%	18.13%	21.50%	17.98%	18.05%	16.36%	15.04%	15.72%	13.48%	16.13%	13.66%	14.70%	16.13%	17.02%	14.04%	19.20%	13.21%	4.01%	16.67%	20.00%	14.71%					
																																																												
24	Против всех	1974	46	48	32	43	43	33	35	44	47	51	38	51	47	41	30	45	27	34	33	43	45	37	55	48	40	49	29	35	61	46	48	37	35	52	43	62	41	63	60	27	22	19	14	35	27	15	37	24	22	31	0	4	0					
		2.91%	2.93%	2.87%	2.07%	2.69%	3.27%	2.30%	2.51%	2.93%	2.96%	3.42%	2.64%	2.91%	2.90%	2.92%	2.59%	3.24%	2.73%	2.98%	2.72%	2.85%	3.60%	2.58%	3.69%	3.33%	2.37%	3.13%	2.15%	2.46%	3.98%	3.92%	3.40%	2.54%	2.54%	3.54%	3.07%	3.86%	2.54%	3.80%	3.38%	2.33%	2.60%	2.45%	1.61%	2.56%	3.11%	1.75%	2.87%	3.20%	2.02%	3.27%	0.00%	13.33%	0.00%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
