Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Эртильская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	330	2	4	7	2	1	1	3	3	2	10	1	1	2	1	0	0	0	7	2	1	4	3	0	0	11	3	2	1	33	46	36	18	24	7	11	9	29	21	10	10	2					
		2.01%	0.65%	1.10%	0.69%	0.45%	0.34%	0.45%	2.21%	1.45%	2.70%	1.90%	1.18%	0.29%	2.50%	0.69%	0.00%	0.00%	0.00%	1.24%	0.29%	0.80%	1.46%	0.85%	0.00%	0.00%	1.35%	0.70%	0.85%	0.79%	2.98%	4.99%	4.62%	4.14%	4.17%	1.73%	3.77%	2.62%	4.71%	3.75%	1.76%	1.93%	0.52%					
19	. Малышкин Олег Александрович	280	2	9	11	8	5	5	2	4	2	7	2	7	0	3	1	2	1	14	14	7	6	8	5	8	14	7	2	2	13	29	11	10	8	2	3	4	8	12	6	9	7					
		1.70%	0.65%	2.48%	1.08%	1.79%	1.71%	2.27%	1.47%	1.93%	2.70%	1.33%	2.35%	2.00%	0.00%	2.07%	1.12%	0.38%	0.90%	2.49%	2.05%	5.60%	2.19%	2.27%	2.69%	5.16%	1.72%	1.64%	0.85%	1.59%	1.17%	3.15%	1.41%	2.30%	1.39%	0.49%	1.03%	1.16%	1.30%	2.14%	1.06%	1.74%	1.81%					
20	. Миронов Сергей Михайлович	126	1	9	2	2	4	2	0	2	0	0	0	1	0	0	0	1	0	3	3	0	7	2	2	1	4	2	4	1	2	14	6	3	7	4	1	0	5	15	8	3	5					
		0.77%	0.33%	2.48%	0.20%	0.45%	1.37%	0.91%	0.00%	0.97%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.19%	0.00%	0.53%	0.44%	0.00%	2.55%	0.57%	1.08%	0.65%	0.49%	0.47%	1.69%	0.79%	0.18%	1.52%	0.77%	0.69%	1.22%	0.99%	0.34%	0.00%	0.81%	2.68%	1.41%	0.58%	1.29%					
21	. Путин Владимир Владимирович	11609	243	209	779	329	218	138	115	179	62	362	59	261	69	128	70	418	66	384	461	94	176	213	128	85	659	331	132	101	776	552	493	288	403	262	194	270	397	382	420	390	313					
		70.66%	79.41%	57.58%	76.30%	73.60%	74.66%	62.73%	84.56%	86.47%	83.78%	68.69%	69.41%	74.57%	86.25%	88.28%	78.65%	79.17%	59.46%	68.21%	67.40%	75.20%	64.23%	60.51%	68.82%	54.84%	81.06%	77.70%	55.93%	80.16%	70.04%	59.87%	63.29%	66.21%	69.97%	64.69%	66.44%	78.49%	64.45%	68.21%	73.94%	75.44%	80.88%					
22	. Хакамада Ирина Муцуовна	212	1	2	7	2	2	4	4	1	0	6	0	2	3	1	0	5	2	7	9	4	6	5	11	3	7	9	2	2	15	29	12	3	6	5	4	3	7	8	5	3	5					
		1.29%	0.33%	0.55%	0.69%	0.45%	0.68%	1.82%	2.94%	0.48%	0.00%	1.14%	0.00%	0.57%	3.75%	0.69%	0.00%	0.95%	1.80%	1.24%	1.32%	3.20%	2.19%	1.42%	5.91%	1.94%	0.86%	2.11%	0.85%	1.59%	1.35%	3.15%	1.54%	0.69%	1.04%	1.23%	1.37%	0.87%	1.14%	1.43%	0.88%	0.58%	1.29%					
23	. Харитонов Николай Михайлович	3517	55	119	196	95	57	66	12	15	7	128	21	72	6	12	15	93	40	141	181	19	68	102	39	56	109	58	89	19	247	209	200	97	117	116	77	53	155	109	105	93	49					
		21.41%	17.97%	32.78%	19.20%	21.25%	19.52%	30.00%	8.82%	7.25%	9.46%	24.29%	24.71%	20.57%	7.50%	8.28%	16.85%	17.61%	36.04%	25.04%	26.46%	15.20%	24.82%	28.98%	20.97%	36.13%	13.41%	13.62%	37.71%	15.08%	22.29%	22.67%	25.67%	22.30%	20.31%	28.64%	26.37%	15.41%	25.16%	19.46%	18.49%	17.99%	12.66%					
																																																
24	Против всех	234	1	7	9	5	4	2	0	1	1	9	1	5	0	0	2	5	2	6	8	0	6	15	1	2	6	7	1	0	11	32	11	12	9	3	2	1	10	13	12	9	3					
		1.42%	0.33%	1.93%	0.88%	1.12%	1.37%	0.91%	0.00%	0.48%	1.35%	1.71%	1.18%	1.43%	0.00%	0.00%	2.25%	0.95%	1.80%	1.07%	1.17%	0.00%	2.19%	4.26%	0.54%	1.29%	0.74%	1.64%	0.42%	0.00%	0.99%	3.47%	1.41%	2.76%	1.56%	0.74%	0.68%	0.29%	1.62%	2.32%	2.11%	1.74%	0.78%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
