Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Чистопольская городская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	634	3	40	4	8	4	10	4	20	22	17	7	15	0	21	1	13	23	23	6	3	4	3	20	15	36	26	8	3	7	20	2	28	7	10	9	15	4	0	4	17	5	12	19	35	11	19	2	21	5	3	20					
		1.56%	0.33%	2.93%	0.35%	0.85%	0.38%	1.67%	7.14%	2.86%	2.32%	1.87%	0.84%	1.56%	0.00%	4.99%	0.48%	1.82%	2.09%	2.12%	0.61%	0.42%	0.45%	0.35%	1.97%	1.71%	4.59%	3.12%	0.95%	0.39%	0.88%	2.05%	0.26%	3.10%	1.03%	1.04%	1.28%	1.36%	0.40%	0.00%	0.38%	1.72%	0.62%	1.56%	2.17%	3.65%	1.17%	2.09%	1.05%	2.68%	0.55%	0.67%	4.16%					
19	. Малышкин Олег Александрович	474	4	15	1	4	1	10	0	10	7	15	7	19	0	14	1	14	18	23	5	13	6	8	6	11	13	19	7	2	6	16	4	16	5	9	11	6	6	0	1	22	15	7	14	23	3	19	1	19	3	2	13					
		1.17%	0.44%	1.10%	0.09%	0.42%	0.10%	1.67%	0.00%	1.43%	0.74%	1.65%	0.84%	1.98%	0.00%	3.33%	0.48%	1.96%	1.64%	2.12%	0.51%	1.81%	0.68%	0.92%	0.59%	1.25%	1.66%	2.28%	0.83%	0.26%	0.76%	1.64%	0.53%	1.77%	0.74%	0.94%	1.57%	0.55%	0.60%	0.00%	0.09%	2.22%	1.86%	0.91%	1.60%	2.40%	0.32%	2.09%	0.53%	2.43%	0.33%	0.45%	2.70%					
20	. Миронов Сергей Михайлович	386	9	15	3	2	3	2	0	8	7	10	7	5	0	3	1	8	8	13	6	2	3	4	5	5	15	14	2	6	3	8	3	7	4	11	10	3	3	0	2	30	49	13	11	24	7	9	0	12	4	1	6					
		0.95%	1.00%	1.10%	0.26%	0.21%	0.29%	0.33%	0.00%	1.14%	0.74%	1.10%	0.84%	0.52%	0.00%	0.71%	0.48%	1.12%	0.73%	1.20%	0.61%	0.28%	0.34%	0.46%	0.49%	0.57%	1.91%	1.68%	0.24%	0.78%	0.38%	0.82%	0.40%	0.78%	0.59%	1.15%	1.42%	0.27%	0.30%	0.00%	0.19%	3.03%	6.07%	1.69%	1.25%	2.50%	0.74%	0.99%	0.00%	1.53%	0.44%	0.22%	1.25%					
21	. Путин Владимир Владимирович	35876	868	1160	1117	917	1028	551	46	577	805	817	785	821	52	286	203	530	898	889	919	647	847	814	875	782	624	563	815	721	750	840	735	741	585	772	599	1022	975	31	1020	880	667	652	762	727	895	786	180	666	869	413	352					
		88.40%	96.44%	85.11%	97.55%	97.24%	98.37%	91.83%	82.14%	82.43%	84.92%	89.78%	94.69%	85.34%	98.11%	67.93%	96.67%	74.13%	81.71%	82.01%	93.78%	89.86%	96.03%	94.00%	86.29%	89.07%	79.49%	67.67%	96.34%	94.25%	94.46%	85.98%	97.22%	82.15%	86.28%	80.42%	85.33%	92.91%	97.21%	91.18%	96.23%	88.89%	82.65%	84.90%	86.89%	75.81%	95.11%	86.47%	94.74%	85.06%	95.29%	92.19%	73.18%					
22	. Хакамада Ирина Муцуовна	506	8	14	2	3	3	8	1	5	15	24	6	14	0	15	2	16	34	26	7	1	7	3	11	9	19	20	0	3	7	21	1	12	10	10	10	2	4	0	3	13	19	11	5	26	2	52	1	12	3	1	5					
		1.25%	0.89%	1.03%	0.17%	0.32%	0.29%	1.33%	1.79%	0.71%	1.58%	2.64%	0.72%	1.46%	0.00%	3.56%	0.95%	2.24%	3.09%	2.40%	0.71%	0.14%	0.79%	0.35%	1.08%	1.03%	2.42%	2.40%	0.00%	0.39%	0.88%	2.15%	0.13%	1.33%	1.47%	1.04%	1.42%	0.18%	0.40%	0.00%	0.28%	1.31%	2.35%	1.43%	0.57%	2.71%	0.21%	5.72%	0.53%	1.53%	0.33%	0.22%	1.04%					
23	. Харитонов Николай Михайлович	1831	7	82	15	7	6	10	5	70	81	17	13	54	0	64	1	112	80	80	19	36	14	31	72	47	41	147	8	12	11	51	6	58	30	13	63	32	9	3	19	19	8	69	52	84	21	14	3	35	26	11	63					
		4.51%	0.78%	6.02%	1.31%	0.74%	0.57%	1.67%	8.93%	10.00%	8.54%	1.87%	1.57%	5.61%	0.00%	15.20%	0.48%	15.66%	7.28%	7.38%	1.94%	5.00%	1.59%	3.58%	7.10%	5.35%	5.22%	17.67%	0.95%	1.57%	1.39%	5.22%	0.79%	6.43%	4.42%	1.35%	8.97%	2.91%	0.90%	8.82%	1.79%	1.92%	0.99%	8.98%	5.93%	8.76%	2.23%	1.54%	1.58%	4.47%	2.85%	2.46%	13.10%					
																																																										
24	Против всех	522	1	33	0	2	0	8	0	8	9	10	2	25	1	13	1	16	29	23	4	15	1	3	25	7	28	28	5	1	3	21	2	29	26	8	0	20	2	0	6	9	21	3	9	32	2	5	2	3	2	2	17					
		1.29%	0.11%	2.42%	0.00%	0.21%	0.00%	1.33%	0.00%	1.14%	0.95%	1.10%	0.24%	2.60%	1.89%	3.09%	0.48%	2.24%	2.64%	2.12%	0.41%	2.08%	0.11%	0.35%	2.47%	0.80%	3.57%	3.37%	0.59%	0.13%	0.38%	2.15%	0.26%	3.22%	3.83%	0.83%	0.00%	1.82%	0.20%	0.00%	0.57%	0.91%	2.60%	0.39%	1.03%	3.34%	0.21%	0.55%	1.05%	0.38%	0.22%	0.45%	3.53%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
