Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Барышская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	1	1	1	1	0	0	6	6	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	339	6	14	20	22	17	6	10	25	34	9	3	4	3	3	0	14	3	12	1	4	10	0	5	5	2	0	17	3	1	10	0	0	5	7	2	8	0	1	1	3	4	28	1	4	0	10	2					
		2.19%	1.37%	2.44%	2.44%	3.27%	1.78%	1.13%	2.50%	2.89%	3.81%	1.28%	1.29%	2.23%	1.07%	1.52%	0.00%	2.35%	1.49%	3.31%	0.53%	2.00%	2.18%	0.00%	1.52%	2.53%	1.09%	0.00%	2.37%	2.10%	1.18%	2.39%	0.00%	0.00%	1.66%	3.26%	2.33%	2.68%	0.00%	1.54%	0.69%	2.08%	1.94%	5.20%	1.61%	1.53%	0.00%	2.08%	1.08%					
19	. Малышкин Олег Александрович	296	11	10	13	11	23	10	10	10	12	15	1	10	4	5	1	15	3	11	4	4	13	2	3	4	3	0	5	3	2	13	1	3	8	3	1	4	4	2	1	1	7	16	1	4	1	2	6					
		1.91%	2.51%	1.74%	1.59%	1.63%	2.41%	1.88%	2.50%	1.16%	1.34%	2.13%	0.43%	5.59%	1.42%	2.54%	1.49%	2.52%	1.49%	3.03%	2.13%	2.00%	2.83%	1.83%	0.91%	2.02%	1.64%	0.00%	0.70%	2.10%	2.35%	3.10%	1.43%	3.57%	2.65%	1.40%	1.16%	1.34%	2.35%	3.08%	0.69%	0.69%	3.40%	2.97%	1.61%	1.53%	1.02%	0.42%	3.24%					
20	. Миронов Сергей Михайлович	92	2	6	6	5	4	2	6	4	4	4	1	2	2	0	2	3	2	5	0	1	2	0	1	0	0	2	5	2	1	3	0	1	1	0	2	0	1	0	0	0	2	4	0	2	1	1	0					
		0.59%	0.46%	1.05%	0.73%	0.74%	0.42%	0.38%	1.50%	0.46%	0.45%	0.57%	0.43%	1.12%	0.71%	0.00%	2.99%	0.50%	0.99%	1.38%	0.00%	0.50%	0.44%	0.00%	0.30%	0.00%	0.00%	2.00%	0.70%	1.40%	1.18%	0.72%	0.00%	1.19%	0.33%	0.00%	2.33%	0.00%	0.59%	0.00%	0.00%	0.00%	0.97%	0.74%	0.00%	0.77%	1.02%	0.21%	0.00%					
21	. Путин Владимир Владимирович	10855	301	437	512	419	689	389	304	518	461	594	187	125	229	139	54	405	167	250	133	118	327	61	264	123	150	76	399	73	65	341	53	66	177	160	47	240	133	59	123	67	171	421	40	178	77	381	152					
		69.99%	68.56%	76.13%	62.59%	62.26%	72.07%	72.98%	76.00%	59.88%	51.62%	84.38%	80.26%	69.83%	81.49%	70.56%	80.60%	68.07%	82.67%	68.87%	70.74%	59.00%	71.24%	55.96%	80.24%	62.12%	81.97%	76.00%	55.73%	51.05%	76.47%	81.38%	75.71%	78.57%	58.61%	74.42%	54.65%	80.54%	78.24%	90.77%	85.42%	46.53%	83.01%	78.25%	64.52%	68.20%	78.57%	79.21%	82.16%					
22	. Хакамада Ирина Муцуовна	149	9	3	11	5	4	1	6	9	14	3	4	4	3	4	1	3	1	0	1	0	7	3	0	2	0	2	11	1	0	7	2	0	1	3	2	0	2	2	0	1	4	6	1	0	0	2	4					
		0.96%	2.05%	0.52%	1.34%	0.74%	0.42%	0.19%	1.50%	1.04%	1.57%	0.43%	1.72%	2.23%	1.07%	2.03%	1.49%	0.50%	0.50%	0.00%	0.53%	0.00%	1.53%	2.75%	0.00%	1.01%	0.00%	2.00%	1.54%	0.70%	0.00%	1.67%	2.86%	0.00%	0.33%	1.40%	2.33%	0.00%	1.18%	3.08%	0.00%	0.69%	1.94%	1.12%	1.61%	0.00%	0.00%	0.42%	2.16%					
23	. Харитонов Николай Михайлович	3480	104	90	239	199	192	114	58	277	344	70	36	32	35	45	8	137	23	77	47	68	98	41	56	60	23	20	257	57	15	41	12	14	106	40	32	41	29	1	17	64	17	55	11	66	17	78	17					
		22.44%	23.69%	15.68%	29.22%	29.57%	20.08%	21.39%	14.50%	32.02%	38.52%	9.94%	15.45%	17.88%	12.46%	22.84%	11.94%	23.03%	11.39%	21.21%	25.00%	34.00%	21.35%	37.61%	17.02%	30.30%	12.57%	20.00%	35.89%	39.86%	17.65%	9.79%	17.14%	16.67%	35.10%	18.60%	37.21%	13.76%	17.06%	1.54%	11.81%	44.44%	8.25%	10.22%	17.74%	25.29%	17.35%	16.22%	9.19%					
																																																						
24	Против всех	145	4	7	11	5	12	5	1	9	10	7	0	0	5	1	0	6	0	5	2	2	2	2	0	1	1	0	7	2	0	4	2	0	4	2	0	3	1	0	1	1	0	8	6	0	2	4	0					
		0.93%	0.91%	1.22%	1.34%	0.74%	1.26%	0.94%	0.25%	1.04%	1.12%	0.99%	0.00%	0.00%	1.78%	0.51%	0.00%	1.01%	0.00%	1.38%	1.06%	1.00%	0.44%	1.83%	0.00%	0.51%	0.55%	0.00%	0.98%	1.40%	0.00%	0.95%	2.86%	0.00%	1.32%	0.93%	0.00%	1.01%	0.59%	0.00%	0.69%	0.69%	0.00%	1.49%	9.68%	0.00%	2.04%	0.83%	0.00%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
