Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Иваново, Октябрьская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98					
12	Число выданных открепительных удостоверений	575	75	17	22	19	4	16	10	10	13	17	11	19	19	46	42	16	9	14	13	9	3	10	19	3	3	4	6	8	7	10	17	33	5	16	7	6	5	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	603	9	16	8	15	27	15	17	11	9	11	20	21	17	17	15	4	22	21	3	9	3	15	6	11	6	7	4	13	7	2	4	4	15	9	7	4	10	11	178					
14	Число неиспользованных открепительных удостоверений	470	16	7	2	5	20	8	14	15	11	8	13	5	6	2	8	9	16	2	11	16	21	14	10	21	21	20	18	16	17	14	7	14	19	8	17	18	19	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	2114	39	55	50	77	40	73	51	77	90	71	59	64	46	73	34	27	23	54	32	50	39	57	47	38	25	47	46	82	39	100	89	84	53	93	49	27	33	71	10					
		5.40%	3.94%	5.39%	6.37%	7.12%	3.89%	7.12%	4.79%	6.32%	6.64%	6.43%	5.22%	5.27%	4.12%	5.91%	3.79%	3.94%	2.68%	4.75%	3.47%	5.13%	4.91%	5.15%	4.46%	3.66%	3.89%	7.78%	5.79%	7.26%	4.63%	8.40%	7.97%	7.33%	4.81%	7.52%	4.55%	3.39%	3.69%	6.83%	1.50%					
19	. Малышкин Олег Александрович	990	15	26	12	18	29	16	28	26	16	21	30	29	32	24	20	19	21	24	31	17	23	29	36	32	10	20	21	33	15	46	21	42	31	28	26	23	27	19	54					
		2.53%	1.52%	2.55%	1.53%	1.66%	2.82%	1.56%	2.63%	2.13%	1.18%	1.90%	2.65%	2.39%	2.87%	1.94%	2.23%	2.77%	2.44%	2.11%	3.36%	1.75%	2.89%	2.62%	3.42%	3.08%	1.56%	3.31%	2.64%	2.92%	1.78%	3.87%	1.88%	3.66%	2.81%	2.27%	2.41%	2.89%	3.02%	1.83%	8.11%					
20	. Миронов Сергей Михайлович	335	7	11	10	7	9	8	19	11	14	10	6	7	10	11	8	6	11	12	12	12	6	10	10	3	5	6	4	12	8	9	5	8	11	4	8	4	13	5	3					
		0.86%	0.71%	1.08%	1.27%	0.65%	0.88%	0.78%	1.79%	0.90%	1.03%	0.90%	0.53%	0.58%	0.90%	0.89%	0.89%	0.88%	1.28%	1.05%	1.30%	1.23%	0.75%	0.90%	0.95%	0.29%	0.78%	0.99%	0.50%	1.06%	0.95%	0.76%	0.45%	0.70%	1.00%	0.32%	0.74%	0.50%	1.45%	0.48%	0.45%					
21	. Путин Владимир Владимирович	25956	730	659	488	686	662	655	697	792	901	728	680	778	755	818	635	470	590	748	636	671	602	744	735	747	463	383	522	707	568	741	692	730	744	797	739	534	622	691	416					
		66.35%	73.74%	64.54%	62.17%	63.40%	64.46%	63.90%	65.51%	65.02%	66.45%	65.88%	60.18%	64.03%	67.65%	66.18%	70.71%	68.61%	68.68%	65.73%	68.91%	68.89%	75.72%	67.21%	69.80%	71.97%	72.01%	63.41%	65.66%	62.62%	67.38%	62.27%	62.01%	63.70%	67.45%	64.48%	68.55%	67.09%	69.50%	66.51%	62.46%					
22	. Хакамада Ирина Муцуовна	2418	68	69	66	110	70	64	84	79	86	64	106	120	87	92	55	37	53	76	37	53	26	53	49	40	26	25	41	64	52	74	73	78	59	76	48	46	40	54	18					
		6.18%	6.87%	6.76%	8.41%	10.17%	6.82%	6.24%	7.89%	6.49%	6.34%	5.79%	9.38%	9.88%	7.80%	7.44%	6.12%	5.40%	6.17%	6.68%	4.01%	5.44%	3.27%	4.79%	4.65%	3.85%	4.04%	4.14%	5.16%	5.67%	6.17%	6.22%	6.54%	6.81%	5.35%	6.15%	4.45%	5.78%	4.47%	5.20%	2.70%					
23	. Харитонов Николай Михайлович	4962	74	143	114	105	150	140	140	164	175	159	172	153	110	143	89	83	115	154	118	127	64	151	119	134	105	90	132	166	123	136	151	98	139	166	157	125	118	147	13					
		12.68%	7.47%	14.01%	14.52%	9.70%	14.61%	13.66%	13.16%	13.46%	12.91%	14.39%	15.22%	12.59%	9.86%	11.57%	9.91%	12.12%	13.39%	13.53%	12.78%	13.04%	8.05%	13.64%	11.30%	12.91%	16.33%	14.90%	16.60%	14.70%	14.59%	11.43%	13.53%	8.55%	12.60%	13.43%	14.56%	15.70%	13.18%	14.15%	1.95%					
																																														
24	Против всех	2135	53	48	44	71	59	60	42	58	64	50	74	58	70	68	52	40	39	67	49	43	32	59	54	41	7	27	25	57	32	79	76	98	62	68	45	32	34	51	147					
		5.46%	5.35%	4.70%	5.61%	6.56%	5.74%	5.85%	3.95%	4.76%	4.72%	4.52%	6.55%	4.77%	6.27%	5.50%	5.79%	5.84%	4.54%	5.89%	5.31%	4.41%	4.03%	5.33%	5.13%	3.95%	1.09%	4.47%	3.14%	5.05%	3.80%	6.64%	6.81%	8.55%	5.62%	5.50%	4.17%	4.02%	3.80%	4.91%	22.07%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
