Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    район Вешняки 																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №3080					
		1.14%	1.49%	1.81%	1.38%	0.85%	0.72%	1.21%	0.86%	1.47%	1.37%	1.04%	1.08%	1.39%	1.08%	1.52%	1.06%	0.96%	0.93%	0.58%	1.10%	1.35%	1.01%	1.33%	1.07%	1.15%	1.07%	1.24%	0.34%	0.67%	1.46%	0.61%	1.37%	1.73%	1.33%	1.77%	0.88%					
20	. Миронов Сергей Михайлович	241	10	6	7	6	8	6	6	6	4	2	6	11	10	10	5	12	7	3	7	7	7	6	5	7	2	8	7	12	6	10	7	1	9	10	5					
		0.52%	0.68%	0.49%	0.51%	0.43%	0.58%	0.52%	0.47%	0.44%	0.27%	0.15%	0.46%	0.77%	0.72%	0.76%	0.41%	0.88%	0.46%	0.22%	0.70%	0.47%	0.54%	0.40%	0.41%	0.54%	0.19%	0.58%	0.48%	0.80%	0.42%	0.68%	0.46%	0.10%	0.80%	0.88%	0.49%					
21	. Путин Владимир Владимирович	31647	997	913	1005	1027	960	780	956	930	941	915	873	907	953	903	868	907	1102	946	690	971	822	1026	866	857	609	944	1019	972	977	988	1003	681	742	835	762					
		68.35%	67.41%	75.21%	72.83%	73.04%	69.46%	67.59%	74.40%	68.33%	64.63%	67.78%	67.47%	63.25%	68.76%	68.67%	70.92%	66.79%	73.08%	68.20%	69.00%	65.43%	63.62%	68.45%	71.10%	65.82%	59.30%	68.60%	69.27%	65.10%	67.75%	67.35%	65.34%	65.36%	66.01%	73.76%	74.49%					
22	. Хакамада Ирина Муцуовна	3811	99	64	92	101	95	96	75	106	158	147	113	188	110	89	85	103	118	111	78	143	154	127	95	97	119	104	112	180	99	122	135	81	104	61	50					
		8.23%	6.69%	5.27%	6.67%	7.18%	6.87%	8.32%	5.84%	7.79%	10.85%	10.89%	8.73%	13.11%	7.94%	6.77%	6.94%	7.58%	7.82%	8.00%	7.80%	9.64%	11.92%	8.47%	7.80%	7.45%	11.59%	7.56%	7.61%	12.06%	6.87%	8.32%	8.79%	7.77%	9.25%	5.39%	4.89%					
23	. Харитонов Николай Михайлович	3627	110	67	115	76	133	112	81	107	108	91	92	84	102	125	90	152	85	125	67	113	110	127	68	113	91	108	114	105	100	129	154	90	100	103	80					
		7.83%	7.44%	5.52%	8.33%	5.41%	9.62%	9.71%	6.30%	7.86%	7.42%	6.74%	7.11%	5.86%	7.36%	9.51%	7.35%	11.19%	5.64%	9.01%	6.70%	7.61%	8.51%	8.47%	5.58%	8.68%	8.86%	7.85%	7.75%	7.03%	6.93%	8.79%	10.03%	8.64%	8.90%	9.10%	7.82%					
																																										
24	Против всех	2942	103	56	63	69	77	62	63	95	97	80	99	135	85	73	72	66	70	96	67	99	75	108	95	113	110	93	96	104	106	92	93	62	67	49	52					
		6.35%	6.96%	4.61%	4.57%	4.91%	5.57%	5.37%	4.90%	6.98%	6.66%	5.93%	7.65%	9.41%	6.13%	5.55%	5.88%	4.86%	4.64%	6.92%	6.70%	6.67%	5.80%	7.20%	7.80%	8.68%	10.71%	6.76%	6.53%	6.97%	7.35%	6.27%	6.06%	5.95%	5.96%	4.33%	5.08%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
