Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Венгеровская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
		0.78%	0.00%	1.23%	1.20%	0.71%	0.00%	0.00%	1.30%	1.57%	0.00%	1.09%	0.71%	0.43%	0.00%	0.47%	1.32%	0.00%	0.00%	0.76%	0.00%	0.00%	0.71%	1.99%	0.24%	0.16%	0.00%	1.33%	0.67%	0.00%	0.00%	1.42%	0.00%	0.00%	0.74%	1.50%	2.29%	0.27%	0.00%	0.79%	1.23%	0.00%					
19	. Малышкин Олег Александрович	175	1	11	8	17	3	2	1	6	1	8	9	5	0	2	8	3	1	7	2	3	6	12	2	9	6	11	1	0	0	1	2	1	0	2	1	2	0	11	10	0					
		1.33%	0.64%	1.23%	1.06%	2.42%	1.60%	0.82%	1.30%	1.17%	0.96%	2.92%	2.14%	2.16%	0.00%	0.47%	2.64%	1.47%	0.37%	1.78%	2.13%	1.59%	1.43%	3.97%	0.47%	1.43%	4.00%	4.89%	0.33%	0.00%	0.00%	0.35%	1.00%	1.12%	0.00%	0.50%	0.57%	0.54%	0.00%	1.24%	0.88%	0.00%					
20	. Миронов Сергей Михайлович	43	0	9	4	0	0	3	1	5	0	0	2	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	2	0	3	2	0					
		0.33%	0.00%	1.01%	0.53%	0.00%	0.00%	1.23%	1.30%	0.98%	0.00%	0.00%	0.48%	0.43%	0.00%	0.00%	0.33%	0.00%	0.37%	0.25%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.35%	0.50%	0.00%	0.00%	0.25%	1.14%	0.54%	0.00%	0.34%	0.18%	0.00%					
21	. Путин Владимир Владимирович	6611	70	437	376	366	114	194	37	261	73	120	105	125	59	109	121	136	163	263	70	133	195	148	194	323	60	115	149	57	65	117	93	60	40	173	100	204	39	484	539	124					
		50.12%	44.59%	48.99%	49.93%	52.14%	60.64%	79.84%	48.05%	51.08%	70.19%	43.80%	24.94%	53.88%	39.86%	25.83%	39.93%	66.67%	60.37%	66.75%	74.47%	70.37%	46.43%	49.01%	45.86%	51.35%	40.00%	51.11%	49.83%	48.72%	65.66%	41.49%	46.27%	67.42%	29.41%	43.14%	57.14%	55.28%	34.82%	54.50%	47.20%	80.52%					
22	. Хакамада Ирина Муцуовна	227	4	20	14	39	2	4	2	13	2	4	5	2	4	9	6	0	2	3	2	1	7	1	10	13	1	4	2	1	0	3	1	2	5	7	0	4	1	7	15	5					
		1.72%	2.55%	2.24%	1.86%	5.56%	1.06%	1.65%	2.60%	2.54%	1.92%	1.46%	1.19%	0.86%	2.70%	2.13%	1.98%	0.00%	0.74%	0.76%	2.13%	0.53%	1.67%	0.33%	2.36%	2.07%	0.67%	1.78%	0.67%	0.85%	0.00%	1.06%	0.50%	2.25%	3.68%	1.75%	0.00%	1.08%	0.89%	0.79%	1.31%	3.25%					
23	. Харитонов Николай Михайлович	5796	80	383	327	255	65	35	32	209	26	139	290	93	82	296	161	64	97	108	20	50	196	131	214	270	82	90	137	56	30	152	101	25	90	205	66	154	72	359	533	21					
		43.94%	50.96%	42.94%	43.43%	36.32%	34.57%	14.40%	41.56%	40.90%	25.00%	50.73%	68.88%	40.09%	55.41%	70.14%	53.14%	31.37%	35.93%	27.41%	21.28%	26.46%	46.67%	43.38%	50.59%	42.93%	54.67%	40.00%	45.82%	47.86%	30.30%	53.90%	50.25%	28.09%	66.18%	51.12%	37.71%	41.73%	64.29%	40.43%	46.67%	13.64%					
																																															
24	Против всех	95	1	10	4	9	3	0	1	3	0	0	1	2	0	2	1	0	3	0	0	0	10	2	1	4	1	0	0	1	0	2	1	0	0	2	1	0	0	11	18	1					
		0.72%	0.64%	1.12%	0.53%	1.28%	1.60%	0.00%	1.30%	0.59%	0.00%	0.00%	0.24%	0.86%	0.00%	0.47%	0.33%	0.00%	1.11%	0.00%	0.00%	0.00%	2.38%	0.66%	0.24%	0.64%	0.67%	0.00%	0.00%	0.85%	0.00%	0.71%	0.50%	0.00%	0.00%	0.50%	0.57%	0.00%	0.00%	1.24%	1.58%	0.65%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
